Altitude_km,Loss_per_km_kg
71.38157575757576,11.72297297297328
71.49115151515151,15.550470559128973
71.60072727272728,17.786125051969126
71.71030303030304,18.200000000001026
71.81987878787879,18.683176560551207
71.92945454545455,18.76698936865193
72.0390303030303,18.868211103802444
72.14860606060607,19.155405405405908
72.25818181818182,19.183826387228446
72.36775757575758,19.253231129811304
72.47733333333333,19.30958777316164
72.5869090909091,19.25170068027138
72.69648484848486,19.438285079060904
72.80606060606061,19.449362984437503
72.91563636363637,19.391592920354228
73.02521212121212,19.27586206896416
73.13478787878789,19.413823445778824
73.24436363636364,19.36606535057954
73.3539393939394,19.276825221240355
73.46351515151515,19.195804195804065
73.57309090909091,19.31614092930167
73.68266666666668,19.213513227263366
73.79224242424243,19.146814562766863
73.90181818181819,19.132664348925207
74.01139393939394,19.0
74.1209696969697,19.0747683403883
74.23054545454546,18.94393152273088
74.34012121212122,18.837442343456974
74.44969696969697,18.902848653189626
74.55927272727273,18.759124087591115
74.6688484848485,18.72400951581443
74.77842424242425,18.61690078409636
74.888,18.515851842212072
74.99757575757576,18.480904841573253
75.10715151515151,18.47014925373131
75.21672727272728,16.06033714172498
75.32630303030304,6.1447051248178335
75.43587878787879,0.0
75.54545454545455,0.0
75.65503030303032,0.0
75.76460606060607,0.0
75.87418181818182,0.0
75.98375757575758,0.0
76.09333333333333,0.0
76.2029090909091,0.0
76.31248484848486,0.0
76.42206060606061,0.0
76.53163636363637,0.0
76.64121212121212,0.0
76.75078787878789,0.0
76.86036363636364,0.0
76.9699393939394,0.0
77.07951515151515,0.0
77.18909090909091,0.0
77.29866666666668,0.0
77.40824242424243,0.0
77.51781818181819,0.0
77.62739393939394,0.0
77.73696969696971,0.0
77.84654545454546,0.0
77.95612121212122,0.0
78.06569696969697,0.0
78.17527272727273,0.0
78.2848484848485,0.0
78.39442424242425,0.0
78.504,0.0
78.61357575757576,0.0
78.72315151515151,0.0
78.83272727272728,0.0
78.94230303030304,0.0
79.05187878787879,0.0
79.16145454545455,0.0
79.2710303030303,0.0
79.38060606060607,0.0
79.49018181818182,0.0
79.59975757575758,0.0
79.70933333333333,0.0
79.8189090909091,0.0
79.92848484848486,0.0
80.03806060606061,0.0
80.14763636363637,0.0
80.25721212121212,0.0
80.36678787878789,0.0
80.47636363636364,0.0
80.5859393939394,0.0
80.69551515151515,0.0
80.80509090909091,0.0
80.91466666666668,0.0
81.02424242424243,0.0
81.13381818181819,0.0
81.24339393939394,0.0
81.3529696969697,0.0
81.46254545454546,0.0
81.57212121212122,0.0
81.68169696969697,0.0
81.79127272727273,0.0
81.9008484848485,0.0
82.01042424242425,0.0
82.12,0.0
