# Material: drama-CFRP
# Columns: SatelliteMass [kg]	Altitude [km]	NormalizedLossRate [1/km]
67	0.99	1.505849e-05
67	1.98	1.505849e-05
67	2.97	0.000000e+00
67	3.96	1.505849e-05
67	4.95	1.505849e-05
67	5.93	0.000000e+00
67	6.92	1.505849e-05
67	7.91	1.505849e-05
67	8.90	0.000000e+00
67	9.89	1.505849e-05
67	10.88	1.505849e-05
67	11.87	0.000000e+00
67	12.86	1.505849e-05
67	13.85	1.505849e-05
67	14.84	0.000000e+00
67	15.83	1.505849e-05
67	16.82	1.505849e-05
67	17.80	0.000000e+00
67	18.79	1.505849e-05
67	19.78	1.505849e-05
67	20.77	0.000000e+00
67	21.76	1.505849e-05
67	22.75	1.505849e-05
67	23.74	1.505849e-05
67	24.73	1.505849e-05
67	25.72	2.559291e-05
67	26.71	1.958255e-05
67	27.70	2.301030e-05
67	28.69	2.216517e-05
67	29.67	3.011698e-05
67	30.66	2.960784e-05
67	31.65	3.062611e-05
67	32.64	3.011698e-05
67	33.63	3.697606e-05
67	34.62	4.241453e-05
67	35.61	4.133044e-05
67	36.60	4.119229e-05
67	37.59	5.700428e-05
67	38.58	6.719369e-05
67	39.57	7.128862e-05
67	40.56	7.407356e-05
67	41.54	9.452740e-05
67	42.53	9.422498e-05
67	43.52	9.748883e-05
67	44.51	1.076220e-04
67	45.50	1.195256e-04
67	46.49	1.205384e-04
67	47.48	1.296957e-04
67	48.47	1.371599e-04
67	49.46	1.506373e-04
67	50.45	1.489854e-04
67	51.44	1.627380e-04
67	52.43	1.659845e-04
67	53.41	1.786165e-04
67	54.40	1.921524e-04
67	55.39	1.910438e-04
67	56.38	2.050149e-04
67	57.37	2.064953e-04
67	58.36	2.203856e-04
67	59.35	2.351066e-04
67	60.34	2.349389e-04
67	61.33	2.505507e-04
67	62.32	2.665008e-04
67	63.31	2.825155e-04
67	64.29	3.028340e-04
67	65.28	3.064323e-04
67	66.27	2.952604e-04
67	67.26	3.902061e-04
67	68.25	3.210871e-04
67	69.24	3.276909e-04
67	70.23	3.352667e-04
67	71.22	3.438533e-04
67	72.21	3.497375e-04
67	73.20	3.531703e-04
67	74.19	3.760859e-04
67	75.18	3.743028e-04
67	76.16	3.734990e-04
67	77.15	3.896370e-04
67	78.14	3.914562e-04
67	79.13	3.945593e-04
67	80.12	3.993877e-04
67	81.11	4.026842e-04
67	82.10	3.929397e-04
67	83.09	3.990541e-04
67	84.08	3.902697e-04
67	85.07	3.831183e-04
67	86.06	3.861766e-04
67	87.05	3.528500e-04
67	88.03	3.503242e-04
67	89.02	3.255810e-04
67	90.01	2.971175e-04
67	91.00	2.818607e-04
67	91.99	2.491671e-04
67	92.98	2.213067e-04
67	93.97	1.716960e-04
67	94.96	1.526883e-04
67	95.95	1.037777e-04
67	96.94	5.444287e-05
67	97.93	1.127298e-05
525	0.94	2.031905e-06
525	1.87	2.031905e-06
525	2.81	0.000000e+00
525	3.75	2.031905e-06
525	4.69	2.031905e-06
525	5.62	2.031905e-06
525	6.56	0.000000e+00
525	7.50	2.031905e-06
525	8.43	2.031905e-06
525	9.37	2.031905e-06
525	10.31	2.031905e-06
525	11.25	1.817914e-06
525	12.18	1.405644e-06
525	13.12	1.315446e-06
525	14.06	3.403097e-06
525	14.99	1.600443e-06
525	15.93	2.648885e-06
525	16.87	2.031905e-06
