Altitude (km)	Objet	Matériau	Mass (kg)
76.419	RFCU5	drama-AA7075	0.697000
76.406	RFCU5	drama-AA7075	0.697000
76.347	RFCU5	drama-AA7075	0.697000
76.214	RFCU5	drama-AA7075	0.697000
76.081	RFCU5	drama-AA7075	0.697000
75.948	RFCU5	drama-AA7075	0.697000
75.814	RFCU5	drama-AA7075	0.697000
75.679	RFCU5	drama-AA7075	0.697000
75.543	RFCU5	drama-AA7075	0.697000
75.407	RFCU5	drama-AA7075	0.697000
75.271	RFCU5	drama-AA7075	0.697000
75.133	RFCU5	drama-AA7075	0.697000
74.995	RFCU5	drama-AA7075	0.697000
74.856	RFCU5	drama-AA7075	0.697000
74.716	RFCU5	drama-AA7075	0.697000
74.575	RFCU5	drama-AA7075	0.694000
74.433	RFCU5	drama-AA7075	0.620000
74.290	RFCU5	drama-AA7075	0.546000
74.146	RFCU5	drama-AA7075	0.473000
74.001	RFCU5	drama-AA7075	0.400000
73.855	RFCU5	drama-AA7075	0.327000
73.709	RFCU5	drama-AA7075	0.256000
73.561	RFCU5	drama-AA7075	0.185000
73.414	RFCU5	drama-AA7075	0.117000
73.267	RFCU5	drama-AA7075	0.052000
73.122	RFCU5	drama-AA7075	0.000000
76.419	PCU	drama-AA7075	5.207000
76.406	PCU	drama-AA7075	5.207000
76.347	PCU	drama-AA7075	5.207000
76.214	PCU	drama-AA7075	5.207000
76.081	PCU	drama-AA7075	5.207000
75.947	PCU	drama-AA7075	5.207000
75.812	PCU	drama-AA7075	5.207000
75.677	PCU	drama-AA7075	5.207000
75.541	PCU	drama-AA7075	5.207000
75.404	PCU	drama-AA7075	5.207000
75.267	PCU	drama-AA7075	5.207000
75.128	PCU	drama-AA7075	5.207000
74.989	PCU	drama-AA7075	5.207000
74.850	PCU	drama-AA7075	5.207000
74.709	PCU	drama-AA7075	5.207000
74.567	PCU	drama-AA7075	5.207000
74.425	PCU	drama-AA7075	5.207000
74.282	PCU	drama-AA7075	5.207000
74.137	PCU	drama-AA7075	5.207000
73.992	PCU	drama-AA7075	5.207000
