Altitude (km)	Objet	Matériau	Mass (kg)
81.264	ASCATEPC1	drama-AA7075	0.750000
81.254	ASCATEPC1	drama-AA7075	0.750000
81.206	ASCATEPC1	drama-AA7075	0.750000
81.101	ASCATEPC1	drama-AA7075	0.750000
80.995	ASCATEPC1	drama-AA7075	0.750000
80.889	ASCATEPC1	drama-AA7075	0.750000
80.782	ASCATEPC1	drama-AA7075	0.750000
80.674	ASCATEPC1	drama-AA7075	0.750000
80.567	ASCATEPC1	drama-AA7075	0.750000
80.458	ASCATEPC1	drama-AA7075	0.750000
80.349	ASCATEPC1	drama-AA7075	0.750000
80.240	ASCATEPC1	drama-AA7075	0.750000
80.129	ASCATEPC1	drama-AA7075	0.750000
80.019	ASCATEPC1	drama-AA7075	0.750000
79.907	ASCATEPC1	drama-AA7075	0.750000
79.795	ASCATEPC1	drama-AA7075	0.750000
79.683	ASCATEPC1	drama-AA7075	0.750000
79.570	ASCATEPC1	drama-AA7075	0.750000
79.456	ASCATEPC1	drama-AA7075	0.750000
79.341	ASCATEPC1	drama-AA7075	0.750000
79.226	ASCATEPC1	drama-AA7075	0.750000
79.110	ASCATEPC1	drama-AA7075	0.750000
78.993	ASCATEPC1	drama-AA7075	0.750000
78.876	ASCATEPC1	drama-AA7075	0.746000
78.758	ASCATEPC1	drama-AA7075	0.693000
78.639	ASCATEPC1	drama-AA7075	0.640000
78.519	ASCATEPC1	drama-AA7075	0.586000
78.398	ASCATEPC1	drama-AA7075	0.533000
78.277	ASCATEPC1	drama-AA7075	0.479000
78.155	ASCATEPC1	drama-AA7075	0.425000
78.032	ASCATEPC1	drama-AA7075	0.370000
77.908	ASCATEPC1	drama-AA7075	0.315000
77.783	ASCATEPC1	drama-AA7075	0.261000
77.658	ASCATEPC1	drama-AA7075	0.206000
77.532	ASCATEPC1	drama-AA7075	0.151000
77.404	ASCATEPC1	drama-AA7075	0.096000
77.276	ASCATEPC1	drama-AA7075	0.041000
77.148	ASCATEPC1	drama-AA7075	0.000000
81.264	DPU-SEM	drama-AA7075	0.790000
81.254	DPU-SEM	drama-AA7075	0.790000
81.206	DPU-SEM	drama-AA7075	0.790000
81.101	DPU-SEM	drama-AA7075	0.790000
80.995	DPU-SEM	drama-AA7075	0.790000
80.889	DPU-SEM	drama-AA7075	0.790000
80.782	DPU-SEM	drama-AA7075	0.790000
80.675	DPU-SEM	drama-AA7075	0.790000
80.567	DPU-SEM	drama-AA7075	0.790000
80.459	DPU-SEM	drama-AA7075	0.790000
80.350	DPU-SEM	drama-AA7075	0.790000
80.240	DPU-SEM	drama-AA7075	0.790000
80.130	DPU-SEM	drama-AA7075	0.790000
80.019	DPU-SEM	drama-AA7075	0.790000
79.908	DPU-SEM	drama-AA7075	0.790000
79.796	DPU-SEM	drama-AA7075	0.790000
79.684	DPU-SEM	drama-AA7075	0.790000
79.570	DPU-SEM	drama-AA7075	0.790000
79.456	DPU-SEM	drama-AA7075	0.790000
79.342	DPU-SEM	drama-AA7075	0.790000
79.226	DPU-SEM	drama-AA7075	0.790000
79.110	DPU-SEM	drama-AA7075	0.790000
78.993	DPU-SEM	drama-AA7075	0.790000
78.875	DPU-SEM	drama-AA7075	0.775000
78.757	DPU-SEM	drama-AA7075	0.720000
78.637	DPU-SEM	drama-AA7075	0.664000
78.517	DPU-SEM	drama-AA7075	0.608000
78.396	DPU-SEM	drama-AA7075	0.552000
78.274	DPU-SEM	drama-AA7075	0.496000
78.151	DPU-SEM	drama-AA7075	0.440000
78.028	DPU-SEM	drama-AA7075	0.383000
77.903	DPU-SEM	drama-AA7075	0.327000
77.778	DPU-SEM	drama-AA7075	0.270000
77.652	DPU-SEM	drama-AA7075	0.214000
77.525	DPU-SEM	drama-AA7075	0.158000
77.397	DPU-SEM	drama-AA7075	0.103000
77.269	DPU-SEM	drama-AA7075	0.049000
77.140	DPU-SEM	drama-AA7075	0.000000
92.776	SAsupp5	drama-AA7075	0.340000
92.770	SAsupp5	drama-AA7075	0.340000
92.740	SAsupp5	drama-AA7075	0.340000
92.672	SAsupp5	drama-AA7075	0.340000
92.605	SAsupp5	drama-AA7075	0.340000
92.537	SAsupp5	drama-AA7075	0.340000
92.469	SAsupp5	drama-AA7075	0.340000
92.401	SAsupp5	drama-AA7075	0.340000
92.333	SAsupp5	drama-AA7075	0.340000
92.264	SAsupp5	drama-AA7075	0.340000
92.196	SAsupp5	drama-AA7075	0.340000
92.127	SAsupp5	drama-AA7075	0.340000
92.058	SAsupp5	drama-AA7075	0.340000
91.989	SAsupp5	drama-AA7075	0.340000
91.919	SAsupp5	drama-AA7075	0.340000
91.850	SAsupp5	drama-AA7075	0.340000
91.780	SAsupp5	drama-AA7075	0.340000
91.709	SAsupp5	drama-AA7075	0.340000
91.639	SAsupp5	drama-AA7075	0.340000
91.568	SAsupp5	drama-AA7075	0.340000
91.497	SAsupp5	drama-AA7075	0.340000
91.426	SAsupp5	drama-AA7075	0.340000
91.354	SAsupp5	drama-AA7075	0.340000
91.282	SAsupp5	drama-AA7075	0.340000
91.210	SAsupp5	drama-AA7075	0.340000
91.138	SAsupp5	drama-AA7075	0.340000
91.065	SAsupp5	drama-AA7075	0.340000
90.991	SAsupp5	drama-AA7075	0.340000
90.918	SAsupp5	drama-AA7075	0.340000
90.844	SAsupp5	drama-AA7075	0.340000
