Velocity (km/s),Altitude (km)
7.412,119.716
7.412,119.703
7.412,119.691
7.412,119.678
7.412,119.665
7.412,119.652
7.412,119.639
7.412,119.626
7.412,119.613
7.412,119.6
7.412,119.587
7.412,119.574
7.412,119.561
7.412,119.548
7.412,119.535
7.412,119.523
7.412,119.51
7.412,119.497
7.412,119.484
7.412,119.471
7.412,119.458
7.412,119.445
7.412,119.432
7.412,119.419
7.412,119.406
7.412,119.393
7.412,119.38
7.412,119.367
7.412,119.354
7.412,119.342
7.412,119.329
7.412,119.316
7.412,119.303
7.412,119.29
7.412,119.277
7.412,119.264
7.412,119.251
7.412,119.238
7.412,119.225
7.412,119.212
7.412,119.199
7.412,119.186
7.412,119.174
7.412,119.161
7.412,119.148
7.412,119.135
7.412,119.122
7.412,119.109
7.412,119.096
7.412,119.083
7.412,119.07
7.412,119.057
7.413,119.044
7.413,119.031
7.413,119.018
7.413,119.006
7.413,118.993
7.413,118.98
7.413,118.967
7.413,118.954
7.413,118.941
7.413,118.928
7.413,118.915
7.413,118.902
7.413,118.889
7.413,118.876
7.413,118.863
7.413,118.85
7.413,118.837
7.413,118.824
7.413,118.812
7.413,118.799
7.413,118.786
7.413,118.773
7.413,118.76
7.413,118.747
7.413,118.734
7.413,118.721
7.413,118.708
7.413,118.695
7.413,118.682
7.413,118.669
7.413,118.656
7.413,118.643
7.413,118.63
7.413,118.618
7.413,118.605
7.413,118.592
7.413,118.579
7.413,118.566
7.413,118.553
7.413,118.54
7.413,118.527
7.413,118.514
7.413,118.501
7.413,118.488
7.413,118.475
7.413,118.462
7.413,118.449
7.413,118.436
7.413,118.423
7.413,118.41
7.413,118.398
7.413,118.385
7.413,118.372
7.413,118.359
7.413,118.346
7.413,118.333
7.413,118.32
7.413,118.307
7.413,118.294
7.413,118.281
7.413,118.268
7.413,118.255
7.413,118.242
7.413,118.229
7.413,118.216
7.413,118.203
7.413,118.19
7.413,118.177
7.413,118.164
7.413,118.151
7.413,118.138
7.413,118.125
7.413,118.113
7.413,118.1
7.413,118.087
7.413,118.074
7.413,118.061
7.413,118.048
7.413,118.035
7.413,118.022
7.413,118.009
7.413,117.996
7.413,117.983
7.413,117.97
7.413,117.957
7.413,117.944
7.413,117.931
7.413,117.918
7.413,117.905
7.413,117.892
7.413,117.879
7.413,117.866
7.413,117.853
7.413,117.84
7.413,117.827
7.413,117.814
7.413,117.801
7.413,117.788
7.413,117.775
7.413,117.762
7.413,117.749
7.413,117.736
7.413,117.723
7.413,117.71
7.413,117.697
7.413,117.684
7.413,117.671
7.414,117.658
7.414,117.645
7.414,117.632
7.414,117.619
7.414,117.606
7.414,117.593
7.414,117.58
7.414,117.567
7.414,117.554
7.414,117.541
7.414,117.528
7.414,117.515
7.414,117.502
7.414,117.489
7.414,117.476
7.414,117.463
7.414,117.45
7.414,117.437
7.414,117.424
7.414,117.411
7.414,117.398
7.414,117.385
7.414,117.372
7.414,117.359
7.414,117.346
7.414,117.333
7.414,117.32
7.414,117.307
7.414,117.294
7.414,117.281
7.414,117.268
7.414,117.255
7.414,117.242
7.414,117.229
7.414,117.215
7.414,117.202
7.414,117.189
7.414,117.176
7.414,117.163
7.414,117.15
7.414,117.137
7.414,117.124
7.414,117.111
7.414,117.098
7.414,117.085
7.414,117.072
7.414,117.059
7.414,117.046
7.414,117.033
7.414,117.019
7.414,117.006
7.414,116.993
7.414,116.98
7.414,116.967
7.414,116.954
7.414,116.941
7.414,116.928
7.414,116.915
7.414,116.902
7.414,116.889
7.414,116.875
7.414,116.862
7.414,116.849
7.414,116.836
7.414,116.823
7.414,116.81
7.414,116.797
7.414,116.784
7.414,116.771
7.414,116.757
7.414,116.744
7.414,116.731
7.414,116.718
7.414,116.705
7.414,116.692
7.414,116.679
7.414,116.666
7.414,116.652
7.414,116.639
7.414,116.626
7.414,116.613
7.414,116.6
7.414,116.587
7.414,116.574
7.414,116.56
7.414,116.547
7.414,116.534
7.414,116.521
7.414,116.508
7.414,116.495
7.414,116.481
7.414,116.468
7.414,116.455
7.414,116.442
7.414,116.429
7.414,116.415
7.414,116.402
7.414,116.389
7.414,116.376
7.414,116.363
7.414,116.349
7.414,116.336
7.414,116.323
7.414,116.31
7.414,116.297
7.414,116.283
7.414,116.27
7.414,116.257
7.414,116.244
7.414,116.231
7.414,116.217
7.414,116.204
7.414,116.191
7.414,116.178
7.414,116.164
7.414,116.151
7.414,116.138
7.414,116.125
7.414,116.111
7.414,116.098
7.414,116.085
7.414,116.072
7.414,116.058
7.414,116.045
7.414,116.032
7.415,116.018
7.415,116.005
7.415,115.992
7.415,115.979
7.415,115.965
7.415,115.952
7.415,115.939
7.415,115.925
7.415,115.912
7.415,115.899
7.415,115.885
7.415,115.872
7.415,115.859
7.415,115.845
7.415,115.832
7.415,115.819
7.415,115.805
7.415,115.792
7.415,115.779
7.415,115.765
7.415,115.752
7.415,115.739
7.415,115.725
7.415,115.712
7.415,115.699
7.415,115.685
7.415,115.672
7.415,115.658
7.415,115.645
7.415,115.632
7.415,115.618
7.415,115.605
7.415,115.592
7.415,115.578
7.415,115.565
7.415,115.551
7.415,115.538
7.415,115.524
7.415,115.511
7.415,115.498
7.415,115.484
7.415,115.471
7.415,115.457
7.415,115.444
7.415,115.43
7.415,115.417
7.415,115.403
7.415,115.39
7.415,115.377
7.415,115.363
7.415,115.35
7.415,115.336
7.415,115.323
7.415,115.309
7.415,115.296
7.415,115.282
7.415,115.269
7.415,115.255
7.415,115.242
7.415,115.228
7.415,115.215
7.415,115.201
7.415,115.187
7.415,115.174
7.415,115.16
7.415,115.147
7.415,115.133
7.415,115.12
7.415,115.106
7.415,115.093
7.415,115.079
7.415,115.065
7.415,115.052
7.415,115.038
7.415,115.025
7.415,115.011
7.415,114.997
7.415,114.984
7.415,114.97
7.415,114.957
7.415,114.943
7.415,114.929
7.415,114.916
7.415,114.902
7.415,114.888
7.415,114.875
7.415,114.861
7.415,114.847
7.415,114.834
7.415,114.82
7.415,114.806
7.415,114.793
7.415,114.779
7.415,114.765
7.415,114.752
7.415,114.738
7.415,114.724
7.415,114.711
7.415,114.697
7.415,114.683
7.415,114.669
7.415,114.656
7.415,114.642
7.415,114.628
7.415,114.614
7.415,114.601
7.415,114.587
7.415,114.573
7.415,114.559
7.415,114.545
7.415,114.532
7.415,114.518
7.415,114.504
7.415,114.49
7.415,114.476
7.415,114.463
7.415,114.449
7.415,114.435
7.415,114.421
7.415,114.407
7.415,114.393
7.415,114.379
7.415,114.366
7.415,114.352
7.415,114.338
7.415,114.324
7.415,114.31
7.415,114.296
7.415,114.282
7.415,114.268
7.415,114.254
7.415,114.24
7.415,114.227
7.415,114.213
7.415,114.199
7.415,114.185
7.415,114.171
7.415,114.157
7.415,114.143
7.415,114.129
7.415,114.115
7.415,114.101
7.415,114.087
7.415,114.073
7.415,114.059
7.415,114.045
7.415,114.031
7.415,114.017
7.415,114.003
7.415,113.989
7.415,113.975
7.415,113.96
7.415,113.946
7.415,113.932
7.415,113.918
7.415,113.904
7.415,113.89
7.415,113.876
7.415,113.862
7.415,113.848
7.415,113.834
7.415,113.819
7.415,113.805
7.415,113.791
7.415,113.777
7.415,113.763
7.415,113.749
7.415,113.734
7.415,113.72
7.415,113.706
7.416,113.692
7.416,113.678
7.416,113.663
7.416,113.649
7.416,113.635
7.416,113.621
7.416,113.606
7.416,113.592
7.416,113.578
7.416,113.564
7.416,113.549
7.416,113.535
7.416,113.521
7.416,113.506
7.416,113.492
7.416,113.478
7.416,113.463
7.416,113.449
7.416,113.435
7.416,113.42
7.416,113.406
7.416,113.392
7.416,113.377
7.416,113.363
7.416,113.348
7.416,113.334
7.416,113.319
7.416,113.305
7.416,113.291
7.416,113.276
7.416,113.262
7.416,113.247
7.416,113.233
7.416,113.218
7.416,113.204
7.416,113.189
7.416,113.175
7.416,113.16
7.416,113.146
7.416,113.131
7.416,113.117
7.416,113.102
7.416,113.088
7.416,113.073
7.416,113.058
7.416,113.044
7.416,113.029
7.416,113.015
7.416,113.0
7.416,112.985
7.416,112.971
7.416,112.956
7.416,112.941
7.416,112.927
7.416,112.912
7.416,112.897
7.416,112.883
7.416,112.868
7.416,112.853
7.416,112.838
7.416,112.824
7.416,112.809
7.416,112.794
7.416,112.779
7.416,112.765
7.416,112.75
7.416,112.735
7.416,112.72
7.416,112.705
7.416,112.691
7.416,112.676
7.416,112.661
7.416,112.646
7.416,112.631
7.416,112.616
7.416,112.601
7.416,112.587
7.416,112.572
7.416,112.557
7.416,112.542
7.416,112.527
7.416,112.512
7.416,112.497
7.416,112.482
7.416,112.467
7.416,112.452
7.416,112.437
7.416,112.422
7.416,112.407
7.416,112.392
7.416,112.377
7.416,112.362
7.416,112.347
7.416,112.332
7.416,112.317
7.416,112.302
7.416,112.286
7.416,112.271
7.416,112.256
7.416,112.241
7.416,112.226
7.416,112.211
7.416,112.196
7.416,112.18
7.416,112.165
7.416,112.15
7.416,112.135
7.416,112.119
7.416,112.104
7.416,112.089
7.416,112.074
7.416,112.058
7.416,112.043
7.416,112.028
7.416,112.012
7.416,111.997
7.416,111.982
7.416,111.966
7.416,111.951
7.416,111.936
7.416,111.92
7.416,111.905
7.416,111.89
7.416,111.874
7.416,111.859
7.416,111.843
7.416,111.828
7.416,111.812
7.416,111.797
7.416,111.781
7.416,111.766
7.416,111.75
7.416,111.735
7.416,111.719
7.416,111.704
7.416,111.688
7.416,111.672
7.416,111.657
7.416,111.641
7.416,111.626
7.416,111.61
7.416,111.594
7.416,111.579
7.416,111.563
7.416,111.547
7.416,111.532
7.416,111.516
7.416,111.5
7.416,111.484
7.416,111.469
7.416,111.453
7.416,111.437
7.416,111.421
7.416,111.406
7.416,111.39
7.416,111.374
7.416,111.358
7.416,111.342
7.416,111.326
7.416,111.31
7.416,111.295
7.416,111.279
7.416,111.263
7.416,111.247
7.416,111.231
7.416,111.215
7.416,111.199
7.416,111.183
7.416,111.167
7.416,111.151
7.416,111.135
7.416,111.119
7.416,111.103
7.416,111.087
7.416,111.071
7.416,111.054
7.416,111.038
7.416,111.022
7.416,111.006
7.416,110.99
7.416,110.974
7.416,110.957
7.416,110.941
7.416,110.925
7.416,110.909
7.416,110.893
7.416,110.876
7.416,110.86
7.416,110.844
7.416,110.827
7.416,110.811
7.416,110.795
7.416,110.778
7.416,110.762
7.416,110.746
7.416,110.729
7.416,110.713
7.416,110.696
7.416,110.68
7.416,110.663
7.416,110.647
7.416,110.63
7.416,110.614
7.416,110.597
7.416,110.581
7.416,110.564
7.416,110.548
7.416,110.531
7.416,110.514
7.416,110.498
7.416,110.481
7.416,110.465
7.416,110.448
7.416,110.431
7.416,110.415
7.416,110.398
7.416,110.381
7.416,110.364
7.416,110.348
7.416,110.331
7.416,110.314
7.416,110.297
7.416,110.28
7.416,110.263
7.416,110.247
7.416,110.23
7.416,110.213
7.416,110.196
7.416,110.179
7.416,110.162
7.416,110.145
7.416,110.128
7.416,110.111
7.416,110.094
7.416,110.077
7.416,110.06
7.416,110.043
7.416,110.026
7.416,110.009
7.416,109.992
7.416,109.974
7.416,109.957
7.416,109.94
7.416,109.923
7.416,109.906
7.416,109.889
7.416,109.871
7.416,109.854
7.416,109.837
7.416,109.819
7.416,109.802
7.416,109.785
7.416,109.767
7.416,109.75
7.416,109.733
7.416,109.715
7.416,109.698
7.416,109.68
7.416,109.663
7.416,109.646
7.416,109.628
7.416,109.611
7.416,109.593
7.416,109.575
7.416,109.558
7.416,109.54
7.416,109.523
7.416,109.505
7.416,109.487
7.416,109.47
7.416,109.452
7.416,109.434
7.416,109.417
7.416,109.399
7.416,109.381
7.416,109.363
7.416,109.346
7.416,109.328
7.416,109.31
7.416,109.292
7.416,109.274
7.416,109.256
7.416,109.238
7.416,109.22
7.416,109.202
7.416,109.184
7.416,109.166
7.416,109.148
7.416,109.13
7.416,109.112
7.416,109.094
7.416,109.076
7.416,109.058
7.416,109.04
7.416,109.022
7.416,109.004
7.415,108.985
7.415,108.967
7.415,108.949
7.415,108.931
7.415,108.912
7.415,108.894
7.415,108.876
7.415,108.857
7.415,108.839
7.415,108.821
7.415,108.802
7.415,108.784
7.415,108.765
7.415,108.747
7.415,108.728
7.415,108.71
7.415,108.691
7.415,108.673
7.415,108.654
7.415,108.636
7.415,108.617
7.415,108.598
7.415,108.58
7.415,108.561
7.415,108.542
7.415,108.524
7.415,108.505
7.415,108.486
7.415,108.467
7.415,108.448
7.415,108.43
7.415,108.411
7.415,108.392
7.415,108.373
7.415,108.354
7.415,108.335
7.415,108.316
7.415,108.297
7.415,108.278
7.415,108.259
7.415,108.24
7.415,108.221
7.415,108.202
7.415,108.183
7.415,108.163
7.415,108.144
7.415,108.125
7.415,108.106
7.415,108.087
7.415,108.067
7.415,108.048
7.415,108.029
7.415,108.009
7.415,107.99
7.415,107.97
7.415,107.951
7.415,107.932
7.415,107.912
7.415,107.893
7.415,107.873
7.415,107.854
7.415,107.834
7.415,107.814
7.415,107.795
7.415,107.775
7.415,107.755
7.415,107.736
7.415,107.716
7.415,107.696
7.415,107.676
7.415,107.657
7.415,107.637
7.415,107.617
7.415,107.597
7.415,107.577
7.415,107.557
7.415,107.537
7.415,107.517
7.415,107.497
7.415,107.477
7.415,107.457
7.415,107.437
7.415,107.417
7.415,107.397
7.415,107.377
7.415,107.357
7.415,107.336
7.415,107.316
7.415,107.296
7.415,107.276
7.415,107.255
7.415,107.235
7.415,107.215
7.414,107.194
7.414,107.174
7.414,107.153
7.414,107.133
7.414,107.112
7.414,107.092
7.414,107.071
7.414,107.051
7.414,107.03
7.414,107.009
7.414,106.989
7.414,106.968
7.414,106.947
7.414,106.926
7.414,106.906
7.414,106.885
7.414,106.864
7.414,106.843
7.414,106.822
7.414,106.801
7.414,106.78
7.414,106.759
7.414,106.738
7.414,106.717
7.414,106.696
7.414,106.675
7.414,106.654
7.414,106.633
7.414,106.612
7.414,106.59
7.414,106.569
7.414,106.548
7.414,106.527
7.414,106.505
7.414,106.484
7.414,106.462
7.414,106.441
7.414,106.42
7.414,106.398
7.414,106.377
7.414,106.355
7.414,106.333
7.414,106.312
7.414,106.29
7.414,106.269
7.414,106.247
7.414,106.225
7.414,106.203
7.414,106.181
7.414,106.16
7.414,106.138
7.414,106.116
7.414,106.094
7.414,106.072
7.413,106.05
7.413,106.028
7.413,106.006
7.413,105.984
7.413,105.962
7.413,105.94
7.413,105.917
7.413,105.895
7.413,105.873
7.413,105.851
7.413,105.828
7.413,105.806
7.413,105.784
7.413,105.761
7.413,105.739
7.413,105.716
7.413,105.694
7.413,105.671
7.413,105.649
7.413,105.626
7.413,105.603
7.413,105.581
7.413,105.558
7.413,105.535
7.413,105.512
7.413,105.49
7.413,105.467
7.413,105.444
7.413,105.421
7.413,105.398
7.413,105.375
7.413,105.352
7.413,105.329
7.413,105.306
7.413,105.283
7.413,105.26
7.413,105.236
7.413,105.213
7.413,105.19
7.413,105.167
7.412,105.143
7.412,105.12
7.412,105.096
7.412,105.073
7.412,105.049
7.412,105.026
7.412,105.002
7.412,104.979
7.412,104.955
7.412,104.931
7.412,104.908
7.412,104.884
7.412,104.86
7.412,104.836
7.412,104.812
7.412,104.789
7.412,104.765
7.412,104.741
7.412,104.717
7.412,104.693
7.412,104.668
7.412,104.644
7.412,104.62
7.412,104.596
7.412,104.572
7.412,104.547
7.412,104.523
7.412,104.499
7.412,104.474
7.412,104.45
7.412,104.425
7.411,104.401
7.411,104.376
7.411,104.352
7.411,104.327
7.411,104.302
7.411,104.278
7.411,104.253
