Velocity (km/s),Altitude (km)
6.836,69.055
6.826,68.887
6.816,68.718
6.806,68.547
6.796,68.376
6.785,68.203
6.774,68.028
6.763,67.853
6.752,67.676
6.741,67.497
6.729,67.318
6.717,67.137
6.705,66.954
6.692,66.771
6.68,66.586
6.667,66.399
6.653,66.211
6.64,66.021
6.626,65.83
6.611,65.638
6.597,65.444
6.582,65.248
6.567,65.051
6.551,64.852
6.535,64.652
6.519,64.45
6.502,64.246
6.485,64.041
6.468,63.834
6.45,63.625
6.432,63.415
6.413,63.203
6.394,62.989
6.374,62.774
6.354,62.556
6.334,62.337
6.313,62.116
6.292,61.893
6.27,61.668
6.248,61.442
6.225,61.213
6.201,60.983
6.178,60.75
6.153,60.516
6.128,60.28
6.103,60.041
6.077,59.801
6.05,59.558
6.023,59.314
5.995,59.067
5.966,58.819
5.937,58.568
5.907,58.315
5.877,58.06
5.846,57.803
5.814,57.544
5.781,57.283
5.748,57.019
5.714,56.753
5.68,56.485
5.644,56.215
5.608,55.943
5.571,55.668
5.534,55.391
5.495,55.112
5.456,54.831
5.416,54.547
5.376,54.261
5.334,53.973
5.292,53.683
5.249,53.39
5.205,53.096
5.16,52.799
5.114,52.5
5.068,52.198
5.021,51.895
4.973,51.589
4.924,51.281
4.874,50.971
4.824,50.659
4.772,50.345
4.719,50.029
4.666,49.711
4.611,49.391
4.556,49.068
4.5,48.745
4.442,48.419
4.384,48.092
4.325,47.762
4.265,47.432
4.205,47.1
4.143,46.766
4.08,46.431
4.016,46.094
3.952,45.757
3.886,45.418
3.819,45.078
3.752,44.737
3.684,44.396
3.615,44.054
3.545,43.711
3.475,43.368
3.404,43.025
3.333,42.681
3.261,42.338
3.189,41.994
3.116,41.651
3.044,41.308
2.971,40.965
2.898,40.623
2.825,40.282
2.752,39.941
2.68,39.601
2.608,39.263
2.536,38.925
2.465,38.589
2.394,38.254
2.324,37.921
2.255,37.589
2.186,37.259
2.119,36.931
2.052,36.604
1.987,36.28
1.922,35.957
1.859,35.637
1.797,35.318
1.736,35.002
1.677,34.688
1.618,34.376
1.562,34.066
1.506,33.759
1.452,33.454
1.4,33.151
1.349,32.85
1.299,32.552
1.251,32.257
1.204,31.963
1.159,31.672
1.116,31.383
1.074,31.097
1.033,30.813
0.994,30.53
0.957,30.25
0.921,29.972
0.886,29.696
0.853,29.422
0.82,29.15
0.79,28.88
0.76,28.611
0.732,28.345
0.705,28.08
0.679,27.816
0.654,27.555
0.63,27.295
0.607,27.036
0.586,26.779
0.565,26.524
0.545,26.27
0.526,26.018
0.508,25.767
0.49,25.517
0.474,25.269
0.458,25.022
0.443,24.777
0.428,24.533
0.415,24.29
0.402,24.049
0.389,23.809
0.377,23.57
0.366,23.333
0.355,23.097
0.345,22.863
0.335,22.63
0.326,22.398
0.317,22.168
0.309,21.94
0.301,21.713
0.299,21.668
0.298,21.627
0.297,21.591
0.296,21.558
0.294,21.514
0.294,21.505
0.294,21.501
0.294,21.496
0.294,21.492
0.294,21.471
0.294,21.467
0.294,21.465
0.294,21.464
0.294,21.461
0.294,21.451
0.294,21.439
0.293,21.427
0.293,21.414
0.293,21.399
0.293,21.333
0.293,21.104
0.293,20.871
0.292,20.635
0.292,20.396
0.291,20.155
0.29,19.911
0.288,19.666
0.287,19.419
0.285,19.171
0.283,18.922
0.281,18.672
0.279,18.422
0.277,18.172
0.274,17.923
0.271,17.674
0.269,17.426
0.265,17.179
0.262,16.933
0.259,16.689
0.256,16.447
0.252,16.207
0.249,15.969
0.245,15.733
0.241,15.5
0.238,15.269
0.234,15.041
0.23,14.816
0.227,14.594
0.223,14.374
0.219,14.158
0.216,13.945
0.212,13.734
0.209,13.527
0.205,13.323
0.202,13.122
0.198,12.924
0.195,12.729
0.192,12.537
0.189,12.347
0.186,12.161
0.183,11.978
0.18,11.797
0.177,11.619
0.174,11.444
0.171,11.272
0.169,11.102
0.166,10.934
0.164,10.77
0.161,10.607
0.159,10.447
0.157,10.289
0.155,10.132
0.153,9.978
0.151,9.826
0.15,9.676
0.148,9.527
0.146,9.38
0.145,9.235
0.143,9.091
0.142,8.949
0.14,8.808
0.139,8.669
0.137,8.531
0.136,8.395
0.135,8.259
0.133,8.126
0.132,7.993
0.131,7.861
0.13,7.731
0.129,7.602
0.128,7.474
0.127,7.347
0.126,7.222
0.124,7.097
0.123,6.973
0.122,6.851
0.121,6.729
0.121,6.608
0.12,6.488
0.119,6.37
0.118,6.252
0.117,6.135
0.116,6.018
0.115,5.903
0.114,5.788
0.114,5.675
0.113,5.562
0.112,5.45
0.111,5.338
0.11,5.228
0.11,5.118
0.109,5.009
0.108,4.901
0.108,4.793
0.107,4.686
0.106,4.58
0.105,4.474
0.105,4.369
0.104,4.265
0.104,4.161
0.103,4.058
0.102,3.956
0.102,3.854
0.101,3.753
0.1,3.652
0.1,3.552
0.099,3.452
0.099,3.353
0.098,3.255
0.098,3.157
0.097,3.06
0.097,2.963
0.096,2.867
0.096,2.771
0.095,2.676
0.095,2.581
0.094,2.487
0.094,2.394
0.093,2.3
0.093,2.208
0.092,2.115
0.092,2.024
0.091,1.932
0.091,1.841
0.09,1.751
0.09,1.661
0.089,1.571
0.089,1.482
0.089,1.393
0.088,1.305
0.088,1.217
0.087,1.13
0.087,1.043
0.086,0.956
0.086,0.87
0.086,0.784
0.085,0.698
0.085,0.613
0.085,0.529
0.084,0.444
0.084,0.36
0.083,0.277
0.083,0.194
0.083,0.111
0.082,0.028
0.082,0.0
