Altitude (km)	Objet	Matériau	Mass (kg)
70.563	RFCU5	drama-AA7075	1.800000
70.549	RFCU5	drama-AA7075	1.800000
70.486	RFCU5	drama-AA7075	1.800000
70.345	RFCU5	drama-AA7075	1.800000
70.203	RFCU5	drama-AA7075	1.800000
70.060	RFCU5	drama-AA7075	1.800000
69.916	RFCU5	drama-AA7075	1.800000
69.772	RFCU5	drama-AA7075	1.800000
69.626	RFCU5	drama-AA7075	1.800000
69.480	RFCU5	drama-AA7075	1.800000
69.333	RFCU5	drama-AA7075	1.800000
69.184	RFCU5	drama-AA7075	1.800000
69.034	RFCU5	drama-AA7075	1.800000
68.884	RFCU5	drama-AA7075	1.800000
68.731	RFCU5	drama-AA7075	1.800000
68.578	RFCU5	drama-AA7075	1.800000
68.423	RFCU5	drama-AA7075	1.800000
68.267	RFCU5	drama-AA7075	1.800000
68.110	RFCU5	drama-AA7075	1.800000
67.950	RFCU5	drama-AA7075	1.800000
67.790	RFCU5	drama-AA7075	1.800000
67.628	RFCU5	drama-AA7075	1.776000
67.464	RFCU5	drama-AA7075	1.651000
67.298	RFCU5	drama-AA7075	1.527000
67.131	RFCU5	drama-AA7075	1.404000
66.962	RFCU5	drama-AA7075	1.283000
66.792	RFCU5	drama-AA7075	1.164000
66.620	RFCU5	drama-AA7075	1.047000
66.447	RFCU5	drama-AA7075	0.932000
66.272	RFCU5	drama-AA7075	0.820000
66.097	RFCU5	drama-AA7075	0.711000
65.920	RFCU5	drama-AA7075	0.607000
65.743	RFCU5	drama-AA7075	0.507000
65.565	RFCU5	drama-AA7075	0.414000
65.388	RFCU5	drama-AA7075	0.327000
65.212	RFCU5	drama-AA7075	0.248000
65.038	RFCU5	drama-AA7075	0.179000
64.868	RFCU5	drama-AA7075	0.121000
64.704	RFCU5	drama-AA7075	0.077000
64.550	RFCU5	drama-AA7075	0.047000
64.467	RFCU5	drama-AA7075	0.036000
64.390	RFCU5	drama-AA7075	0.028000
64.315	RFCU5	drama-AA7075	0.024000
64.247	RFCU5	drama-AA7075	0.022000
64.186	RFCU5	drama-AA7075	0.022000
64.129	RFCU5	drama-AA7075	0.022000
64.065	RFCU5	drama-AA7075	0.022000
63.997	RFCU5	drama-AA7075	0.022000
63.921	RFCU5	drama-AA7075	0.022000
63.843	RFCU5	drama-AA7075	0.022000
63.765	RFCU5	drama-AA7075	0.022000
63.685	RFCU5	drama-AA7075	0.022000
63.604	RFCU5	drama-AA7075	0.022000
63.521	RFCU5	drama-AA7075	0.022000
63.435	RFCU5	drama-AA7075	0.022000
63.346	RFCU5	drama-AA7075	0.022000
63.254	RFCU5	drama-AA7075	0.022000
63.159	RFCU5	drama-AA7075	0.022000
63.061	RFCU5	drama-AA7075	0.022000
62.960	RFCU5	drama-AA7075	0.022000
62.855	RFCU5	drama-AA7075	0.022000
62.746	RFCU5	drama-AA7075	0.022000
62.635	RFCU5	drama-AA7075	0.022000
62.519	RFCU5	drama-AA7075	0.022000
62.400	RFCU5	drama-AA7075	0.022000
62.278	RFCU5	drama-AA7075	0.022000
62.152	RFCU5	drama-AA7075	0.022000
62.022	RFCU5	drama-AA7075	0.022000
61.996	RFCU5	drama-AA7075	0.022000
61.993	RFCU5	drama-AA7075	0.022000
61.991	RFCU5	drama-AA7075	0.022000
61.989	RFCU5	drama-AA7075	0.022000
61.979	RFCU5	drama-AA7075	0.022000
61.935	RFCU5	drama-AA7075	0.022000
61.797	RFCU5	drama-AA7075	0.022000
61.653	RFCU5	drama-AA7075	0.022000
61.503	RFCU5	drama-AA7075	0.022000
61.347	RFCU5	drama-AA7075	0.022000
61.185	RFCU5	drama-AA7075	0.022000
61.018	RFCU5	drama-AA7075	0.022000
60.846	RFCU5	drama-AA7075	0.022000
60.668	RFCU5	drama-AA7075	0.022000
60.486	RFCU5	drama-AA7075	0.022000
60.299	RFCU5	drama-AA7075	0.022000
60.107	RFCU5	drama-AA7075	0.022000
59.911	RFCU5	drama-AA7075	0.022000
59.711	RFCU5	drama-AA7075	0.022000
59.507	RFCU5	drama-AA7075	0.022000
59.299	RFCU5	drama-AA7075	0.022000
59.089	RFCU5	drama-AA7075	0.022000
58.875	RFCU5	drama-AA7075	0.022000
58.658	RFCU5	drama-AA7075	0.022000
58.438	RFCU5	drama-AA7075	0.022000
58.216	RFCU5	drama-AA7075	0.022000
57.992	RFCU5	drama-AA7075	0.022000
57.766	RFCU5	drama-AA7075	0.022000
57.538	RFCU5	drama-AA7075	0.022000
57.308	RFCU5	drama-AA7075	0.022000
57.077	RFCU5	drama-AA7075	0.022000
56.846	RFCU5	drama-AA7075	0.022000
56.613	RFCU5	drama-AA7075	0.022000
