Altitude (km),Total Mass Loss Rate (kg/km)
0.8117070707070706,0.0
1.4359346733668341,0.0004301803757586147
2.0601622760265976,0.00036266619376570074
2.6843898786863614,0.001098482956405642
3.3086174813461247,0.0003056363868813268
3.932845084005888,0.0
4.557072686665652,0.00015305889231729996
5.181300289325415,0.000945905461830349
5.805527891985179,0.0005152436883202306
6.429755494644942,0.0002776028811967628
7.053983097304705,0.001070449450721077
7.6782106999644695,0.00039069969945026463
8.302438302624232,0.0
8.926665905283997,6.799557975053693e-05
9.55089350794376,0.0008608421492748546
10.175121110603524,0.0006003070008964909
10.799348713263287,0.00019253956862508862
11.42357631592305,0.0009853861381381361
12.047803918582813,0.00047576301201244164
12.672031521242577,0.0
13.29625912390234,0.0
13.920486726562105,0.0007757788367059151
14.544714329221868,0.0006853703134654277
15.168941931881632,0.00010747625605888663
15.793169534541395,0.0009003228255832009
16.417397137201156,0.0005608263245881442
17.04162473986092,0.0
17.665852342520687,0.0
18.29007994518045,0.000690715524127167
18.91430754784021,0.0007704336260234226
19.538535150499975,2.241294348994855e-05
20.16276275315974,0.0008152595130142651
20.786990355819505,0.000750567123183691
21.41121795847927,0.0003282158137260994
22.035445561139028,0.0007760539972433479
22.659673163798793,0.0010135656854572779
23.283900766458558,0.0009659927105277703
23.908128369118323,0.0004958197928215652
24.53235597177808,0.0005945108885755944
25.156583574437846,0.0008295137479740959
25.78081117709761,0.0011365972043632035
26.405038779757376,0.0012595631480824283
27.02926638241714,0.001475835946506044
27.6534939850769,0.0016536041111497974
28.277721587736664,0.00154741198330961
28.90194919039643,0.0018077964252322973
29.526176793056194,0.002147819690585586
30.150404395715952,0.0024811880960287098
30.774631998375718,0.003659887167670151
31.398859601035483,0.004165804815860802
32.02308720369525,0.0042919780458910055
32.64731480635501,0.005735334703089475
33.27154240901478,0.0064091763373883386
33.895770011674536,0.006849505628989209
34.5199976143343,0.007506436435783602
35.144225216994066,0.008878972638060036
35.76845281965383,0.010503012108325493
36.392680422313596,0.012298534119825495
37.016908024973354,0.01394261162744957
37.64113562763312,0.015743133169334556
38.265363230292884,0.017675823029088766
38.88959083295265,0.01973574572599531
39.51381843561241,0.022065544183474863
40.13804603827217,0.02464929560499622
40.76227364093194,0.03407658255516946
41.3865012435917,0.04876581680199309
42.01072884625147,0.12080873343730394
42.634956448911225,0.24303403949548907
43.25918405157099,0.39137784688134186
43.883411654230756,0.5644500665383094
44.50763925689052,0.75239898993035
45.13186685955028,0.9559304163746007
45.756094462210044,1.173809309110961
46.38032206486981,1.4080075885025416
47.004549667529574,1.6548858423224706
47.62877727018934,1.9185594201624918
48.2530048728491,2.1978276374045516
48.87723247550886,2.5120414664832134
49.50146007816863,2.93520229356607
50.12568768082839,3.519200292624094
50.74991528348815,4.1948978541317326
51.374142886147915,4.922469986968562
51.99837048880768,5.22263277425367
52.622598091467445,5.1703809862955525
53.24682569412721,8.672271931157438
53.87105329678697,13.239490486915694
54.49528089944673,17.094860805480113
55.1195085021065,17.05996341145521
55.74373610476626,12.337964633304901
56.36796370742603,9.682526632334033
56.992191310085786,9.579858759845422
57.61641891274555,10.984509374916936
58.24064651540532,21.12093917127798
58.86487411806508,13.85957070198791
59.48910172072484,5.098312263587768
60.113329323384605,8.65183241407166
60.73755692604437,13.195808035402765
61.361784528704135,23.110819427497706
61.9860121313639,29.321768412867236
62.61023973402366,32.13780579136519
63.23446733668342,39.079159356541105
63.85869493934319,66.82696168814819
64.48292254200295,79.06525339714645
65.10715014466271,83.98307253138793
65.73137774732248,86.81304945616772
66.35560534998224,77.44537768168256
66.979832952642,68.27130596285478
67.60406055530177,68.61672414155537
68.22828815796153,68.48477213684859
68.8525157606213,61.29093036605447
69.47674336328106,54.06202628439817
70.10097096594082,14.512891974994071
70.72519856860059,8.609636834318726
71.34942617126035,13.825211819156085
71.97365377392012,41.141503508609944
72.59788137657988,53.04408822794994
73.22210897923964,46.92239407260523
73.84633658189941,29.71819173410741
74.47056418455917,18.973935209589907
75.09479178721892,29.700770387573694
75.7190193898787,38.54307907372578
76.34324699253845,29.627248663225267
76.96747459519823,32.008942446364664
77.59170219785798,32.01474314119011
78.21592980051774,33.09494420635314
78.84015740317751,41.269409828906106
79.46438500583727,54.53727218772139
80.08861260849704,51.32006538970204
80.7128402111568,48.8403149311514
81.33706781381656,45.955213843220285
81.96129541647633,40.68182930829282
82.58552301913609,34.73113024266376
83.20975062179586,28.572481691786166
83.83397822445562,23.22837033563261
84.45820582711538,16.812468232852666
85.08243342977515,12.65505582309502
85.70666103243491,8.79564666183637
86.33088863509468,8.057423027456153
86.95511623775444,8.52528991976823
87.5793438404142,5.681877715571905
88.20357144307397,1.3550102308378769
88.82779904573373,0.0
89.45202664839348,0.0
90.07625425105326,0.0
90.70048185371301,0.0
91.32470945637279,0.0
91.94893705903254,0.0
92.5731646616923,0.0
93.19739226435208,0.0
93.82161986701183,0.0
94.4458474696716,0.0
95.07007507233136,0.0
95.69430267499112,0.0
96.3185302776509,0.0
96.94275788031065,0.0
97.56698548297042,0.0
98.19121308563018,0.0
98.81544068828994,0.0
99.43966829094971,0.0
100.06389589360947,29.471618895081264
100.68812349626923,26.428016438347537
101.312351098929,20.675949730297198
101.93657870158876,15.038000075175265
102.56080630424853,9.40096628502098
103.18503390690829,1.7063240985446468
103.80926150956805,0.0
104.43348911222782,0.0
105.05771671488758,0.0
105.68194431754735,0.0
106.3061719202071,0.0
106.93039952286686,0.0
107.55462712552664,0.0
108.1788547281864,0.0
108.80308233084617,0.0
109.42730993350592,0.0
110.05153753616568,0.0
110.67576513882545,0.0
111.29999274148521,0.0
111.92422034414498,0.0
112.54844794680474,0.0
113.1726755494645,0.0
113.79690315212427,0.0
114.42113075478403,0.0
115.04535835744379,0.0
115.66958596010356,0.0
116.29381356276332,0.0
116.91804116542309,0.0
117.54226876808285,0.0
118.1664963707426,0.0
118.79072397340238,0.0
119.41495157606214,0.0
120.03917917872191,0.0
120.66340678138167,0.0
121.28763438404143,0.0
121.9118619867012,0.0
122.53608958936096,0.0
123.16031719202073,0.0
123.78454479468049,0.0
124.40877239734024,0.0
125.033,0.0
