Material,Altitude (km),Mass Loss Rate (kg/km)
drama-AA7075,1.262959595959596,0.0
drama-AA7075,2.525919191919192,0.0
drama-AA7075,3.7888787878787884,0.0
drama-AA7075,5.051838383838384,0.0
drama-AA7075,6.31479797979798,0.0
drama-AA7075,7.577757575757577,0.0
drama-AA7075,8.840717171717172,0.0
drama-AA7075,10.103676767676768,0.0
drama-AA7075,11.366636363636365,0.0
drama-AA7075,12.62959595959596,0.0
drama-AA7075,13.892555555555557,0.0
drama-AA7075,15.155515151515154,0.0
drama-AA7075,16.41847474747475,0.0
drama-AA7075,17.681434343434344,0.0
drama-AA7075,18.94439393939394,0.0
drama-AA7075,20.207353535353537,0.0
drama-AA7075,21.470313131313134,0.0
drama-AA7075,22.73327272727273,0.0
drama-AA7075,23.996232323232324,0.0
drama-AA7075,25.25919191919192,0.0
drama-AA7075,26.522151515151517,0.0
drama-AA7075,27.785111111111114,0.0
drama-AA7075,29.04807070707071,0.0
drama-AA7075,30.311030303030307,0.0
drama-AA7075,31.5739898989899,0.0
drama-AA7075,32.8369494949495,0.0
drama-AA7075,34.099909090909094,0.0
drama-AA7075,35.36286868686869,0.0
drama-AA7075,36.62582828282829,0.0
drama-AA7075,37.88878787878788,0.0
drama-AA7075,39.15174747474748,0.0
drama-AA7075,40.414707070707074,0.0
drama-AA7075,41.67766666666667,0.0
drama-AA7075,42.94062626262627,0.0
drama-AA7075,44.20358585858586,0.0
drama-AA7075,45.46654545454546,0.0
drama-AA7075,46.729505050505054,0.0
drama-AA7075,47.99246464646465,0.0
drama-AA7075,49.25542424242425,0.0
drama-AA7075,50.51838383838384,0.0
drama-AA7075,51.78134343434344,0.0
drama-AA7075,53.044303030303034,0.0
drama-AA7075,54.30726262626263,0.00993494860214313
drama-AA7075,55.57022222222223,0.09094613307802187
drama-AA7075,56.83318181818182,0.24612052728638306
drama-AA7075,58.09614141414142,0.5011735155356242
drama-AA7075,59.359101010101014,1.190706389661068
drama-AA7075,60.622060606060614,8.808464530564464
drama-AA7075,61.88502020202021,19.99725759769624
drama-AA7075,63.1479797979798,33.73726320590125
drama-AA7075,64.4109393939394,44.38551393831391
drama-AA7075,65.673898989899,46.73789123036274
drama-AA7075,66.93685858585859,24.583323212510557
drama-AA7075,68.19981818181819,13.992544298809934
drama-AA7075,69.46277777777779,5.661588036045071
drama-AA7075,70.72573737373737,0.6689521757105313
drama-AA7075,71.98869696969697,2.4341002654290946
drama-AA7075,73.25165656565657,3.9908785547282823
drama-AA7075,74.51461616161616,5.69081838234693
drama-AA7075,75.77757575757576,10.28371853196037
drama-AA7075,77.04053535353536,22.24543106878357
drama-AA7075,78.30349494949496,32.84880584452566
drama-AA7075,79.56645454545455,48.10594760519479
drama-AA7075,80.82941414141415,48.531261232234925
drama-AA7075,82.09237373737375,37.75014373549822
drama-AA7075,83.35533333333333,25.36070205230133
drama-AA7075,84.61829292929293,15.17656565301519
drama-AA7075,85.88125252525253,1.5498102500938506
drama-AA7075,87.14421212121214,0.0
drama-AA7075,88.40717171717172,0.0
drama-AA7075,89.67013131313132,0.0
drama-AA7075,90.93309090909092,0.0
drama-AA7075,92.19605050505051,0.0
drama-AA7075,93.45901010101011,0.0
drama-AA7075,94.72196969696971,0.0
drama-AA7075,95.9849292929293,0.0
drama-AA7075,97.2478888888889,0.0
drama-AA7075,98.5108484848485,0.0
drama-AA7075,99.7738080808081,0.0
drama-AA7075,101.03676767676768,0.0
drama-AA7075,102.29972727272728,0.0
drama-AA7075,103.56268686868688,0.0
drama-AA7075,104.82564646464647,0.0
drama-AA7075,106.08860606060607,0.0
drama-AA7075,107.35156565656567,0.0
drama-AA7075,108.61452525252525,0.0
drama-AA7075,109.87748484848485,0.0
drama-AA7075,111.14044444444446,0.0
drama-AA7075,112.40340404040406,0.0
drama-AA7075,113.66636363636364,0.0
drama-AA7075,114.92932323232324,0.0
drama-AA7075,116.19228282828284,0.0
drama-AA7075,117.45524242424243,0.0
drama-AA7075,118.71820202020203,0.0
drama-AA7075,119.98116161616163,0.0
drama-AA7075,121.24412121212123,0.0
drama-AA7075,122.50708080808081,0.0
drama-AA7075,123.77004040404042,0.0
drama-AA7075,125.033,0.0
drama-El-Mat,0.8117070707070706,0.0
drama-El-Mat,1.6234141414141412,0.0
drama-El-Mat,2.435121212121212,0.0
drama-El-Mat,3.2468282828282824,0.0
drama-El-Mat,4.058535353535353,0.0
drama-El-Mat,4.870242424242424,0.0
drama-El-Mat,5.681949494949494,0.0
drama-El-Mat,6.493656565656565,0.0
drama-El-Mat,7.305363636363635,0.0
drama-El-Mat,8.117070707070706,0.0
drama-El-Mat,8.928777777777777,0.0
drama-El-Mat,9.740484848484847,0.0
drama-El-Mat,10.552191919191918,0.0
drama-El-Mat,11.363898989898988,0.0
drama-El-Mat,12.175606060606059,0.0
drama-El-Mat,12.98731313131313,0.0
drama-El-Mat,13.7990202020202,0.0
drama-El-Mat,14.61072727272727,0.0
drama-El-Mat,15.422434343434341,0.0
drama-El-Mat,16.234141414141412,0.0
drama-El-Mat,17.045848484848484,0.0
drama-El-Mat,17.857555555555553,0.0
drama-El-Mat,18.669262626262622,0.0
drama-El-Mat,19.480969696969694,0.0
drama-El-Mat,20.292676767676767,0.0
drama-El-Mat,21.104383838383836,0.0
drama-El-Mat,21.916090909090904,0.0
drama-El-Mat,22.727797979797977,0.0
drama-El-Mat,23.53950505050505,0.0
drama-El-Mat,24.351212121212118,0.0
drama-El-Mat,25.162919191919187,0.0
drama-El-Mat,25.97462626262626,0.0
drama-El-Mat,26.78633333333333,0.0
drama-El-Mat,27.5980404040404,0.0
drama-El-Mat,28.40974747474747,0.0
drama-El-Mat,29.22145454545454,0.0
drama-El-Mat,30.033161616161614,0.0
drama-El-Mat,30.844868686868683,0.0
drama-El-Mat,31.65657575757575,0.0
drama-El-Mat,32.468282828282824,0.0
drama-El-Mat,33.279989898989896,0.0
drama-El-Mat,34.09169696969697,0.0
drama-El-Mat,34.903404040404034,0.0
drama-El-Mat,35.715111111111106,0.0
drama-El-Mat,36.52681818181818,0.0
drama-El-Mat,37.338525252525244,0.0
drama-El-Mat,38.150232323232316,0.0
drama-El-Mat,38.96193939393939,0.0
drama-El-Mat,39.77364646464646,0.0
drama-El-Mat,40.58535353535353,0.0
drama-El-Mat,41.3970606060606,0.0
drama-El-Mat,42.20876767676767,0.0
drama-El-Mat,43.02047474747474,0.0
drama-El-Mat,43.83218181818181,0.0
drama-El-Mat,44.64388888888888,0.0
drama-El-Mat,45.455595959595954,0.0
drama-El-Mat,46.267303030303026,0.0
drama-El-Mat,47.0790101010101,0.0
drama-El-Mat,47.890717171717164,0.0
drama-El-Mat,48.702424242424236,0.0
drama-El-Mat,49.51413131313131,0.0
drama-El-Mat,50.325838383838374,0.0384792870094627
drama-El-Mat,51.137545454545446,0.13180756289732806
drama-El-Mat,51.94925252525252,0.26086506223666817
drama-El-Mat,52.76095959595959,1.1823895880001216
drama-El-Mat,53.57266666666666,7.9630181296602185
drama-El-Mat,54.38437373737373,14.725815937893765
drama-El-Mat,55.1960808080808,14.298123984026299
drama-El-Mat,56.00778787878787,6.934352618085894
drama-El-Mat,56.81949494949494,5.693139566832597
drama-El-Mat,57.63120202020201,6.972520899226508
drama-El-Mat,58.44290909090908,22.680317048330686
drama-El-Mat,59.254616161616156,2.3440118350773997
drama-El-Mat,60.06632323232323,1.51594237029558
