Material,Object,Altitude (km),Mass (kg)
drama-AA7075,ASCATSSP1,58.568,0.085
drama-AA7075,ASCATSSP1,58.34,0.085
drama-AA7075,ASCATSSP1,58.108,0.085
drama-AA7075,ASCATSSP1,57.873,0.085
drama-AA7075,ASCATSSP1,57.634,0.085
drama-AA7075,ASCATSSP1,57.392,0.085
drama-AA7075,ASCATSSP1,57.147,0.085
drama-AA7075,ASCATSSP1,56.899,0.085
drama-AA7075,ASCATSSP1,56.649,0.085
drama-AA7075,ASCATSSP1,56.396,0.085
drama-AA7075,ASCATSSP1,56.142,0.085
drama-AA7075,ASCATSSP1,55.886,0.085
drama-AA7075,ASCATSSP1,55.629,0.085
drama-AA7075,ASCATSSP1,55.371,0.085
drama-AA7075,ASCATSSP1,55.111,0.085
drama-AA7075,ASCATSSP1,54.851,0.085
drama-AA7075,ASCATSSP1,54.591,0.085
drama-AA7075,ASCATSSP1,54.33,0.085
drama-AA7075,ASCATSSP1,54.07,0.085
drama-AA7075,ASCATSSP1,53.81,0.085
drama-AA7075,ASCATSSP1,53.55,0.085
drama-AA7075,ASCATSSP1,53.291,0.085
drama-AA7075,ASCATSSP1,53.032,0.085
drama-AA7075,ASCATSSP1,52.775,0.085
drama-AA7075,ASCATSSP1,52.519,0.085
drama-AA7075,ASCATSSP1,52.264,0.085
drama-AA7075,ASCATSSP1,52.011,0.085
drama-AA7075,ASCATSSP1,51.76,0.085
drama-AA7075,ASCATSSP1,51.51,0.085
drama-AA7075,ASCATSSP1,51.262,0.085
drama-AA7075,ASCATSSP1,51.016,0.085
drama-AA7075,ASCATSSP1,50.772,0.085
drama-AA7075,ASCATSSP1,50.53,0.085
drama-AA7075,ASCATSSP1,50.291,0.085
drama-AA7075,ASCATSSP1,50.054,0.085
drama-AA7075,ASCATSSP1,49.819,0.085
drama-AA7075,ASCATSSP1,49.588,0.085
drama-AA7075,ASCATSSP1,49.358,0.085
drama-AA7075,ASCATSSP1,49.131,0.085
drama-AA7075,ASCATSSP1,48.907,0.085
drama-AA7075,ASCATSSP1,48.686,0.085
drama-AA7075,ASCATSSP1,48.467,0.085
drama-AA7075,ASCATSSP1,48.251,0.085
drama-AA7075,ASCATSSP1,48.037,0.085
drama-AA7075,ASCATSSP1,47.827,0.085
drama-AA7075,ASCATSSP1,47.619,0.085
drama-AA7075,ASCATSSP1,47.413,0.085
drama-AA7075,ASCATSSP1,47.211,0.085
drama-AA7075,ASCATSSP1,47.011,0.085
drama-AA7075,ASCATSSP1,46.813,0.085
drama-AA7075,ASCATSSP1,46.619,0.085
drama-AA7075,ASCATSSP1,46.427,0.085
drama-AA7075,ASCATSSP1,46.237,0.085
drama-AA7075,ASCATSSP1,46.05,0.085
drama-AA7075,ASCATSSP1,45.865,0.085
drama-AA7075,ASCATSSP1,45.684,0.085
drama-AA7075,ASCATSSP1,45.504,0.085
drama-AA7075,ASCATSSP1,45.327,0.085
drama-AA7075,ASCATSSP1,45.152,0.085
drama-AA7075,ASCATSSP1,44.98,0.085
drama-AA7075,ASCATSSP1,44.81,0.085
drama-AA7075,ASCATSSP1,44.642,0.085
drama-AA7075,ASCATSSP1,44.476,0.085
drama-AA7075,ASCATSSP1,44.313,0.085
drama-AA7075,ASCATSSP1,44.152,0.085
drama-AA7075,ASCATSSP1,43.992,0.085
drama-AA7075,ASCATSSP1,43.835,0.085
drama-AA7075,ASCATSSP1,43.68,0.085
drama-AA7075,ASCATSSP1,43.527,0.085
drama-AA7075,ASCATSSP1,43.375,0.085
drama-AA7075,ASCATSSP1,43.226,0.085
drama-AA7075,ASCATSSP1,43.078,0.085
drama-AA7075,ASCATSSP1,42.932,0.085
drama-AA7075,ASCATSSP1,42.788,0.085
drama-AA7075,ASCATSSP1,42.645,0.085
drama-AA7075,ASCATSSP1,42.505,0.085
drama-AA7075,ASCATSSP1,42.365,0.085
drama-AA7075,ASCATSSP1,42.228,0.085
drama-AA7075,ASCATSSP1,42.091,0.085
drama-AA7075,ASCATSSP1,41.957,0.085
drama-AA7075,ASCATSSP1,41.824,0.085
drama-AA7075,ASCATSSP1,41.692,0.085
drama-AA7075,ASCATSSP1,41.562,0.085
drama-AA7075,ASCATSSP1,41.433,0.085
drama-AA7075,ASCATSSP1,41.305,0.085
drama-AA7075,ASCATSSP1,41.179,0.085
drama-AA7075,ASCATSSP1,41.054,0.085
drama-AA7075,ASCATSSP1,40.93,0.085
drama-AA7075,ASCATSSP1,40.807,0.085
drama-AA7075,ASCATSSP1,40.686,0.085
drama-AA7075,ASCATSSP1,40.566,0.085
drama-AA7075,ASCATSSP1,40.447,0.085
drama-AA7075,ASCATSSP1,40.329,0.085
drama-AA7075,ASCATSSP1,40.212,0.085
drama-AA7075,ASCATSSP1,40.097,0.085
drama-AA7075,ASCATSSP1,39.982,0.085
drama-AA7075,ASCATSSP1,39.869,0.085
drama-AA7075,ASCATSSP1,39.756,0.085
drama-AA7075,ASCATSSP1,39.645,0.085
drama-AA7075,ASCATSSP1,39.534,0.085
drama-AA7075,ASCATSSP1,39.425,0.085
drama-AA7075,ASCATSSP1,39.316,0.085
drama-AA7075,ASCATSSP1,39.208,0.085
drama-AA7075,ASCATSSP1,39.102,0.085
drama-AA7075,ASCATSSP1,38.996,0.085
drama-AA7075,ASCATSSP1,38.891,0.085
drama-AA7075,ASCATSSP1,38.787,0.085
drama-AA7075,ASCATSSP1,38.684,0.085
drama-AA7075,ASCATSSP1,38.581,0.085
drama-AA7075,ASCATSSP1,38.48,0.085
drama-AA7075,ASCATSSP1,38.379,0.085
drama-AA7075,ASCATSSP1,38.279,0.085
drama-AA7075,ASCATSSP1,38.18,0.085
drama-AA7075,ASCATSSP1,38.082,0.085
drama-AA7075,ASCATSSP1,37.984,0.085
drama-AA7075,ASCATSSP1,37.888,0.085
drama-AA7075,ASCATSSP1,37.792,0.085
drama-AA7075,ASCATSSP1,37.696,0.085
drama-AA7075,ASCATSSP1,37.602,0.085
drama-AA7075,ASCATSSP1,37.508,0.085
drama-AA7075,ASCATSSP1,37.415,0.085
drama-AA7075,ASCATSSP1,37.322,0.085
drama-AA7075,ASCATSSP1,37.23,0.085
drama-AA7075,ASCATSSP1,37.139,0.085
drama-AA7075,ASCATSSP1,37.049,0.085
drama-AA7075,ASCATSSP1,36.959,0.085
drama-AA7075,ASCATSSP1,36.87,0.085
drama-AA7075,ASCATSSP1,36.781,0.085
drama-AA7075,ASCATSSP1,36.693,0.085
drama-AA7075,ASCATSSP1,36.606,0.085
drama-AA7075,ASCATSSP1,36.519,0.085
drama-AA7075,ASCATSSP1,36.433,0.085
drama-AA7075,ASCATSSP1,36.347,0.085
drama-AA7075,ASCATSSP1,36.262,0.085
drama-AA7075,ASCATSSP1,36.178,0.085
drama-AA7075,ASCATSSP1,36.094,0.085
drama-AA7075,ASCATSSP1,36.011,0.085
drama-AA7075,ASCATSSP1,35.928,0.085
drama-AA7075,ASCATSSP1,35.846,0.085
drama-AA7075,ASCATSSP1,35.765,0.085
drama-AA7075,ASCATSSP1,35.683,0.085
drama-AA7075,ASCATSSP1,35.603,0.085
drama-AA7075,ASCATSSP1,35.523,0.085
drama-AA7075,ASCATSSP1,35.443,0.085
drama-AA7075,ASCATSSP1,35.364,0.085
drama-AA7075,ASCATSSP1,35.286,0.085
drama-AA7075,ASCATSSP1,35.208,0.085
drama-AA7075,ASCATSSP1,35.13,0.085
drama-AA7075,ASCATSSP1,35.053,0.085
drama-AA7075,ASCATSSP1,34.976,0.085
drama-AA7075,ASCATSSP1,34.9,0.085
drama-AA7075,ASCATSSP1,34.825,0.085
drama-AA7075,ASCATSSP1,34.749,0.085
drama-AA7075,ASCATSSP1,34.675,0.085
drama-AA7075,ASCATSSP1,34.6,0.085
drama-AA7075,ASCATSSP1,34.526,0.085
drama-AA7075,ASCATSSP1,34.453,0.085
drama-AA7075,ASCATSSP1,34.38,0.085
drama-AA7075,ASCATSSP1,34.307,0.085
drama-AA7075,ASCATSSP1,34.235,0.085
drama-AA7075,ASCATSSP1,34.164,0.085
drama-AA7075,ASCATSSP1,34.092,0.085
drama-AA7075,ASCATSSP1,34.021,0.085
drama-AA7075,ASCATSSP1,33.951,0.085
drama-AA7075,ASCATSSP1,33.881,0.085
drama-AA7075,ASCATSSP1,33.811,0.085
drama-AA7075,ASCATSSP1,33.742,0.085
drama-AA7075,ASCATSSP1,33.673,0.085
drama-AA7075,ASCATSSP1,33.604,0.085
drama-AA7075,ASCATSSP1,33.536,0.085
drama-AA7075,ASCATSSP1,33.468,0.085
drama-AA7075,ASCATSSP1,33.401,0.085
drama-AA7075,ASCATSSP1,33.334,0.085
drama-AA7075,ASCATSSP1,33.267,0.085
drama-AA7075,ASCATSSP1,33.2,0.085
drama-AA7075,ASCATSSP1,33.134,0.085
drama-AA7075,ASCATSSP1,33.069,0.085
drama-AA7075,ASCATSSP1,33.004,0.085
drama-AA7075,ASCATSSP1,32.939,0.085
drama-AA7075,ASCATSSP1,32.874,0.085
drama-AA7075,ASCATSSP1,32.81,0.085
drama-AA7075,ASCATSSP1,32.746,0.085
drama-AA7075,ASCATSSP1,32.682,0.085
drama-AA7075,ASCATSSP1,32.619,0.085
drama-AA7075,ASCATSSP1,32.556,0.085
drama-AA7075,ASCATSSP1,32.493,0.085
drama-AA7075,ASCATSSP1,32.431,0.085
drama-AA7075,ASCATSSP1,32.369,0.085
drama-AA7075,ASCATSSP1,32.307,0.085
drama-AA7075,ASCATSSP1,32.246,0.085
drama-AA7075,ASCATSSP1,32.185,0.085
drama-AA7075,ASCATSSP1,32.124,0.085
drama-AA7075,ASCATSSP1,32.063,0.085
drama-AA7075,ASCATSSP1,32.003,0.085
drama-AA7075,ASCATSSP1,31.943,0.085
drama-AA7075,ASCATSSP1,31.884,0.085
drama-AA7075,ASCATSSP1,31.824,0.085
drama-AA7075,ASCATSSP1,31.765,0.085
drama-AA7075,ASCATSSP1,31.707,0.085
drama-AA7075,ASCATSSP1,31.648,0.085
drama-AA7075,ASCATSSP1,31.59,0.085
drama-AA7075,ASCATSSP1,31.532,0.085
drama-AA7075,ASCATSSP1,31.474,0.085
drama-AA7075,ASCATSSP1,31.416,0.085
drama-AA7075,ASCATSSP1,31.359,0.085
drama-AA7075,ASCATSSP1,31.302,0.085
drama-AA7075,ASCATSSP1,31.246,0.085
drama-AA7075,ASCATSSP1,31.189,0.085
drama-AA7075,ASCATSSP1,31.133,0.085
drama-AA7075,ASCATSSP1,31.077,0.085
drama-AA7075,ASCATSSP1,31.021,0.085
drama-AA7075,ASCATSSP1,30.966,0.085
drama-AA7075,ASCATSSP1,30.91,0.085
drama-AA7075,ASCATSSP1,30.855,0.085
drama-AA7075,ASCATSSP1,30.801,0.085
drama-AA7075,ASCATSSP1,30.746,0.085
drama-AA7075,ASCATSSP1,30.692,0.085
drama-AA7075,ASCATSSP1,30.638,0.085
drama-AA7075,ASCATSSP1,30.584,0.085
drama-AA7075,ASCATSSP1,30.53,0.085
drama-AA7075,ASCATSSP1,30.477,0.085
drama-AA7075,ASCATSSP1,30.423,0.085
drama-AA7075,ASCATSSP1,30.37,0.085
drama-AA7075,ASCATSSP1,30.318,0.085
drama-AA7075,ASCATSSP1,30.265,0.085
drama-AA7075,ASCATSSP1,30.213,0.085
drama-AA7075,ASCATSSP1,30.161,0.085
drama-AA7075,ASCATSSP1,30.109,0.085
drama-AA7075,ASCATSSP1,30.057,0.085
drama-AA7075,ASCATSSP1,30.005,0.085
drama-AA7075,ASCATSSP1,29.954,0.085
drama-AA7075,ASCATSSP1,29.903,0.085
drama-AA7075,ASCATSSP1,29.852,0.085
drama-AA7075,ASCATSSP1,29.801,0.085
drama-AA7075,ASCATSSP1,29.751,0.085
drama-AA7075,ASCATSSP1,29.701,0.085
drama-AA7075,ASCATSSP1,29.651,0.085
drama-AA7075,ASCATSSP1,29.601,0.085
drama-AA7075,ASCATSSP1,29.551,0.085
drama-AA7075,ASCATSSP1,29.501,0.085
drama-AA7075,ASCATSSP1,29.452,0.085
drama-AA7075,ASCATSSP1,29.403,0.085
drama-AA7075,ASCATSSP1,29.354,0.085
drama-AA7075,ASCATSSP1,29.305,0.085
drama-AA7075,ASCATSSP1,29.257,0.085
drama-AA7075,ASCATSSP1,29.208,0.085
drama-AA7075,ASCATSSP1,29.16,0.085
drama-AA7075,ASCATSSP1,29.112,0.085
drama-AA7075,ASCATSSP1,29.064,0.085
drama-AA7075,ASCATSSP1,29.016,0.085
drama-AA7075,ASCATSSP1,28.969,0.085
drama-AA7075,ASCATSSP1,28.921,0.085
drama-AA7075,ASCATSSP1,28.874,0.085
drama-AA7075,ASCATSSP1,28.827,0.085
drama-AA7075,ASCATSSP1,28.78,0.085
drama-AA7075,ASCATSSP1,28.734,0.085
drama-AA7075,ASCATSSP1,28.687,0.085
drama-AA7075,ASCATSSP1,28.641,0.085
drama-AA7075,ASCATSSP1,28.595,0.085
drama-AA7075,ASCATSSP1,28.549,0.085
drama-AA7075,ASCATSSP1,28.503,0.085
drama-AA7075,ASCATSSP1,28.457,0.085
drama-AA7075,ASCATSSP1,28.412,0.085
drama-AA7075,ASCATSSP1,28.367,0.085
drama-AA7075,ASCATSSP1,28.321,0.085
drama-AA7075,ASCATSSP1,28.276,0.085
drama-AA7075,ASCATSSP1,28.231,0.085
drama-AA7075,ASCATSSP1,28.187,0.085
drama-AA7075,ASCATSSP1,28.142,0.085
drama-AA7075,ASCATSSP1,28.098,0.085
drama-AA7075,ASCATSSP1,28.054,0.085
drama-AA7075,ASCATSSP1,28.009,0.085
drama-AA7075,ASCATSSP1,27.965,0.085
drama-AA7075,ASCATSSP1,27.922,0.085
drama-AA7075,ASCATSSP1,27.878,0.085
drama-AA7075,ASCATSSP1,27.835,0.085
drama-AA7075,ASCATSSP1,27.791,0.085
drama-AA7075,ASCATSSP1,27.748,0.085
drama-AA7075,ASCATSSP1,27.705,0.085
drama-AA7075,ASCATSSP1,27.662,0.085
drama-AA7075,ASCATSSP1,27.619,0.085
drama-AA7075,ASCATSSP1,27.577,0.085
drama-AA7075,ASCATSSP1,27.534,0.085
drama-AA7075,ASCATSSP1,27.492,0.085
drama-AA7075,ASCATSSP1,27.449,0.085
drama-AA7075,ASCATSSP1,27.407,0.085
drama-AA7075,ASCATSSP1,27.365,0.085
drama-AA7075,ASCATSSP1,27.324,0.085
drama-AA7075,ASCATSSP1,27.282,0.085
drama-AA7075,ASCATSSP1,27.24,0.085
drama-AA7075,ASCATSSP1,27.199,0.085
drama-AA7075,ASCATSSP1,27.158,0.085
drama-AA7075,ASCATSSP1,27.117,0.085
drama-AA7075,ASCATSSP1,27.076,0.085
drama-AA7075,ASCATSSP1,27.035,0.085
drama-AA7075,ASCATSSP1,26.994,0.085
drama-AA7075,ASCATSSP1,26.953,0.085
drama-AA7075,ASCATSSP1,26.913,0.085
drama-AA7075,ASCATSSP1,26.872,0.085
drama-AA7075,ASCATSSP1,26.832,0.085
drama-AA7075,ASCATSSP1,26.792,0.085
drama-AA7075,ASCATSSP1,26.752,0.085
drama-AA7075,ASCATSSP1,26.712,0.085
drama-AA7075,ASCATSSP1,26.672,0.085
drama-AA7075,ASCATSSP1,26.633,0.085
drama-AA7075,ASCATSSP1,26.593,0.085
drama-AA7075,ASCATSSP1,26.554,0.085
drama-AA7075,ASCATSSP1,26.515,0.085
drama-AA7075,ASCATSSP1,26.476,0.085
drama-AA7075,ASCATSSP1,26.437,0.085
drama-AA7075,ASCATSSP1,26.398,0.085
drama-AA7075,ASCATSSP1,26.359,0.085
drama-AA7075,ASCATSSP1,26.32,0.085
drama-AA7075,ASCATSSP1,26.282,0.085
drama-AA7075,ASCATSSP1,26.243,0.085
drama-AA7075,ASCATSSP1,26.205,0.085
drama-AA7075,ASCATSSP1,26.167,0.085
drama-AA7075,ASCATSSP1,26.128,0.085
drama-AA7075,ASCATSSP1,26.09,0.085
drama-AA7075,ASCATSSP1,26.053,0.085
drama-AA7075,ASCATSSP1,26.015,0.085
drama-AA7075,ASCATSSP1,25.977,0.085
drama-AA7075,ASCATSSP1,25.94,0.085
drama-AA7075,ASCATSSP1,25.902,0.085
drama-AA7075,ASCATSSP1,25.865,0.085
drama-AA7075,ASCATSSP1,25.828,0.085
drama-AA7075,ASCATSSP1,25.79,0.085
drama-AA7075,ASCATSSP1,25.753,0.085
drama-AA7075,ASCATSSP1,25.717,0.085
drama-AA7075,ASCATSSP1,25.68,0.085
drama-AA7075,ASCATSSP1,25.643,0.085
drama-AA7075,ASCATSSP1,25.606,0.085
drama-AA7075,ASCATSSP1,25.57,0.085
drama-AA7075,ASCATSSP1,25.534,0.085
drama-AA7075,ASCATSSP1,25.497,0.085
drama-AA7075,ASCATSSP1,25.461,0.085
drama-AA7075,ASCATSSP1,25.425,0.085
drama-AA7075,ASCATSSP1,25.389,0.085
drama-AA7075,ASCATSSP1,25.353,0.085
drama-AA7075,ASCATSSP1,25.317,0.085
drama-AA7075,ASCATSSP1,25.282,0.085
drama-AA7075,ASCATSSP1,25.246,0.085
drama-AA7075,ASCATSSP1,25.21,0.085
drama-AA7075,ASCATSSP1,25.175,0.085
drama-AA7075,ASCATSSP1,25.14,0.085
drama-AA7075,ASCATSSP1,25.105,0.085
drama-AA7075,ASCATSSP1,25.069,0.085
drama-AA7075,ASCATSSP1,25.034,0.085
drama-AA7075,ASCATSSP1,25.0,0.085
drama-AA7075,ASCATSSP1,24.965,0.085
drama-AA7075,ASCATSSP1,24.93,0.085
drama-AA7075,ASCATSSP1,24.895,0.085
drama-AA7075,ASCATSSP1,24.861,0.085
drama-AA7075,ASCATSSP1,24.826,0.085
drama-AA7075,ASCATSSP1,24.792,0.085
drama-AA7075,ASCATSSP1,24.758,0.085
drama-AA7075,ASCATSSP1,24.723,0.085
drama-AA7075,ASCATSSP1,24.689,0.085
drama-AA7075,ASCATSSP1,24.655,0.085
drama-AA7075,ASCATSSP1,24.621,0.085
drama-AA7075,ASCATSSP1,24.587,0.085
drama-AA7075,ASCATSSP1,24.554,0.085
drama-AA7075,ASCATSSP1,24.52,0.085
drama-AA7075,ASCATSSP1,24.486,0.085
drama-AA7075,ASCATSSP1,24.453,0.085
drama-AA7075,ASCATSSP1,24.42,0.085
drama-AA7075,ASCATSSP1,24.386,0.085
drama-AA7075,ASCATSSP1,24.353,0.085
drama-AA7075,ASCATSSP1,24.32,0.085
drama-AA7075,ASCATSSP1,24.287,0.085
drama-AA7075,ASCATSSP1,24.254,0.085
drama-AA7075,ASCATSSP1,24.221,0.085
drama-AA7075,ASCATSSP1,24.188,0.085
drama-AA7075,ASCATSSP1,24.155,0.085
drama-AA7075,ASCATSSP1,24.123,0.085
drama-AA7075,ASCATSSP1,24.09,0.085
drama-AA7075,ASCATSSP1,24.058,0.085
drama-AA7075,ASCATSSP1,24.025,0.085
drama-AA7075,ASCATSSP1,23.993,0.085
drama-AA7075,ASCATSSP1,23.961,0.085
drama-AA7075,ASCATSSP1,23.928,0.085
drama-AA7075,ASCATSSP1,23.896,0.085
drama-AA7075,ASCATSSP1,23.864,0.085
drama-AA7075,ASCATSSP1,23.832,0.085
drama-AA7075,ASCATSSP1,23.8,0.085
drama-AA7075,ASCATSSP1,23.769,0.085
drama-AA7075,ASCATSSP1,23.737,0.085
drama-AA7075,ASCATSSP1,23.705,0.085
drama-AA7075,ASCATSSP1,23.674,0.085
drama-AA7075,ASCATSSP1,23.642,0.085
drama-AA7075,ASCATSSP1,23.611,0.085
drama-AA7075,ASCATSSP1,23.579,0.085
drama-AA7075,ASCATSSP1,23.548,0.085
drama-AA7075,ASCATSSP1,23.517,0.085
drama-AA7075,ASCATSSP1,23.486,0.085
drama-AA7075,ASCATSSP1,23.455,0.085
drama-AA7075,ASCATSSP1,23.424,0.085
drama-AA7075,ASCATSSP1,23.393,0.085
drama-AA7075,ASCATSSP1,23.362,0.085
drama-AA7075,ASCATSSP1,23.331,0.085
drama-AA7075,ASCATSSP1,23.301,0.085
drama-AA7075,ASCATSSP1,23.27,0.085
drama-AA7075,ASCATSSP1,23.239,0.085
drama-AA7075,ASCATSSP1,23.209,0.085
drama-AA7075,ASCATSSP1,23.179,0.085
drama-AA7075,ASCATSSP1,23.148,0.085
drama-AA7075,ASCATSSP1,23.118,0.085
drama-AA7075,ASCATSSP1,23.088,0.085
drama-AA7075,ASCATSSP1,23.058,0.085
drama-AA7075,ASCATSSP1,23.028,0.085
drama-AA7075,ASCATSSP1,22.998,0.085
drama-AA7075,ASCATSSP1,22.968,0.085
drama-AA7075,ASCATSSP1,22.938,0.085
drama-AA7075,ASCATSSP1,22.908,0.085
drama-AA7075,ASCATSSP1,22.878,0.085
drama-AA7075,ASCATSSP1,22.848,0.085
drama-AA7075,ASCATSSP1,22.819,0.085
drama-AA7075,ASCATSSP1,22.789,0.085
drama-AA7075,ASCATSSP1,22.76,0.085
drama-AA7075,ASCATSSP1,22.73,0.085
drama-AA7075,ASCATSSP1,22.701,0.085
drama-AA7075,ASCATSSP1,22.672,0.085
drama-AA7075,ASCATSSP1,22.643,0.085
drama-AA7075,ASCATSSP1,22.613,0.085
drama-AA7075,ASCATSSP1,22.584,0.085
drama-AA7075,ASCATSSP1,22.555,0.085
drama-AA7075,ASCATSSP1,22.526,0.085
drama-AA7075,ASCATSSP1,22.497,0.085
drama-AA7075,ASCATSSP1,22.469,0.085
drama-AA7075,ASCATSSP1,22.44,0.085
drama-AA7075,ASCATSSP1,22.411,0.085
drama-AA7075,ASCATSSP1,22.382,0.085
drama-AA7075,ASCATSSP1,22.354,0.085
drama-AA7075,ASCATSSP1,22.325,0.085
drama-AA7075,ASCATSSP1,22.297,0.085
drama-AA7075,ASCATSSP1,22.268,0.085
drama-AA7075,ASCATSSP1,22.24,0.085
drama-AA7075,ASCATSSP1,22.212,0.085
drama-AA7075,ASCATSSP1,22.183,0.085
drama-AA7075,ASCATSSP1,22.155,0.085
drama-AA7075,ASCATSSP1,22.127,0.085
drama-AA7075,ASCATSSP1,22.099,0.085
drama-AA7075,ASCATSSP1,22.071,0.085
drama-AA7075,ASCATSSP1,22.043,0.085
drama-AA7075,ASCATSSP1,22.015,0.085
drama-AA7075,ASCATSSP1,21.987,0.085
drama-AA7075,ASCATSSP1,21.959,0.085
drama-AA7075,ASCATSSP1,21.932,0.085
drama-AA7075,ASCATSSP1,21.904,0.085
drama-AA7075,ASCATSSP1,21.876,0.085
drama-AA7075,ASCATSSP1,21.849,0.085
drama-AA7075,ASCATSSP1,21.821,0.085
drama-AA7075,ASCATSSP1,21.794,0.085
drama-AA7075,ASCATSSP1,21.766,0.085
drama-AA7075,ASCATSSP1,21.739,0.085
drama-AA7075,ASCATSSP1,21.712,0.085
drama-AA7075,ASCATSSP1,21.684,0.085
drama-AA7075,ASCATSSP1,21.657,0.085
drama-AA7075,ASCATSSP1,21.63,0.085
drama-AA7075,ASCATSSP1,21.603,0.085
drama-AA7075,ASCATSSP1,21.576,0.085
drama-AA7075,ASCATSSP1,21.549,0.085
drama-AA7075,ASCATSSP1,21.522,0.085
drama-AA7075,ASCATSSP1,21.495,0.085
drama-AA7075,ASCATSSP1,21.468,0.085
drama-AA7075,ASCATSSP1,21.441,0.085
drama-AA7075,ASCATSSP1,21.415,0.085
drama-AA7075,ASCATSSP1,21.388,0.085
drama-AA7075,ASCATSSP1,21.361,0.085
drama-AA7075,ASCATSSP1,21.335,0.085
drama-AA7075,ASCATSSP1,21.308,0.085
drama-AA7075,ASCATSSP1,21.282,0.085
drama-AA7075,ASCATSSP1,21.255,0.085
drama-AA7075,ASCATSSP1,21.229,0.085
drama-AA7075,ASCATSSP1,21.202,0.085
drama-AA7075,ASCATSSP1,21.176,0.085
drama-AA7075,ASCATSSP1,21.15,0.085
drama-AA7075,ASCATSSP1,21.124,0.085
drama-AA7075,ASCATSSP1,21.098,0.085
drama-AA7075,ASCATSSP1,21.071,0.085
drama-AA7075,ASCATSSP1,21.045,0.085
drama-AA7075,ASCATSSP1,21.019,0.085
drama-AA7075,ASCATSSP1,20.993,0.085
drama-AA7075,ASCATSSP1,20.967,0.085
drama-AA7075,ASCATSSP1,20.942,0.085
drama-AA7075,ASCATSSP1,20.916,0.085
drama-AA7075,ASCATSSP1,20.89,0.085
drama-AA7075,ASCATSSP1,20.864,0.085
drama-AA7075,ASCATSSP1,20.839,0.085
drama-AA7075,ASCATSSP1,20.813,0.085
drama-AA7075,ASCATSSP1,20.787,0.085
drama-AA7075,ASCATSSP1,20.762,0.085
drama-AA7075,ASCATSSP1,20.736,0.085
drama-AA7075,ASCATSSP1,20.711,0.085
drama-AA7075,ASCATSSP1,20.685,0.085
drama-AA7075,ASCATSSP1,20.66,0.085
drama-AA7075,ASCATSSP1,20.635,0.085
drama-AA7075,ASCATSSP1,20.609,0.085
drama-AA7075,ASCATSSP1,20.584,0.085
drama-AA7075,ASCATSSP1,20.559,0.085
drama-AA7075,ASCATSSP1,20.534,0.085
drama-AA7075,ASCATSSP1,20.509,0.085
drama-AA7075,ASCATSSP1,20.483,0.085
drama-AA7075,ASCATSSP1,20.458,0.085
drama-AA7075,ASCATSSP1,20.433,0.085
drama-AA7075,ASCATSSP1,20.408,0.085
drama-AA7075,ASCATSSP1,20.384,0.085
drama-AA7075,ASCATSSP1,20.359,0.085
drama-AA7075,ASCATSSP1,20.334,0.085
drama-AA7075,ASCATSSP1,20.309,0.085
drama-AA7075,ASCATSSP1,20.284,0.085
drama-AA7075,ASCATSSP1,20.26,0.085
drama-AA7075,ASCATSSP1,20.235,0.085
drama-AA7075,ASCATSSP1,20.21,0.085
drama-AA7075,ASCATSSP1,20.186,0.085
drama-AA7075,ASCATSSP1,20.161,0.085
drama-AA7075,ASCATSSP1,20.137,0.085
drama-AA7075,ASCATSSP1,20.112,0.085
drama-AA7075,ASCATSSP1,20.088,0.085
drama-AA7075,ASCATSSP1,20.063,0.085
drama-AA7075,ASCATSSP1,20.039,0.085
drama-AA7075,ASCATSSP1,20.015,0.085
drama-AA7075,ASCATSSP1,19.99,0.085
drama-AA7075,ASCATSSP1,19.966,0.085
drama-AA7075,ASCATSSP1,19.942,0.085
drama-AA7075,ASCATSSP1,19.918,0.085
drama-AA7075,ASCATSSP1,19.894,0.085
drama-AA7075,ASCATSSP1,19.869,0.085
drama-AA7075,ASCATSSP1,19.845,0.085
drama-AA7075,ASCATSSP1,19.821,0.085
drama-AA7075,ASCATSSP1,19.797,0.085
drama-AA7075,ASCATSSP1,19.773,0.085
drama-AA7075,ASCATSSP1,19.749,0.085
drama-AA7075,ASCATSSP1,19.726,0.085
drama-AA7075,ASCATSSP1,19.702,0.085
drama-AA7075,ASCATSSP1,19.678,0.085
drama-AA7075,ASCATSSP1,19.654,0.085
drama-AA7075,ASCATSSP1,19.63,0.085
drama-AA7075,ASCATSSP1,19.607,0.085
drama-AA7075,ASCATSSP1,19.583,0.085
drama-AA7075,ASCATSSP1,19.559,0.085
drama-AA7075,ASCATSSP1,19.536,0.085
drama-AA7075,ASCATSSP1,19.512,0.085
drama-AA7075,ASCATSSP1,19.489,0.085
drama-AA7075,ASCATSSP1,19.465,0.085
drama-AA7075,ASCATSSP1,19.442,0.085
drama-AA7075,ASCATSSP1,19.418,0.085
drama-AA7075,ASCATSSP1,19.395,0.085
drama-AA7075,ASCATSSP1,19.371,0.085
drama-AA7075,ASCATSSP1,19.348,0.085
drama-AA7075,ASCATSSP1,19.325,0.085
drama-AA7075,ASCATSSP1,19.301,0.085
drama-AA7075,ASCATSSP1,19.278,0.085
drama-AA7075,ASCATSSP1,19.255,0.085
drama-AA7075,ASCATSSP1,19.232,0.085
drama-AA7075,ASCATSSP1,19.209,0.085
drama-AA7075,ASCATSSP1,19.185,0.085
drama-AA7075,ASCATSSP1,19.162,0.085
drama-AA7075,ASCATSSP1,19.139,0.085
