Material,Object,Altitude (km),Mass (kg)
drama-AA7075,RFCU5,39.836,0.022
drama-AA7075,RFCU5,39.746,0.022
drama-AA7075,RFCU5,39.656,0.022
drama-AA7075,RFCU5,39.567,0.022
drama-AA7075,RFCU5,39.479,0.022
drama-AA7075,RFCU5,39.391,0.022
drama-AA7075,RFCU5,39.303,0.022
drama-AA7075,RFCU5,39.217,0.022
drama-AA7075,RFCU5,39.131,0.022
drama-AA7075,RFCU5,39.045,0.022
drama-AA7075,RFCU5,38.96,0.022
drama-AA7075,RFCU5,38.876,0.022
drama-AA7075,RFCU5,38.792,0.022
drama-AA7075,RFCU5,38.708,0.022
drama-AA7075,RFCU5,38.626,0.022
drama-AA7075,RFCU5,38.543,0.022
drama-AA7075,RFCU5,38.462,0.022
drama-AA7075,RFCU5,38.38,0.022
drama-AA7075,RFCU5,38.3,0.022
drama-AA7075,RFCU5,38.219,0.022
drama-AA7075,RFCU5,38.14,0.022
drama-AA7075,RFCU5,38.06,0.022
drama-AA7075,RFCU5,37.982,0.022
drama-AA7075,RFCU5,37.903,0.022
drama-AA7075,RFCU5,37.825,0.022
drama-AA7075,RFCU5,37.748,0.022
drama-AA7075,RFCU5,37.671,0.022
drama-AA7075,RFCU5,37.595,0.022
drama-AA7075,RFCU5,37.519,0.022
drama-AA7075,RFCU5,37.443,0.022
drama-AA7075,RFCU5,37.368,0.022
drama-AA7075,RFCU5,37.293,0.022
drama-AA7075,RFCU5,37.219,0.022
drama-AA7075,RFCU5,37.145,0.022
drama-AA7075,RFCU5,37.072,0.022
drama-AA7075,RFCU5,36.999,0.022
drama-AA7075,RFCU5,36.927,0.022
drama-AA7075,RFCU5,36.854,0.022
drama-AA7075,RFCU5,36.783,0.022
drama-AA7075,RFCU5,36.711,0.022
drama-AA7075,RFCU5,36.64,0.022
drama-AA7075,RFCU5,36.57,0.022
drama-AA7075,RFCU5,36.5,0.022
drama-AA7075,RFCU5,36.43,0.022
drama-AA7075,RFCU5,36.361,0.022
drama-AA7075,RFCU5,36.292,0.022
drama-AA7075,RFCU5,36.223,0.022
drama-AA7075,RFCU5,36.155,0.022
drama-AA7075,RFCU5,36.087,0.022
drama-AA7075,RFCU5,36.019,0.022
drama-AA7075,RFCU5,35.952,0.022
drama-AA7075,RFCU5,35.885,0.022
drama-AA7075,RFCU5,35.819,0.022
drama-AA7075,RFCU5,35.752,0.022
drama-AA7075,RFCU5,35.687,0.022
drama-AA7075,RFCU5,35.621,0.022
drama-AA7075,RFCU5,35.556,0.022
drama-AA7075,RFCU5,35.491,0.022
drama-AA7075,RFCU5,35.427,0.022
drama-AA7075,RFCU5,35.362,0.022
drama-AA7075,RFCU5,35.299,0.022
drama-AA7075,RFCU5,35.235,0.022
drama-AA7075,RFCU5,35.172,0.022
drama-AA7075,RFCU5,35.109,0.022
drama-AA7075,RFCU5,35.046,0.022
drama-AA7075,RFCU5,34.984,0.022
drama-AA7075,RFCU5,34.922,0.022
drama-AA7075,RFCU5,34.861,0.022
drama-AA7075,RFCU5,34.799,0.022
drama-AA7075,RFCU5,34.738,0.022
drama-AA7075,RFCU5,34.677,0.022
drama-AA7075,RFCU5,34.617,0.022
drama-AA7075,RFCU5,34.557,0.022
drama-AA7075,RFCU5,34.497,0.022
drama-AA7075,RFCU5,34.437,0.022
drama-AA7075,RFCU5,34.378,0.022
drama-AA7075,RFCU5,34.319,0.022
drama-AA7075,RFCU5,34.26,0.022
drama-AA7075,RFCU5,34.201,0.022
drama-AA7075,RFCU5,34.143,0.022
drama-AA7075,RFCU5,34.085,0.022
drama-AA7075,RFCU5,34.027,0.022
drama-AA7075,RFCU5,33.97,0.022
drama-AA7075,RFCU5,33.913,0.022
drama-AA7075,RFCU5,33.856,0.022
drama-AA7075,RFCU5,33.799,0.022
drama-AA7075,RFCU5,33.743,0.022
drama-AA7075,RFCU5,33.687,0.022
drama-AA7075,RFCU5,33.631,0.022
drama-AA7075,RFCU5,33.575,0.022
drama-AA7075,RFCU5,33.519,0.022
drama-AA7075,RFCU5,33.464,0.022
drama-AA7075,RFCU5,33.409,0.022
drama-AA7075,RFCU5,33.355,0.022
drama-AA7075,RFCU5,33.3,0.022
drama-AA7075,RFCU5,33.246,0.022
drama-AA7075,RFCU5,33.192,0.022
drama-AA7075,RFCU5,33.138,0.022
drama-AA7075,RFCU5,33.085,0.022
drama-AA7075,RFCU5,33.031,0.022
drama-AA7075,RFCU5,32.978,0.022
drama-AA7075,RFCU5,32.925,0.022
drama-AA7075,RFCU5,32.873,0.022
drama-AA7075,RFCU5,32.82,0.022
drama-AA7075,RFCU5,32.768,0.022
drama-AA7075,RFCU5,32.716,0.022
drama-AA7075,RFCU5,32.664,0.022
drama-AA7075,RFCU5,32.613,0.022
drama-AA7075,RFCU5,32.562,0.022
drama-AA7075,RFCU5,32.511,0.022
drama-AA7075,RFCU5,32.46,0.022
drama-AA7075,RFCU5,32.409,0.022
drama-AA7075,RFCU5,32.358,0.022
drama-AA7075,RFCU5,32.308,0.022
drama-AA7075,RFCU5,32.258,0.022
drama-AA7075,RFCU5,32.208,0.022
drama-AA7075,RFCU5,32.158,0.022
drama-AA7075,RFCU5,32.109,0.022
drama-AA7075,RFCU5,32.06,0.022
drama-AA7075,RFCU5,32.011,0.022
drama-AA7075,RFCU5,31.962,0.022
drama-AA7075,RFCU5,31.913,0.022
drama-AA7075,RFCU5,31.864,0.022
drama-AA7075,RFCU5,31.816,0.022
drama-AA7075,RFCU5,31.768,0.022
drama-AA7075,RFCU5,31.72,0.022
drama-AA7075,RFCU5,31.672,0.022
drama-AA7075,RFCU5,31.624,0.022
drama-AA7075,RFCU5,31.577,0.022
drama-AA7075,RFCU5,31.529,0.022
drama-AA7075,RFCU5,31.482,0.022
drama-AA7075,RFCU5,31.435,0.022
drama-AA7075,RFCU5,31.389,0.022
drama-AA7075,RFCU5,31.342,0.022
drama-AA7075,RFCU5,31.295,0.022
drama-AA7075,RFCU5,31.249,0.022
