# Material: drama-Copper
# Columns: SatelliteMass [kg]	Altitude [km]	NormalizedLossRate [1/km]
67	88.26	2.613180e-04
67	88.36	6.965486e-04
67	88.46	7.817548e-04
67	88.56	7.839540e-04
67	88.66	7.383835e-04
67	88.76	6.894668e-04
67	88.86	7.869307e-04
67	88.95	6.649610e-04
67	89.05	7.977028e-04
67	89.15	6.999635e-04
67	89.25	6.770512e-04
67	89.35	6.844461e-04
67	89.45	6.188980e-04
67	89.55	6.047203e-04
67	89.64	6.537628e-04
67	89.74	5.579745e-04
67	89.84	5.620803e-04
67	89.94	5.624455e-04
67	90.04	5.674513e-04
67	90.14	5.728895e-04
67	90.24	4.410042e-04
67	90.33	4.338386e-04
67	90.43	5.580804e-04
67	90.53	3.475517e-04
67	90.63	4.080447e-04
67	90.73	4.447120e-04
67	90.83	3.364336e-04
67	90.93	4.094834e-04
67	91.02	3.425910e-04
67	91.12	3.031190e-04
67	91.22	8.361768e-05
67	91.32	0.000000e+00
67	91.42	0.000000e+00
67	91.52	0.000000e+00
67	91.62	0.000000e+00
67	91.71	0.000000e+00
67	91.81	0.000000e+00
67	91.91	0.000000e+00
67	92.01	0.000000e+00
67	92.11	0.000000e+00
67	92.21	0.000000e+00
67	92.31	0.000000e+00
67	92.40	0.000000e+00
67	92.50	0.000000e+00
67	92.60	0.000000e+00
67	92.70	0.000000e+00
67	92.80	0.000000e+00
67	92.90	0.000000e+00
67	93.00	0.000000e+00
67	93.09	0.000000e+00
67	93.19	0.000000e+00
67	93.29	0.000000e+00
67	93.39	0.000000e+00
67	93.49	0.000000e+00
67	93.59	0.000000e+00
67	93.69	0.000000e+00
67	93.78	0.000000e+00
67	93.88	0.000000e+00
67	93.98	0.000000e+00
67	94.08	0.000000e+00
67	94.18	0.000000e+00
67	94.28	0.000000e+00
67	94.38	0.000000e+00
67	94.48	0.000000e+00
67	94.57	0.000000e+00
67	94.67	0.000000e+00
67	94.77	0.000000e+00
67	94.87	0.000000e+00
67	94.97	0.000000e+00
67	95.07	0.000000e+00
67	95.17	0.000000e+00
67	95.26	0.000000e+00
67	95.36	0.000000e+00
67	95.46	0.000000e+00
67	95.56	0.000000e+00
67	95.66	0.000000e+00
67	95.76	0.000000e+00
67	95.86	0.000000e+00
67	95.95	0.000000e+00
67	96.05	0.000000e+00
67	96.15	0.000000e+00
67	96.25	0.000000e+00
67	96.35	0.000000e+00
67	96.45	0.000000e+00
67	96.55	0.000000e+00
67	96.64	0.000000e+00
67	96.74	0.000000e+00
67	96.84	0.000000e+00
67	96.94	0.000000e+00
67	97.04	0.000000e+00
67	97.14	0.000000e+00
67	97.24	0.000000e+00
67	97.33	0.000000e+00
67	97.43	0.000000e+00
67	97.53	0.000000e+00
67	97.63	0.000000e+00
67	97.73	0.000000e+00
67	97.83	0.000000e+00
67	97.93	0.000000e+00
525	86.41	6.142457e-04
525	86.47	6.375373e-04
525	86.54	6.590225e-04
525	86.60	6.830145e-04
525	86.67	6.830145e-04
525	86.73	6.830145e-04
525	86.80	6.830145e-04
525	86.86	6.965245e-04
525	86.93	6.837495e-04
525	86.99	6.725871e-04
525	87.06	6.981926e-04
525	87.12	6.884423e-04
525	87.19	6.771559e-04
525	87.25	6.632473e-04
525	87.32	6.632473e-04
525	87.38	6.678494e-04
525	87.45	6.671502e-04
525	87.51	6.566075e-04
525	87.58	6.566075e-04
525	87.64	6.566075e-04
525	87.71	6.531302e-04
525	87.77	6.421010e-04
525	87.84	6.218148e-04
525	87.90	6.242827e-04
525	87.97	6.272532e-04
525	88.03	6.272532e-04
525	88.10	6.053772e-04
525	88.16	5.945121e-04
525	88.23	5.979004e-04
525	88.29	6.088553e-04
525	88.36	5.735427e-04
525	88.42	5.735427e-04
525	88.49	5.772383e-04
525	88.55	5.743500e-04
525	88.62	5.573156e-04
525	88.68	5.573156e-04
525	88.75	5.400719e-04
525	88.81	5.372634e-04
525	88.88	5.366979e-04
525	88.94	5.236254e-04
525	89.01	5.171797e-04
525	89.07	4.906194e-04
525	89.14	2.214372e-04
525	89.20	0.000000e+00
525	89.27	0.000000e+00
525	89.33	0.000000e+00
525	89.40	0.000000e+00
525	89.46	0.000000e+00
525	89.53	0.000000e+00
525	89.59	0.000000e+00
525	89.66	0.000000e+00
525	89.72	0.000000e+00
525	89.79	0.000000e+00
525	89.85	0.000000e+00
525	89.92	0.000000e+00
525	89.98	0.000000e+00
525	90.05	0.000000e+00
525	90.11	0.000000e+00
525	90.18	0.000000e+00
525	90.24	0.000000e+00
525	90.31	0.000000e+00
525	90.37	0.000000e+00
525	90.44	0.000000e+00
525	90.50	0.000000e+00
525	90.57	0.000000e+00
525	90.63	0.000000e+00
525	90.70	0.000000e+00
525	90.76	0.000000e+00
525	90.83	0.000000e+00
525	90.89	0.000000e+00
525	90.96	0.000000e+00
525	91.02	0.000000e+00
525	91.09	0.000000e+00
525	91.15	0.000000e+00
525	91.22	0.000000e+00
525	91.28	0.000000e+00
525	91.35	0.000000e+00
525	91.41	0.000000e+00
525	91.48	0.000000e+00
525	91.54	0.000000e+00
525	91.61	0.000000e+00
525	91.67	0.000000e+00
525	91.74	0.000000e+00
525	91.80	0.000000e+00
525	91.87	0.000000e+00
525	91.93	0.000000e+00
525	92.00	0.000000e+00
525	92.06	0.000000e+00
525	92.13	0.000000e+00
525	92.19	0.000000e+00
525	92.26	0.000000e+00
525	92.32	0.000000e+00
525	92.39	0.000000e+00
525	92.45	0.000000e+00
