Altitude (km)	Objet	Matériau	Mass (kg)
28.323	RFCU5	drama-AA7075	0.022
28.36	RFCU5	drama-AA7075	0.022
28.397	RFCU5	drama-AA7075	0.022
28.434	RFCU5	drama-AA7075	0.022
28.471	RFCU5	drama-AA7075	0.022
28.508	RFCU5	drama-AA7075	0.022
28.546	RFCU5	drama-AA7075	0.022
28.584	RFCU5	drama-AA7075	0.022
28.621	RFCU5	drama-AA7075	0.022
28.659	RFCU5	drama-AA7075	0.022
28.697	RFCU5	drama-AA7075	0.022
28.735	RFCU5	drama-AA7075	0.022
28.773	RFCU5	drama-AA7075	0.022
28.811	RFCU5	drama-AA7075	0.022
28.85	RFCU5	drama-AA7075	0.022
28.888	RFCU5	drama-AA7075	0.022
28.927	RFCU5	drama-AA7075	0.022
28.966	RFCU5	drama-AA7075	0.022
29.004	RFCU5	drama-AA7075	0.022
29.043	RFCU5	drama-AA7075	0.022
29.083	RFCU5	drama-AA7075	0.022
29.122	RFCU5	drama-AA7075	0.022
29.161	RFCU5	drama-AA7075	0.022
29.2	RFCU5	drama-AA7075	0.022
29.24	RFCU5	drama-AA7075	0.022
29.28	RFCU5	drama-AA7075	0.022
29.319	RFCU5	drama-AA7075	0.022
29.359	RFCU5	drama-AA7075	0.022
29.399	RFCU5	drama-AA7075	0.022
29.44	RFCU5	drama-AA7075	0.022
29.48	RFCU5	drama-AA7075	0.022
29.52	RFCU5	drama-AA7075	0.022
29.561	RFCU5	drama-AA7075	0.022
29.601	RFCU5	drama-AA7075	0.022
29.642	RFCU5	drama-AA7075	0.022
29.683	RFCU5	drama-AA7075	0.022
29.724	RFCU5	drama-AA7075	0.022
29.765	RFCU5	drama-AA7075	0.022
29.807	RFCU5	drama-AA7075	0.022
29.848	RFCU5	drama-AA7075	0.022
29.89	RFCU5	drama-AA7075	0.022
29.931	RFCU5	drama-AA7075	0.022
29.973	RFCU5	drama-AA7075	0.022
30.015	RFCU5	drama-AA7075	0.022
30.057	RFCU5	drama-AA7075	0.022
30.1	RFCU5	drama-AA7075	0.022
30.142	RFCU5	drama-AA7075	0.022
30.184	RFCU5	drama-AA7075	0.022
30.227	RFCU5	drama-AA7075	0.022
30.27	RFCU5	drama-AA7075	0.022
30.313	RFCU5	drama-AA7075	0.022
30.356	RFCU5	drama-AA7075	0.022
30.399	RFCU5	drama-AA7075	0.022
30.443	RFCU5	drama-AA7075	0.022
30.486	RFCU5	drama-AA7075	0.022
30.53	RFCU5	drama-AA7075	0.022
30.574	RFCU5	drama-AA7075	0.022
30.618	RFCU5	drama-AA7075	0.022
30.662	RFCU5	drama-AA7075	0.022
30.706	RFCU5	drama-AA7075	0.022
30.75	RFCU5	drama-AA7075	0.022
30.795	RFCU5	drama-AA7075	0.022
30.84	RFCU5	drama-AA7075	0.022
30.884	RFCU5	drama-AA7075	0.022
30.93	RFCU5	drama-AA7075	0.022
30.975	RFCU5	drama-AA7075	0.022
31.02	RFCU5	drama-AA7075	0.022
31.066	RFCU5	drama-AA7075	0.022
31.111	RFCU5	drama-AA7075	0.022
31.157	RFCU5	drama-AA7075	0.022
31.203	RFCU5	drama-AA7075	0.022
31.249	RFCU5	drama-AA7075	0.022
31.295	RFCU5	drama-AA7075	0.022
31.342	RFCU5	drama-AA7075	0.022
31.389	RFCU5	drama-AA7075	0.022
31.435	RFCU5	drama-AA7075	0.022
31.482	RFCU5	drama-AA7075	0.022
31.529	RFCU5	drama-AA7075	0.022
31.577	RFCU5	drama-AA7075	0.022
31.624	RFCU5	drama-AA7075	0.022
31.672	RFCU5	drama-AA7075	0.022
31.72	RFCU5	drama-AA7075	0.022
31.768	RFCU5	drama-AA7075	0.022
31.816	RFCU5	drama-AA7075	0.022
31.864	RFCU5	drama-AA7075	0.022
31.913	RFCU5	drama-AA7075	0.022
31.962	RFCU5	drama-AA7075	0.022
