Altitude (km)	Group	Matériau	Mass (kg)
58.958	0.000000kg_drama-AA7075	drama-AA7075	0.0
59.24977777777777	0.000000kg_drama-AA7075	drama-AA7075	0.19396465126294227
59.541555555555554	0.000000kg_drama-AA7075	drama-AA7075	0.85235123269166
59.83333333333333	0.000000kg_drama-AA7075	drama-AA7075	1.9178120920692985
60.12511111111111	0.000000kg_drama-AA7075	drama-AA7075	4.122525843878051
60.416888888888884	0.000000kg_drama-AA7075	drama-AA7075	6.908567415610632
60.708666666666666	0.000000kg_drama-AA7075	drama-AA7075	10.79651123240127
61.00044444444444	0.000000kg_drama-AA7075	drama-AA7075	15.012805329184683
61.29222222222222	0.000000kg_drama-AA7075	drama-AA7075	19.52756121547442
61.583999999999996	0.000000kg_drama-AA7075	drama-AA7075	24.4139538180789
61.87577777777778	0.000000kg_drama-AA7075	drama-AA7075	30.440686909721485
62.16755555555555	0.000000kg_drama-AA7075	drama-AA7075	37.67071010290776
62.45933333333333	0.000000kg_drama-AA7075	drama-AA7075	45.543546186485855
62.75111111111111	0.000000kg_drama-AA7075	drama-AA7075	53.90468012094272
63.04288888888889	0.000000kg_drama-AA7075	drama-AA7075	62.625966251057754
63.334666666666664	0.000000kg_drama-AA7075	drama-AA7075	71.72737787762247
63.626444444444445	0.000000kg_drama-AA7075	drama-AA7075	81.46003403062798
63.91822222222222	0.000000kg_drama-AA7075	drama-AA7075	92.16653864317149
64.21	0.000000kg_drama-AA7075	drama-AA7075	103.17201572398044
64.50177777777778	0.000000kg_drama-AA7075	drama-AA7075	114.49475796849117
64.79355555555556	0.000000kg_drama-AA7075	drama-AA7075	126.04285498091407
65.08533333333332	0.000000kg_drama-AA7075	drama-AA7075	137.02392812805297
65.3771111111111	0.000000kg_drama-AA7075	drama-AA7075	146.30773885275138
65.66888888888889	0.000000kg_drama-AA7075	drama-AA7075	153.35764393121192
65.96066666666667	0.000000kg_drama-AA7075	drama-AA7075	158.4286566233549
66.25244444444444	0.000000kg_drama-AA7075	drama-AA7075	161.28211563613652
66.54422222222222	0.000000kg_drama-AA7075	drama-AA7075	163.31818454661553
66.836	0.000000kg_drama-AA7075	drama-AA7075	164.71108771929823
67.12777777777778	0.000000kg_drama-AA7075	drama-AA7075	164.85
67.41955555555555	0.000000kg_drama-AA7075	drama-AA7075	164.85
67.71133333333333	0.000000kg_drama-AA7075	drama-AA7075	164.95047807017542
68.00311111111111	0.000000kg_drama-AA7075	drama-AA7075	165.29411891148442
68.29488888888889	0.000000kg_drama-AA7075	drama-AA7075	166.12673046120247
68.58666666666666	0.000000kg_drama-AA7075	drama-AA7075	167.10097223190422
68.87844444444444	0.000000kg_drama-AA7075	drama-AA7075	168.43608713674348
69.17022222222222	0.000000kg_drama-AA7075	drama-AA7075	169.62264932017519
69.462	0.000000kg_drama-AA7075	drama-AA7075	170.13943055555558
69.75377777777777	0.000000kg_drama-AA7075	drama-AA7075	170.25
70.04555555555555	0.000000kg_drama-AA7075	drama-AA7075	170.25
70.33733333333333	0.000000kg_drama-AA7075	drama-AA7075	170.25
70.62911111111111	0.000000kg_drama-AA7075	drama-AA7075	170.25
70.92088888888888	0.000000kg_drama-AA7075	drama-AA7075	170.25
71.21266666666666	0.000000kg_drama-AA7075	drama-AA7075	170.25
71.50444444444445	0.000000kg_drama-AA7075	drama-AA7075	170.25
71.79622222222221	0.000000kg_drama-AA7075	drama-AA7075	170.25
72.088	0.000000kg_drama-AA7075	drama-AA7075	170.25
72.37977777777778	0.000000kg_drama-AA7075	drama-AA7075	170.25
72.67155555555556	0.000000kg_drama-AA7075	drama-AA7075	170.25
72.96333333333334	0.000000kg_drama-AA7075	drama-AA7075	170.25
73.2551111111111	0.000000kg_drama-AA7075	drama-AA7075	170.25
73.54688888888889	0.000000kg_drama-AA7075	drama-AA7075	170.25
73.83866666666667	0.000000kg_drama-AA7075	drama-AA7075	170.40636231884056
74.13044444444444	0.000000kg_drama-AA7075	drama-AA7075	170.69197619047617
74.42222222222222	0.000000kg_drama-AA7075	drama-AA7075	171.02272422062347
74.714	0.000000kg_drama-AA7075	drama-AA7075	171.38086956521738
75.00577777777778	0.000000kg_drama-AA7075	drama-AA7075	171.7629380288291
75.29755555555555	0.000000kg_drama-AA7075	drama-AA7075	173.12692424242417
