x, y
-1220.8475727091395, 2275.3772025609214
-1191.0856662530819, 3122.037597289309
-1158.347569151419, 2275.3772025609214
-1128.5856626953614, 2275.3772025609214
-1101.7999468849096, 3122.037597289309
-1077.990421720064, 3122.037597289309
-1051.2047059096121, 3122.037597289309
-1027.395180744766, 3122.037597289309
-1000.6094649343144, 3122.037597289309
-970.8475584782568, 3122.037597289309
-944.061842667805, 3122.037597289309
-917.2761268573536, 3122.037597289309
-890.4904110469017, 3968.6979920176964
-869.6570765276615, 3968.6979920176964
-842.8713607172097, 4815.358386746084
-816.085644906758, 5662.018781474471
-789.2999290963062, 5662.018781474471
-756.5618319946432, 7355.339570931275
-729.7761161841913, 7355.339570931275
-700.0142097281339, 9048.66036038805
-676.2046845632879, 9895.320755116438
-649.4189687528362, 10741.981149844825
-628.5856342335962, 11588.641544573213
-607.7522997143556, 13281.962334030017
-583.94277454951, 14128.622728758404
-554.1808680934523, 14975.283123486792
-527.3951522830005, 17515.264307671983
-497.63324582694304, 18361.92470240037
-470.84753001649165, 20055.245491857146
-444.0618142060398, 23441.887070770725
-420.25228904119376, 25135.2078602275
-396.4427638763477, 28521.84943914108
-378.5856200027133, 32755.151412783016
-354.7760948378673, 36141.792991696595
-336.91895096423286, 42068.41575479534
-319.0618070905982, 46301.7177284373
-298.228472571358, 50535.01970207927
-277.3951380521178, 56461.64246517801
-259.53799417848336, 62388.26522827675
-244.65704095045476, 69161.5483861039
-226.7998970768199, 74241.51075447424
-214.89513449439755, 81014.79391230138
-202.9903719119743, 86941.41667540012
-191.08560932955106, 92868.03943849888
-176.20465610152246, 100487.98299105439
-167.27608416470548, 107261.26614888154
-161.32370287349386, 114881.20970143707
-155.37132158228223, 121654.4928592642
-149.41894029107084, 130121.09680654813
-137.5141777086476, 137741.04035910364
-131.56179641743597, 146207.64430638758
-119.65703383501341, 152980.9274642147
-110.72846189819575, 159754.21062204184
-110.72846189819575, 167374.15417459738
-104.77608060698412, 174994.0977271529
-101.75606635339227, 181925.69046257102
-98.77987570778669, 189545.63401512653
-95.80368506218065, 198012.23796241047
