# object name: _IFring
-3.141593 -1.570796 1.000000
-2.879793 -1.570796 1.000000
-2.617994 -1.570796 1.000000
-2.356194 -1.570796 1.000000
-2.094395 -1.570796 1.000000
-1.832596 -1.570796 1.000000
-1.570796 -1.570796 1.000000
-1.308997 -1.570796 1.000000
-1.047198 -1.570796 1.000000
-0.785398 -1.570796 1.000000
-0.523599 -1.570796 1.000000
-0.261799 -1.570796 1.000000
0.000000 -1.570796 1.000000
0.261799 -1.570796 1.000000
0.523599 -1.570796 1.000000
0.785398 -1.570796 1.000000
1.047198 -1.570796 1.000000
1.308997 -1.570796 1.000000
1.570796 -1.570796 1.000000
1.832596 -1.570796 1.000000
2.094395 -1.570796 1.000000
2.356194 -1.570796 1.000000
2.617994 -1.570796 1.000000
2.879793 -1.570796 1.000000
3.141593 -1.570796 1.000000

-3.141593 -1.308997 0.298913
-2.879793 -1.308997 0.329843
-2.617994 -1.308997 0.359116
-2.356194 -1.308997 0.444444
-2.094395 -1.308997 0.529412
-1.832596 -1.308997 0.687943
-1.570796 -1.308997 1.000000
-1.308997 -1.308997 0.921986
-1.047198 -1.308997 0.934641
-0.785398 -1.308997 0.964912
-0.523599 -1.308997 0.950276
-0.261799 -1.308997 0.952880
0.000000 -1.308997 0.956522
0.261799 -1.308997 0.952880
0.523599 -1.308997 0.950276
0.785398 -1.308997 0.964912
1.047198 -1.308997 0.934641
1.308997 -1.308997 0.921986
1.570796 -1.308997 1.000000
1.832596 -1.308997 0.687943
2.094395 -1.308997 0.529412
2.356194 -1.308997 0.444444
2.617994 -1.308997 0.359116
2.879793 -1.308997 0.329843
3.141593 -1.308997 0.298913

-3.141593 -1.047198 0.056277
-2.879793 -1.047198 0.068548
-2.617994 -1.047198 0.100000
-2.356194 -1.047198 0.158879
-2.094395 -1.047198 0.278075
-1.832596 -1.047198 0.515924
-1.570796 -1.047198 1.000000
-1.308997 -1.047198 0.923567
-1.047198 -1.047198 0.951872
-0.785398 -1.047198 0.939252
-0.523599 -1.047198 0.860870
-0.261799 -1.047198 0.802419
0.000000 -1.047198 0.870130
0.261799 -1.047198 0.802419
0.523599 -1.047198 0.860870
0.785398 -1.047198 0.939252
1.047198 -1.047198 0.951872
1.308997 -1.047198 0.923567
1.570796 -1.047198 1.000000
1.832596 -1.047198 0.515924
2.094395 -1.047198 0.278075
2.356194 -1.047198 0.158879
2.617994 -1.047198 0.100000
2.879793 -1.047198 0.068548
3.141593 -1.047198 0.056277

-3.141593 -0.785398 0.000000
-2.879793 -0.785398 0.000000
-2.617994 -0.785398 0.000000
-2.356194 -0.785398 0.012195
-2.094395 -0.785398 0.087379
-1.832596 -0.785398 0.385542
-1.570796 -0.785398 1.000000
-1.308997 -0.785398 0.963855
-1.047198 -0.785398 0.927184
-0.785398 -0.785398 0.776423
-0.523599 -0.785398 0.623134
-0.261799 -0.785398 0.517483
0.000000 -0.785398 0.523132
0.261799 -0.785398 0.517483
0.523599 -0.785398 0.623134
0.785398 -0.785398 0.776423
1.047198 -0.785398 0.927184
1.308997 -0.785398 0.963855
1.570796 -0.785398 1.000000
1.832596 -0.785398 0.385542
2.094395 -0.785398 0.087379
2.356194 -0.785398 0.012195
2.617994 -0.785398 0.000000
2.879793 -0.785398 0.000000
3.141593 -0.785398 0.000000

-3.141593 -0.523599 0.000000
