2539.65	83.993	789.02	25.35	2.503	202979.292	0.0	0.0	12390055.66	0.61892												
2540.65	83.92	795.777	25.35	2.503	204117.706	0.0	0.0	12594173.366	0.61892												
2541.65	83.847	802.533	25.35	2.503	205264.569	0.0	0.0	12799437.935	0.61892												
2542.65	83.774	809.287	25.35	2.503	206419.953	0.0	0.0	13005857.888	0.61892												
2543.65	83.701	816.038	25.35	2.503	207583.775	0.0	0.0	13213441.663	0.61892												
2544.65	83.627	822.786	25.35	2.503	208756.011	0.0	0.0	13422197.674	0.61892												
2545.65	83.553	829.527	25.35	2.503	209936.97	0.0	0.0	13632134.645	0.61892												
2546.65	83.479	836.264	25.35	2.503	211126.783	0.0	0.0	13843261.428	0.61892												
2547.65	83.404	842.962	25.35	2.503	212325.538	0.0	0.0	14055586.966	0.61892												
2548.65	83.33	849.591	25.35	2.503	213533.047	0.0	0.0	14269120.013	0.61892												
2549.65	83.255	850.0	24.909	2.459	214749.687	0.0	0.0	14483869.699	0.61892												
2550.65	83.179	850.0	24.436	2.412	215975.532	0.0	0.0	14699845.231	0.61892												
2551.65	83.104	850.0	23.96	2.365	217210.384	0.0	0.0	14917055.615	0.61892												
2552.65	83.028	850.0	23.48	2.317	218454.586	0.0	0.0	15135510.201	0.61892												
2553.65	82.952	850.0	22.998	2.269	219708.275	0.0	0.0	15355218.476	0.61892												
2554.65	82.876	850.0	22.512	2.221	220971.572	0.0	0.0	15576190.048	0.61892												
2555.65	82.799	850.0	22.023	2.172	222244.631	0.0	0.0	15798434.679	0.61892												
2556.65	82.723	850.0	21.531	2.124	223526.757	0.0	0.0	16021961.436	0.61892												
2557.65	82.646	850.0	21.036	2.075	224818.876	0.0	0.0	16246780.312	0.61892												
2558.65	82.568	850.0	20.537	2.025	226121.114	0.0	0.0	16472901.426	0.61892												
2559.65	82.491	850.0	20.035	1.975	227433.449	0.0	0.0	16700334.875	0.61892												
2560.65	82.413	850.0	19.53	1.925	228755.623	0.0	0.0	16929090.498	0.61892												
2561.65	82.335	850.0	19.021	1.875	230088.119	0.0	0.0	17159178.617	0.61892												
2562.65	82.256	850.0	18.509	1.824	231431.042	0.0	0.0	17390609.659	0.61892												
2563.65	82.178	850.0	17.994	1.773	232784.501	0.0	0.0	17623394.16	0.61892												
2564.65	82.099	850.0	17.475	1.722	234148.462	0.0	0.0	17857542.622	0.61892												
2565.65	82.019	850.0	16.953	1.67	235522.975	0.0	0.0	18093065.597	0.61892												
2566.65	81.94	850.0	16.427	1.618	236908.528	0.0	0.0	18329974.125	0.61892												
2567.65	81.86	850.0	15.898	1.566	238304.975	0.0	0.0	18568279.1	0.61892												
2568.65	81.78	850.0	15.365	1.513	239712.233	0.0	0.0	18807991.334	0.61892												
2569.65	81.699	850.0	14.829	1.46	241130.785	0.0	0.0	19049122.119	0.61892												
2570.65	81.619	850.0	14.289	1.407	242560.571	0.0	0.0	19291682.689	0.61892												
2571.65	81.538	850.0	13.745	1.353	244001.755	0.0	0.0	19535684.444	0.61892												
2572.65	81.456	850.0	13.198	1.299	245454.512	0.0	0.0	19781138.957	0.61892												
2573.65	81.375	850.0	12.647	1.245	246919.023	0.0	0.0	20028057.979	0.61892												
2574.65	81.293	850.0	12.092	1.19	248395.324	0.0	0.0	20276453.304	0.61892												
2575.65	81.21	850.0	11.534	1.135	249883.282	0.0	0.0	20526336.586	0.61892												
2576.65	81.128	850.0	10.972	1.079	251383.442	0.0	0.0	20777720.028	0.61892												
2577.65	81.045	850.0	10.406	1.024	252895.833	0.0	0.0	21030615.861	0.61892												
2578.65	80.962	850.0	9.836	0.967	254420.559	0.0	0.0	21285036.419	0.61892												
