Altitude (km)	Objet	Matériau	Mass (kg)
87.917	SAsupp5	drama-AA7075	0.850000
87.851	SAsupp5	drama-AA7075	0.850000
87.785	SAsupp5	drama-AA7075	0.850000
87.718	SAsupp5	drama-AA7075	0.850000
87.651	SAsupp5	drama-AA7075	0.850000
87.583	SAsupp5	drama-AA7075	0.850000
87.515	SAsupp5	drama-AA7075	0.850000
87.447	SAsupp5	drama-AA7075	0.850000
87.378	SAsupp5	drama-AA7075	0.850000
87.309	SAsupp5	drama-AA7075	0.850000
87.240	SAsupp5	drama-AA7075	0.850000
87.170	SAsupp5	drama-AA7075	0.850000
87.099	SAsupp5	drama-AA7075	0.850000
87.029	SAsupp5	drama-AA7075	0.850000
86.958	SAsupp5	drama-AA7075	0.850000
86.886	SAsupp5	drama-AA7075	0.850000
86.814	SAsupp5	drama-AA7075	0.850000
86.741	SAsupp5	drama-AA7075	0.850000
86.668	SAsupp5	drama-AA7075	0.850000
86.595	SAsupp5	drama-AA7075	0.850000
86.521	SAsupp5	drama-AA7075	0.850000
86.447	SAsupp5	drama-AA7075	0.850000
86.372	SAsupp5	drama-AA7075	0.850000
86.296	SAsupp5	drama-AA7075	0.850000
86.220	SAsupp5	drama-AA7075	0.850000
86.144	SAsupp5	drama-AA7075	0.850000
86.067	SAsupp5	drama-AA7075	0.850000
85.989	SAsupp5	drama-AA7075	0.850000
85.911	SAsupp5	drama-AA7075	0.828000
85.833	SAsupp5	drama-AA7075	0.803000
85.754	SAsupp5	drama-AA7075	0.777000
85.674	SAsupp5	drama-AA7075	0.752000
85.594	SAsupp5	drama-AA7075	0.726000
85.513	SAsupp5	drama-AA7075	0.700000
85.431	SAsupp5	drama-AA7075	0.674000
85.349	SAsupp5	drama-AA7075	0.648000
85.266	SAsupp5	drama-AA7075	0.621000
85.183	SAsupp5	drama-AA7075	0.594000
85.099	SAsupp5	drama-AA7075	0.567000
85.014	SAsupp5	drama-AA7075	0.540000
84.929	SAsupp5	drama-AA7075	0.513000
84.843	SAsupp5	drama-AA7075	0.485000
84.757	SAsupp5	drama-AA7075	0.457000
84.669	SAsupp5	drama-AA7075	0.429000
84.581	SAsupp5	drama-AA7075	0.401000
84.493	SAsupp5	drama-AA7075	0.373000
84.403	SAsupp5	drama-AA7075	0.344000
84.313	SAsupp5	drama-AA7075	0.316000
84.222	SAsupp5	drama-AA7075	0.287000
84.130	SAsupp5	drama-AA7075	0.258000
84.038	SAsupp5	drama-AA7075	0.229000
83.945	SAsupp5	drama-AA7075	0.200000
83.851	SAsupp5	drama-AA7075	0.170000
83.756	SAsupp5	drama-AA7075	0.141000
83.661	SAsupp5	drama-AA7075	0.112000
83.564	SAsupp5	drama-AA7075	0.083000
83.467	SAsupp5	drama-AA7075	0.055000
83.370	SAsupp5	drama-AA7075	0.027000
83.272	SAsupp5	drama-AA7075	0.001000
83.254	SAsupp5	drama-AA7075	0.000000
89.986	Ribpanel3	drama-HC-AA7075	1.800000
89.980	Ribpanel3	drama-HC-AA7075	1.800000
89.954	Ribpanel3	drama-HC-AA7075	1.800000
89.895	Ribpanel3	drama-HC-AA7075	1.800000
89.837	Ribpanel3	drama-HC-AA7075	1.800000
89.778	Ribpanel3	drama-HC-AA7075	1.800000
89.719	Ribpanel3	drama-HC-AA7075	1.800000
89.660	Ribpanel3	drama-HC-AA7075	1.800000
89.600	Ribpanel3	drama-HC-AA7075	1.800000
89.541	Ribpanel3	drama-HC-AA7075	1.800000
89.481	Ribpanel3	drama-HC-AA7075	1.800000
89.421	Ribpanel3	drama-HC-AA7075	1.800000
89.360	Ribpanel3	drama-HC-AA7075	1.800000
89.300	Ribpanel3	drama-HC-AA7075	1.800000
89.239	Ribpanel3	drama-HC-AA7075	1.800000
89.177	Ribpanel3	drama-HC-AA7075	1.800000
89.116	Ribpanel3	drama-HC-AA7075	1.800000
89.053	Ribpanel3	drama-HC-AA7075	1.800000
88.991	Ribpanel3	drama-HC-AA7075	1.800000
88.928	Ribpanel3	drama-HC-AA7075	1.800000
88.864	Ribpanel3	drama-HC-AA7075	1.800000
88.800	Ribpanel3	drama-HC-AA7075	1.800000
88.736	Ribpanel3	drama-HC-AA7075	1.726000
88.670	Ribpanel3	drama-HC-AA7075	1.611000
88.605	Ribpanel3	drama-HC-AA7075	1.495000
88.538	Ribpanel3	drama-HC-AA7075	1.379000
88.471	Ribpanel3	drama-HC-AA7075	1.263000
88.404	Ribpanel3	drama-HC-AA7075	1.148000
88.335	Ribpanel3	drama-HC-AA7075	1.032000
88.266	Ribpanel3	drama-HC-AA7075	0.918000
88.197	Ribpanel3	drama-HC-AA7075	0.803000
88.126	Ribpanel3	drama-HC-AA7075	0.690000
88.055	Ribpanel3	drama-HC-AA7075	0.577000
87.983	Ribpanel3	drama-HC-AA7075	0.466000
87.910	Ribpanel3	drama-HC-AA7075	0.357000
87.837	Ribpanel3	drama-HC-AA7075	0.251000
87.763	Ribpanel3	drama-HC-AA7075	0.149000
87.688	Ribpanel3	drama-HC-AA7075	0.054000
87.615	Ribpanel3	drama-HC-AA7075	0.000000
89.986	CCU	drama-AA7075	4.725000
89.980	CCU	drama-AA7075	4.725000
89.954	CCU	drama-AA7075	4.725000
89.895	CCU	drama-AA7075	4.725000
89.836	CCU	drama-AA7075	4.725000
89.777	CCU	drama-AA7075	4.725000
89.718	CCU	drama-AA7075	4.725000
89.659	CCU	drama-AA7075	4.725000
89.600	CCU	drama-AA7075	4.725000
89.540	CCU	drama-AA7075	4.725000
89.481	CCU	drama-AA7075	4.725000
89.421	CCU	drama-AA7075	4.725000
89.361	CCU	drama-AA7075	4.725000
89.301	CCU	drama-AA7075	4.725000
89.240	CCU	drama-AA7075	4.725000
89.180	CCU	drama-AA7075	4.725000
89.119	CCU	drama-AA7075	4.725000
89.059	CCU	drama-AA7075	4.725000
88.998	CCU	drama-AA7075	4.725000
88.937	CCU	drama-AA7075	4.725000
88.875	CCU	drama-AA7075	4.725000
88.814	CCU	drama-AA7075	4.725000
88.752	CCU	drama-AA7075	4.725000
88.691	CCU	drama-AA7075	4.725000
88.629	CCU	drama-AA7075	4.725000
88.567	CCU	drama-AA7075	4.725000
88.504	CCU	drama-AA7075	4.725000
88.442	CCU	drama-AA7075	4.725000
88.379	CCU	drama-AA7075	4.725000
88.317	CCU	drama-AA7075	4.725000
88.254	CCU	drama-AA7075	4.725000
88.190	CCU	drama-AA7075	4.725000
88.127	CCU	drama-AA7075	4.725000
88.063	CCU	drama-AA7075	4.725000
87.999	CCU	drama-AA7075	4.725000
87.935	CCU	drama-AA7075	4.725000
87.871	CCU	drama-AA7075	4.725000
87.807	CCU	drama-AA7075	4.725000
87.742	CCU	drama-AA7075	4.725000
87.677	CCU	drama-AA7075	4.725000
87.612	CCU	drama-AA7075	4.725000
87.547	CCU	drama-AA7075	4.725000
87.481	CCU	drama-AA7075	4.725000
87.416	CCU	drama-AA7075	4.725000
87.350	CCU	drama-AA7075	4.725000
87.284	CCU	drama-AA7075	4.725000
87.217	CCU	drama-AA7075	4.725000
87.150	CCU	drama-AA7075	4.725000
87.084	CCU	drama-AA7075	4.725000
87.016	CCU	drama-AA7075	4.725000
86.949	CCU	drama-AA7075	4.725000
86.881	CCU	drama-AA7075	4.725000
86.813	CCU	drama-AA7075	4.725000
86.745	CCU	drama-AA7075	4.725000
86.677	CCU	drama-AA7075	4.725000
86.608	CCU	drama-AA7075	4.725000
86.539	CCU	drama-AA7075	4.725000
86.470	CCU	drama-AA7075	4.725000
86.401	CCU	drama-AA7075	4.725000
86.331	CCU	drama-AA7075	4.725000
86.261	CCU	drama-AA7075	4.725000
86.191	CCU	drama-AA7075	4.725000
86.120	CCU	drama-AA7075	4.725000
86.049	CCU	drama-AA7075	4.725000
85.978	CCU	drama-AA7075	4.725000
85.906	CCU	drama-AA7075	4.725000
85.835	CCU	drama-AA7075	4.725000
85.763	CCU	drama-AA7075	4.725000
85.690	CCU	drama-AA7075	4.725000
85.618	CCU	drama-AA7075	4.725000
85.545	CCU	drama-AA7075	4.725000
85.471	CCU	drama-AA7075	4.725000
85.398	CCU	drama-AA7075	4.725000
85.324	CCU	drama-AA7075	4.725000
85.249	CCU	drama-AA7075	4.725000
85.175	CCU	drama-AA7075	4.725000
85.100	CCU	drama-AA7075	4.725000
85.025	CCU	drama-AA7075	4.725000
84.949	CCU	drama-AA7075	4.725000
84.873	CCU	drama-AA7075	4.725000
84.797	CCU	drama-AA7075	4.725000
84.720	CCU	drama-AA7075	4.725000
84.643	CCU	drama-AA7075	4.725000
84.566	CCU	drama-AA7075	4.725000
84.488	CCU	drama-AA7075	4.725000
84.410	CCU	drama-AA7075	4.725000
84.331	CCU	drama-AA7075	4.725000
84.252	CCU	drama-AA7075	4.725000
84.173	CCU	drama-AA7075	4.725000
84.093	CCU	drama-AA7075	4.725000
84.013	CCU	drama-AA7075	4.703000
83.933	CCU	drama-AA7075	4.605000
83.852	CCU	drama-AA7075	4.506000
83.771	CCU	drama-AA7075	4.406000
83.689	CCU	drama-AA7075	4.306000
83.607	CCU	drama-AA7075	4.205000
83.524	CCU	drama-AA7075	4.103000
83.442	CCU	drama-AA7075	4.001000
83.358	CCU	drama-AA7075	3.898000
83.274	CCU	drama-AA7075	3.794000
83.190	CCU	drama-AA7075	3.690000
83.106	CCU	drama-AA7075	3.585000
83.020	CCU	drama-AA7075	3.479000
82.935	CCU	drama-AA7075	3.373000
82.849	CCU	drama-AA7075	3.266000
