# Documentation: DRAMA Software User Manual, section 7.3.5.9
latitude, imp.probability, casualty, fatality, quantity
8.025000000006301, 1.0, 3.0035071156156725E-5, 8.329236282296619E-8, 1.0
7.8583333333396155, 1.0, 6.012230385764024E-5, 6.012230385764024E-5, 1.0
7.825000000006284, 1.0, 5.9584889985075935E-5, 3.197846694473083E-6, 6.0
7.70833333333961, 1.0, 8.35250116058114E-5, 8.35250116058114E-5, 1.0
7.525000000006273, 1.0, 1.2127028490924435E-4, 1.1436240755453174E-4, 4.0
7.491666666672927, 1.0, 1.5161770994299185E-5, 0.0, 1.0
7.391666666672933, 1.0, 6.766117047723191E-5, 2.348022569076996E-6, 4.0
7.375000000006253, 1.0, 1.0149895076325362E-4, 1.0149895076325362E-4, 1.0
7.366666666672927, 1.0, 3.611863457256745E-5, 4.222542909679045E-7, 2.0
7.333333333339596, 1.0, 1.5726557181117994E-5, 1.001386169694882E-5, 1.0
7.291666666672924, 1.0, 3.0174016643578757E-5, 0.0, 2.0
7.2666666666729185, 1.0, 2.072770455456621E-5, 2.072770455456621E-5, 1.0
7.2583333333395785, 1.0, 1.685941542360246E-5, 1.685941542360246E-5, 1.0
7.250000000006253, 1.0, 1.7316307447614586E-5, 1.7316307447614586E-5, 1.0
7.241666666672913, 1.0, 1.5916836163347214E-4, 1.2294043285253884E-4, 6.0
7.233333333339587, 1.0, 2.7806068108533832E-5, 2.6709439757217814E-5, 1.0
7.225000000006247, 1.0, 2.325587106464842E-5, 0.0, 1.0
7.16666666667291, 1.0, 5.486034080339474E-5, 5.486034080339474E-5, 3.0
7.125000000006239, 1.0, 9.588716316303212E-5, 9.588716316303212E-5, 1.0
7.108333333339573, 1.0, 9.89989358664596E-5, 9.89989358664596E-5, 1.0
