x, y
1046.153860840416, 77.24758005735785
1051.0989157666259, 76.83264229802175
1055.5944202449984, 76.31397009885163
1060.089924723371, 75.89903233951553
1065.034979649581, 75.3803601403454
1069.9800345757908, 74.75795350134126
1074.4755390541636, 74.23928130217114
1078.9710435325362, 73.72060910300101
1083.0169975630715, 73.20193690383088
1087.3626610382923, 72.68326470466076
1091.4086150688277, 72.16459250549063
1095.4545690993632, 71.6459203063205
1099.5005231298985, 71.02351366731637
1103.996027608271, 70.40110702831221
1108.4915320866437, 69.77870038930806
1112.5374861171792, 69.05255931046989
1116.5834401477146, 68.43015267146573
1120.1798437304126, 67.8077460324616
1123.3266968652736, 67.18533939345744
1126.9231004479716, 66.66666719428731
1130.5195040306696, 65.94052611544915
1134.1159076133679, 65.31811947644499
1137.2627607482286, 64.69571283744084
1140.859164330927, 63.96957175860267
1144.455567913625, 63.34716511959852
1148.051971496323, 62.62102404076035
1151.198824631184, 61.89488296192217
1154.795228213882, 61.06500744324997
1158.39163179658, 60.3388663644118
1161.538484931441, 59.508990845739596
1165.134888514139, 58.66758734358792
1168.731292096837, 57.83771182491572
1171.878145231698, 56.9041018664095
1175.024998366559, 56.074226347737294
1178.621401949257, 55.14061638923107
1181.7682550841178, 54.207006430724846
1185.364658666816, 53.1696620323846
1188.961062249514, 52.13231763404435
1191.6583649365375, 51.0949732357041
1195.2547685192358, 50.05762883736385
1198.4016216540965, 49.020284439023605
1201.5484747889575, 47.98294004068335
1204.6953279238182, 47.04933008217713
1207.392630610842, 46.115720123670904
1210.0899332978654, 45.07837572533066
1213.2367864327261, 44.04103132699041
1216.3836395675871, 43.00368692865016
1219.530492702448, 41.96634253030991
1222.2277953894716, 41.032732571803685
1224.8251949282667, 40.00691457408098
1227.9720480631274, 38.96957017574073
1230.6693507501511, 37.93222577740048
1233.8162038850119, 36.89488137906023
1236.9630570198728, 35.857536980719985
1240.1099101547336, 34.82019258237973
1243.2567632895943, 33.78284818403949
1246.4036164244553, 32.745503785699235
1250.0000200071534, 31.811893827193014
1253.1468731420143, 30.87828386868679
1256.043954687113, 30.07146115124968
1259.190807821974, 29.137851192743454
1262.1378546603778, 28.3195020746888
1265.7342582430758, 27.385892116182575
1269.3306618257739, 26.45228215767635
1272.4775149606348, 25.62240663900415
1275.6243680954956, 24.79253112033195
1279.2207716781936, 24.066390041493776
1282.8171752608919, 23.132780082987555
1286.41357884359, 22.302904564315355
1289.5604319784509, 21.57676348547718
1292.2577346654743, 20.850622406639005
1295.8541382481726, 20.020746887966805
1299.700285982251, 19.19087136929461
1303.7462400127863, 18.36099585062241
1307.3426435954843, 17.634854771784234
1311.3885976260199, 16.90871369294606
1315.4345516565552, 16.182572614107883
1319.4805056870905, 15.45643153526971
1323.0769092697888, 14.83402489626556
1326.6733128524868, 14.211618257261412
1330.719266883022, 13.53157644944567
1334.7652209135576, 13.012904250275545
1339.26072539193, 12.390497611271396
1343.3066794224655, 11.871825412101272
1347.8021839008381, 11.353153212931147
1352.747238827048, 10.834481013761023
1357.2427433054208, 10.315808814590898
1361.7382477837932, 9.693402175586748
1366.233752262166, 9.27846441625065
1370.2797062927013, 8.86352665691455
1375.2247612189112, 8.2411200179104
1380.169816145121, 7.8261822585743
1385.114871071331, 7.3075100594041755
1389.6103755497038, 6.8925723000680765
1394.1058800280764, 6.581368980566001
1398.5015087966024, 6.166431221229902
1402.997013274975, 5.751493461893802
1407.9420682011848, 5.440290142391728
1411.9880222317202, 5.1290868228896525
1416.483526710093, 4.817883503387578
1420.9790311884656, 4.402945744051478
1426.3736365625127, 3.9880079847153787
1431.3186914887226, 3.676804665213304
1436.2637464149325, 3.3656013457112293
1441.6583517889796, 2.95066358637513
1447.0529571630268, 2.5357258270390304
1452.447562537074, 2.2245225075369555
1457.3926174632838, 1.9133191880348808
1462.337672389494, 1.498381428698781
1466.8331768678663, 1.1871781091967064
1471.3286813462391, 0.8759747896946318
1475.8241858246117, 0.668505910026582
1479.4205894073098, 0.46103703035853216
1483.016992990008, 0.14983371085645747
1487.5124974683806, -0.05763516881159233
