# Documentation: DRAMA Software User Manual, section 7.3.5.9
latitude, imp.probability, casualty, fatality, quantity
-7.583333333328042, 1.0, 8.212257745980114E-5, 8.212257745980114E-5, 4.0
-7.616666666661374, 1.0, 9.003191186386269E-5, 9.003191186386269E-5, 4.0
-7.658333333328045, 1.0, 5.1945139085638085E-5, 5.1945139085638085E-5, 1.0
-8.016666666661393, 1.0, 4.846043221914839E-5, 4.846043221914839E-5, 1.0
-8.024999999994733, 1.0, 4.1466047323308235E-5, 1.84290084159892E-5, 1.0
