Altitude (km),Knudsen
117.437,9.69504
117.424,9.67891
117.411,9.66281
117.398,9.64673
117.385,9.63063
117.372,9.61455
117.359,9.59849
117.346,9.58245
117.333,9.56644
117.32,9.55044
117.307,9.53447
117.294,9.51851
117.281,9.50254
117.268,9.48659
117.255,9.47066
117.242,9.45475
117.229,9.43887
117.215,9.42301
117.202,9.40717
117.189,9.39132
117.176,9.37548
117.163,9.35966
117.15,9.34386
117.137,9.32809
117.124,9.31233
117.111,9.2966
117.098,9.28089
117.085,9.26516
117.072,9.24945
117.059,9.23376
117.046,9.21809
117.033,9.20244
117.019,9.18682
117.006,9.17121
116.993,9.15561
116.98,9.14001
116.967,9.12442
116.954,9.10886
116.941,9.09332
116.928,9.0778
116.915,9.0623
116.902,9.04683
116.889,9.03134
116.875,9.01586
116.862,9.0004
116.849,8.98497
116.836,8.96955
116.823,8.95416
116.81,8.93879
116.797,8.92343
116.784,8.90806
116.771,8.8927
116.757,8.87737
116.744,8.86206
116.731,8.84677
116.718,8.8315
116.705,8.81626
116.692,8.80101
116.679,8.78576
116.666,8.77053
116.652,8.75532
116.639,8.74013
116.626,8.72497
116.613,8.70983
116.6,8.6947
116.587,8.67956
116.574,8.66443
116.56,8.64933
116.547,8.63424
116.534,8.61918
116.521,8.60414
116.508,8.58912
116.495,8.5741
116.481,8.55908
116.468,8.54407
116.455,8.52909
116.442,8.51412
116.429,8.49918
116.415,8.48426
116.402,8.46936
116.389,8.45445
116.376,8.43954
116.363,8.42466
116.349,8.4098
116.336,8.39495
116.323,8.38013
116.31,8.36533
116.297,8.35055
116.283,8.33574
116.27,8.32096
116.257,8.30619
116.244,8.29145
116.231,8.27673
116.217,8.26202
116.204,8.24734
116.191,8.23266
116.178,8.21797
116.164,8.2033
116.151,8.18866
116.138,8.17403
116.125,8.15943
116.111,8.14485
116.098,8.13028
116.085,8.11569
116.072,8.10112
116.058,8.08657
116.045,8.07205
116.032,8.05754
116.018,8.04305
116.005,8.02858
115.992,8.01412
115.979,7.99964
115.965,7.98519
115.952,7.97076
115.939,7.95635
115.925,7.94196
115.912,7.92759
115.899,7.91323
115.885,7.89886
115.872,7.8845
115.859,7.87017
115.845,7.85585
115.832,7.84155
115.819,7.82728
115.805,7.81302
115.792,7.79876
115.779,7.7845
115.765,7.77026
115.752,7.75604
115.739,7.74184
115.725,7.72765
115.712,7.71349
115.699,7.69935
115.685,7.68518
115.672,7.67103
115.658,7.65691
115.645,7.6428
115.632,7.62871
115.618,7.61464
115.605,7.60059
115.592,7.58654
115.578,7.57248
115.565,7.55845
115.551,7.54443
115.538,7.53043
115.524,7.51646
115.511,7.5025
115.498,7.48856
115.484,7.4746
115.471,7.46065
115.457,7.44673
115.444,7.43283
115.43,7.41894
115.417,7.40508
115.403,7.39123
115.39,7.37738
