Altitude (km),Knudsen
88.488,0.07275
88.422,0.0719
88.356,0.07106
88.289,0.07022
88.222,0.06939
88.155,0.06857
88.087,0.06775
88.019,0.06694
87.951,0.06614
87.883,0.06534
87.815,0.06456
87.746,0.06377
87.677,0.063
87.608,0.06223
87.538,0.06146
87.468,0.06071
87.398,0.05996
87.328,0.05921
87.257,0.05848
87.186,0.05775
87.115,0.05702
87.044,0.0563
86.972,0.05559
86.9,0.05489
86.828,0.05419
86.756,0.05349
86.683,0.05281
86.61,0.05213
86.536,0.05145
86.463,0.05078
86.389,0.05012
86.315,0.04946
86.24,0.04881
86.165,0.04817
86.09,0.04753
86.015,0.04689
85.939,0.0463
85.863,0.04571
85.787,0.04513
85.711,0.04456
85.634,0.04399
85.556,0.04343
85.479,0.04287
85.401,0.04232
85.323,0.04178
85.245,0.04124
85.166,0.0407
85.087,0.04017
85.007,0.03965
84.928,0.03913
84.847,0.03861
84.767,0.0381
84.686,0.0376
84.605,0.0371
84.524,0.0366
84.442,0.03611
84.36,0.03563
84.278,0.03515
84.195,0.03467
84.112,0.0342
84.028,0.03374
83.945,0.03328
83.86,0.03282
83.776,0.03237
83.691,0.03192
83.606,0.03148
83.52,0.03104
83.434,0.03061
83.348,0.03018
83.261,0.02976
83.174,0.02934
83.086,0.02893
82.998,0.02852
82.91,0.02811
82.822,0.02771
82.733,0.02731
82.643,0.02692
82.553,0.02653
82.463,0.02615
82.372,0.02577
82.281,0.02539
82.19,0.02502
82.098,0.02465
82.006,0.02429
81.913,0.02393
81.82,0.02357
81.726,0.02322
81.632,0.02288
81.538,0.02253
81.443,0.02219
81.348,0.02186
81.252,0.02153
81.156,0.0212
81.059,0.02087
80.962,0.02055
80.865,0.02024
80.767,0.01992
80.668,0.01961
80.57,0.01931
80.47,0.01901
80.37,0.01871
80.27,0.01841
80.169,0.01812
80.068,0.01783
79.966,0.01755
79.864,0.01727
79.761,0.01699
79.658,0.01672
79.554,0.01645
79.449,0.01618
79.345,0.01592
79.239,0.01566
79.133,0.0154
79.027,0.01514
78.92,0.01489
78.812,0.01464
78.704,0.0144
78.596,0.01416
78.487,0.01392
78.377,0.01368
78.267,0.01345
78.156,0.01322
78.044,0.013
77.932,0.01277
77.82,0.01255
77.706,0.01233
77.593,0.01212
77.478,0.01191
77.363,0.0117
77.247,0.01149
77.131,0.01129
77.014,0.01109
76.897,0.01089
76.779,0.01069
76.66,0.0105
76.54,0.01031
76.42,0.01012
76.299,0.00994
76.178,0.00976
76.056,0.00958
75.933,0.0094
75.809,0.00922
75.685,0.00905
75.56,0.00888
75.434,0.00871
75.308,0.00855
75.181,0.00839
75.053,0.00823
74.924,0.00807
74.795,0.00791
74.665,0.00776
74.534,0.00761
74.402,0.00746
74.27,0.00731
74.136,0.00717
74.002,0.00703
73.867,0.00689
73.731,0.00675
73.595,0.00661
73.457,0.00648
73.319,0.00635
73.18,0.00622
73.04,0.00609
72.899,0.00596
72.757,0.00584
72.614,0.00572
72.471,0.0056
72.326,0.00548
72.181,0.00537
72.034,0.00525
71.887,0.00514
71.738,0.00503
71.589,0.00492
71.439,0.00482
71.287,0.00472
71.135,0.00462
70.981,0.00452
70.827,0.00442
70.671,0.00432
70.515,0.00423
70.357,0.00414
70.198,0.00405
70.039,0.00396
69.877,0.00387
69.715,0.00378
69.552,0.0037
69.388,0.00361
69.222,0.00353
69.055,0.00345
68.887,0.00337
68.718,0.00329
68.547,0.00322
68.376,0.00314
68.203,0.00307
68.028,0.003
67.853,0.00293
67.676,0.00286
67.497,0.00279
67.318,0.00272
67.137,0.00266
66.954,0.00259
66.771,0.00253
66.586,0.00247
66.399,0.00241
66.211,0.00235
66.021,0.00229
65.83,0.00223
65.638,0.00217
65.444,0.00212
65.248,0.00206
65.051,0.00201
64.852,0.00196
64.652,0.00191
64.45,0.00186
64.246,0.00181
64.041,0.00176
63.834,0.00172
63.625,0.00167
63.415,0.00162
63.203,0.00158
62.989,0.00154
62.774,0.0015
62.556,0.00145
62.337,0.00141
62.116,0.00138
61.893,0.00134
61.668,0.0013
61.442,0.00126
61.213,0.00123
60.983,0.00119
60.75,0.00116
60.516,0.00112
60.28,0.00109
60.041,0.00106
59.801,0.00103
59.558,0.001
59.314,0.00097
59.067,0.00094
58.819,0.00091
58.568,0.00088
58.315,0.00086
58.06,0.00083
57.803,0.0008
57.544,0.00078
57.283,0.00075
57.019,0.00073
56.753,0.00071
56.485,0.00069
56.215,0.00066
55.943,0.00064
55.668,0.00062
55.391,0.0006
55.112,0.00058
54.831,0.00056
54.547,0.00054
54.261,0.00053
53.973,0.00051
53.683,0.00049
53.39,0.00048
53.096,0.00046
52.799,0.00044
52.5,0.00043
52.198,0.00041
51.895,0.0004
51.589,0.00039
51.281,0.00037
50.971,0.00036
50.659,0.00035
50.345,0.00033
50.029,0.00032
49.711,0.00031
49.391,0.00029
49.068,0.00028
48.745,0.00027
48.419,0.00026
48.092,0.00025
47.762,0.00024
47.432,0.00023
47.1,0.00022
46.766,0.00021
46.431,0.0002
46.094,0.00019
45.757,0.00018
45.418,0.00018
45.078,0.00017
44.737,0.00016
44.396,0.00015
44.054,0.00015
43.711,0.00014
43.368,0.00013
43.025,0.00013
42.681,0.00012
42.338,0.00011
41.994,0.00011
41.651,0.0001
41.308,0.0001
40.965,9e-05
40.623,9e-05
40.282,9e-05
39.941,8e-05
39.601,8e-05
39.263,7e-05
38.925,7e-05
38.589,7e-05
38.254,6e-05
37.921,6e-05
37.589,6e-05
37.259,5e-05
36.931,5e-05
36.604,5e-05
36.28,5e-05
35.957,4e-05
35.637,4e-05
35.318,4e-05
35.002,4e-05
34.688,4e-05
34.376,4e-05
34.066,3e-05
33.759,3e-05
33.454,3e-05
33.151,3e-05
32.85,3e-05
32.552,3e-05
32.257,3e-05
31.963,2e-05
31.672,2e-05
31.383,2e-05
31.097,2e-05
30.813,2e-05
30.53,2e-05
30.25,2e-05
29.972,2e-05
29.696,2e-05
29.422,2e-05
29.15,2e-05
28.88,1e-05
28.611,1e-05
28.345,1e-05
28.08,1e-05
27.816,1e-05
27.555,1e-05
27.295,1e-05
27.036,1e-05
26.779,1e-05
26.524,1e-05
26.27,1e-05
26.018,1e-05
25.767,1e-05
25.517,1e-05
25.269,1e-05
25.022,1e-05
24.777,1e-05
24.533,1e-05
24.29,1e-05
24.049,1e-05
23.809,1e-05
23.57,1e-05
23.333,1e-05
23.097,1e-05
22.863,1e-05
22.63,1e-05
22.398,1e-05
22.168,1e-05
21.94,1e-05
21.713,0.0
21.668,0.0
21.627,0.0
21.591,0.0
21.558,0.0
21.514,0.0
21.505,0.0
21.501,0.0
21.496,0.0
21.492,0.0
21.471,0.0
21.467,0.0
21.465,0.0
21.464,0.0
21.461,0.0
21.451,0.0
21.439,0.0
21.427,0.0
21.414,0.0
21.399,0.0
21.333,0.0
21.104,0.0
20.871,0.0
20.635,0.0
20.396,0.0
20.155,0.0
19.911,0.0
19.666,0.0
19.419,0.0
19.171,0.0
18.922,0.0
18.672,0.0
18.422,0.0
18.172,0.0
17.923,0.0
17.674,0.0
17.426,0.0
17.179,0.0
16.933,0.0
16.689,0.0
16.447,0.0
16.207,0.0
15.969,0.0
15.733,0.0
15.5,0.0
15.269,0.0
15.041,0.0
14.816,0.0
14.594,0.0
14.374,0.0
14.158,0.0
13.945,0.0
13.734,0.0
13.527,0.0
13.323,0.0
13.122,0.0
12.924,0.0
12.729,0.0
12.537,0.0
12.347,0.0
12.161,0.0
11.978,0.0
11.797,0.0
11.619,0.0
11.444,0.0
11.272,0.0
11.102,0.0
10.934,0.0
10.77,0.0
10.607,0.0
10.447,0.0
10.289,0.0
10.132,0.0
9.978,0.0
9.826,0.0
9.676,0.0
9.527,0.0
9.38,0.0
9.235,0.0
9.091,0.0
8.949,0.0
8.808,0.0
8.669,0.0
8.531,0.0
8.395,0.0
8.259,0.0
8.126,0.0
7.993,0.0
7.861,0.0
7.731,0.0
7.602,0.0
7.474,0.0
7.347,0.0
7.222,0.0
7.097,0.0
6.973,0.0
6.851,0.0
6.729,0.0
6.608,0.0
6.488,0.0
6.37,0.0
6.252,0.0
6.135,0.0
6.018,0.0
5.903,0.0
5.788,0.0
5.675,0.0
5.562,0.0
5.45,0.0
5.338,0.0
5.228,0.0
5.118,0.0
5.009,0.0
4.901,0.0
4.793,0.0
4.686,0.0
4.58,0.0
4.474,0.0
4.369,0.0
4.265,0.0
4.161,0.0
4.058,0.0
3.956,0.0
3.854,0.0
3.753,0.0
3.652,0.0
3.552,0.0
3.452,0.0
3.353,0.0
3.255,0.0
3.157,0.0
3.06,0.0
2.963,0.0
2.867,0.0
2.771,0.0
2.676,0.0
2.581,0.0
2.487,0.0
2.394,0.0
2.3,0.0
2.208,0.0
2.115,0.0
2.024,0.0
1.932,0.0
1.841,0.0
1.751,0.0
1.661,0.0
1.571,0.0
1.482,0.0
1.393,0.0
1.305,0.0
1.217,0.0
1.13,0.0
1.043,0.0
0.956,0.0
0.87,0.0
0.784,0.0
0.698,0.0
0.613,0.0
0.529,0.0
0.444,0.0
0.36,0.0
0.277,0.0
0.194,0.0
0.111,0.0
0.028,0.0
0.0,0.0
