Time [s]	Altitude [km]	Latitude [deg]	Longitude [deg]	Velocity [m/s]	Temperature [K]	Mass [kg]	Convective Heat [W/m²]	Integrated Heat [J/m²]	Object	Material
2676.2	70.563	-9.692	-74.775	6.896	300.0	0.9	4.519	42822.442	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2676.3	70.549	-9.691	-74.768	6.892	305.401	0.9	4.519	42798.143	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2676.75	70.486	-9.689	-74.741	6.876	329.579	0.9	4.519	42684.604	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2677.75	70.345	-9.685	-74.679	6.84	382.39	0.9	4.519	42419.523	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2678.75	70.203	-9.681	-74.618	6.803	433.388	0.9	4.519	42127.801	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2679.75	70.061	-9.677	-74.557	6.766	482.349	0.9	4.519	41828.944	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2680.75	69.918	-9.673	-74.496	6.728	526.895	0.9	4.519	41523.191	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2681.75	69.774	-9.669	-74.436	6.691	568.721	0.9	4.519	41210.821	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2682.75	69.629	-9.665	-74.376	6.653	612.047	0.9	4.519	40891.958	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2683.75	69.484	-9.661	-74.316	6.614	652.102	0.9	4.519	40566.945	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2684.75	69.337	-9.657	-74.257	6.576	689.163	0.9	4.519	40235.836	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2685.75	69.189	-9.654	-74.198	6.537	724.15	0.9	4.519	39898.972	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2686.75	69.041	-9.65	-74.139	6.497	761.223	0.9	4.519	39556.413	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2687.75	68.891	-9.646	-74.081	6.457	801.344	0.9	4.519	39208.449	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2688.75	68.739	-9.642	-74.023	6.417	840.534	0.9	4.519	38855.138	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2689.75	68.587	-9.638	-73.965	6.377	850.0	0.83	4.135	38496.756	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2690.75	68.433	-9.634	-73.908	6.333	850.0	0.737	3.638	38076.105	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2691.75	68.278	-9.63	-73.852	6.283	850.0	0.645	3.157	37550.887	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2692.75	68.121	-9.626	-73.795	6.225	850.0	0.555	2.693	36893.717	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2693.75	67.964	-9.622	-73.74	6.158	850.0	0.467	2.248	36071.266	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2694.75	67.805	-9.619	-73.685	6.079	850.0	0.382	1.823	35036.736	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2695.75	67.646	-9.615	-73.631	5.983	850.0	0.3	1.421	33722.122	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2696.75	67.487	-9.611	-73.577	5.861	850.0	0.222	1.045	32022.779	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2697.75	67.327	-9.608	-73.525	5.702	850.0	0.15	0.701	29765.278	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2698.75	67.17	-9.604	-73.475	5.476	850.0	0.086	0.398	26630.963	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2699.75	67.017	-9.601	-73.428	5.114	850.0	0.033	0.153	21934.224	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2700.346	66.93	-9.599	-73.401	4.633	850.0	0.01	0.046	16360.007	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2700.5	66.91	-9.599	-73.395	4.287	850.0	0.005	0.025	12742.876	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2700.637	66.893	-9.598	-73.39	3.82	850.0	0.003	0.012	8995.734	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2700.718	66.884	-9.598	-73.388	3.375	850.0	0.002	0.008	6120.81	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2700.781	66.878	-9.598	-73.386	2.937	850.0	0.001	0.005	3976.391	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2700.839	66.873	-9.598	-73.384	2.509	850.0	0.001	0.004	2442.898	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2700.906	66.868	-9.598	-73.383	2.076	850.0	0.001	0.004	1363.952	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2700.979	66.864	-9.598	-73.382	1.721	838.451	0.001	0.004	756.301	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2676.2	70.563	-9.692	-74.775	6.896	300.0	0.9	5.224	49202.071	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2676.3	70.549	-9.691	-74.768	6.892	306.206	0.9	5.224	49180.664	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2676.75	70.486	-9.689	-74.741	6.878	333.999	0.9	5.224	49080.453	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2677.75	70.345	-9.685	-74.679	6.845	394.693	0.9	5.224	48845.236	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2678.75	70.203	-9.681	-74.617	6.811	453.036	0.9	5.224	48584.514	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2679.75	70.061	-9.677	-74.556	6.778	508.555	0.9	5.224	48315.489	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2680.75	69.917	-9.673	-74.496	6.743	557.056	0.9	5.224	48038.356	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2681.75	69.773	-9.669	-74.435	6.709	607.517	0.9	5.224	47753.353	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2682.75	69.628	-9.665	-74.375	6.674	654.838	0.9	5.224	47460.551	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2683.75	69.482	-9.661	-74.315	6.639	698.167	0.9	5.224	47160.266	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2684.75	69.335	-9.657	-74.256	6.604	739.178	0.9	5.224	46852.483	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2685.75	69.187	-9.653	-74.196	6.568	786.027	0.9	5.224	46537.539	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2686.75	69.038	-9.649	-74.137	6.532	833.172	0.9	5.224	46215.42	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2687.75	68.888	-9.646	-74.079	6.495	850.0	0.829	4.746	45886.414	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2688.75	68.736	-9.642	-74.021	6.455	850.0	0.717	4.026	45488.975	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2689.75	68.584	-9.638	-73.963	6.409	850.0	0.607	3.343	44955.128	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2690.75	68.43	-9.634	-73.905	6.353	850.0	0.498	2.698	44235.916	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2691.75	68.275	-9.63	-73.849	6.286	850.0	0.392	2.089	43264.282	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2692.75	68.12	-9.626	-73.793	6.2	850.0	0.289	1.519	41930.357	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2693.75	67.964	-9.622	-73.737	6.085	850.0	0.191	0.991	40035.96	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2694.75	67.809	-9.619	-73.683	5.916	850.0	0.101	0.514	37160.181	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2695.75	67.657	-9.615	-73.632	5.611	850.0	0.022	0.113	32107.369	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2696.122	67.603	-9.614	-73.614	5.162	850.0	0.0	0.0	25080.353	35deacb2-c6a2-4f16-9e55-d44813b8a93a	unknown
2676.2	70.563	-9.692	-74.775	6.896	300.0	13.9	7.0	229245.526	636de29e-d481-433b-81dd-49c440d46a45	unknown
2676.3	70.549	-9.691	-74.768	6.894	301.873	13.9	7.0	229251.792	636de29e-d481-433b-81dd-49c440d46a45	unknown
2676.75	70.486	-9.689	-74.741	6.884	310.294	13.9	7.0	229278.318	636de29e-d481-433b-81dd-49c440d46a45	unknown
2677.75	70.345	-9.685	-74.679	6.863	328.938	13.9	7.0	229320.875	636de29e-d481-433b-81dd-49c440d46a45	unknown
2678.75	70.202	-9.681	-74.617	6.841	347.425	13.9	7.0	229339.329	636de29e-d481-433b-81dd-49c440d46a45	unknown
2679.75	70.059	-9.677	-74.556	6.819	365.755	13.9	7.0	229329.083	636de29e-d481-433b-81dd-49c440d46a45	unknown
2680.75	69.915	-9.673	-74.494	6.797	383.904	13.9	7.0	229290.028	636de29e-d481-433b-81dd-49c440d46a45	unknown
2681.75	69.77	-9.669	-74.433	6.774	401.842	13.9	7.0	229222.172	636de29e-d481-433b-81dd-49c440d46a45	unknown
2682.75	69.624	-9.665	-74.373	6.751	419.549	13.9	7.0	229124.899	636de29e-d481-433b-81dd-49c440d46a45	unknown
2683.75	69.477	-9.661	-74.312	6.728	437.035	13.9	7.0	228998.58	636de29e-d481-433b-81dd-49c440d46a45	unknown
2684.75	69.329	-9.657	-74.252	6.704	454.3	13.9	7.0	228842.243	636de29e-d481-433b-81dd-49c440d46a45	unknown
2685.75	69.18	-9.653	-74.192	6.68	471.244	13.9	7.0	228656.463	636de29e-d481-433b-81dd-49c440d46a45	unknown
2686.75	69.03	-9.649	-74.132	6.656	487.633	13.9	7.0	228440.07	636de29e-d481-433b-81dd-49c440d46a45	unknown
2687.75	68.878	-9.645	-74.072	6.631	503.193	13.9	7.0	228193.669	636de29e-d481-433b-81dd-49c440d46a45	unknown
2688.75	68.725	-9.641	-74.012	6.607	518.196	13.9	7.0	227916.069	636de29e-d481-433b-81dd-49c440d46a45	unknown
2689.75	68.571	-9.637	-73.953	6.581	532.994	13.9	7.0	227607.746	636de29e-d481-433b-81dd-49c440d46a45	unknown
2690.75	68.416	-9.633	-73.894	6.556	547.982	13.9	7.0	227267.576	636de29e-d481-433b-81dd-49c440d46a45	unknown
2691.75	68.259	-9.629	-73.835	6.53	563.306	13.9	7.0	226895.775	636de29e-d481-433b-81dd-49c440d46a45	unknown
2692.75	68.101	-9.625	-73.777	6.504	578.771	13.9	7.0	226491.603	636de29e-d481-433b-81dd-49c440d46a45	unknown
2693.75	67.941	-9.621	-73.718	6.477	594.086	13.9	7.0	226054.679	636de29e-d481-433b-81dd-49c440d46a45	unknown
2694.75	67.78	-9.617	-73.66	6.45	608.952	13.9	7.0	225584.843	636de29e-d481-433b-81dd-49c440d46a45	unknown
2695.75	67.618	-9.613	-73.602	6.423	623.365	13.9	7.0	225080.786	636de29e-d481-433b-81dd-49c440d46a45	unknown
2696.75	67.454	-9.609	-73.545	6.395	637.369	13.9	7.0	224542.816	636de29e-d481-433b-81dd-49c440d46a45	unknown
2697.75	67.288	-9.605	-73.487	6.367	650.995	13.9	7.0	223970.217	636de29e-d481-433b-81dd-49c440d46a45	unknown
2698.75	67.12	-9.601	-73.43	6.338	664.267	13.9	7.0	223361.973	636de29e-d481-433b-81dd-49c440d46a45	unknown
2699.75	66.951	-9.597	-73.373	6.309	677.228	13.9	7.0	222718.005	636de29e-d481-433b-81dd-49c440d46a45	unknown
2700.75	66.781	-9.593	-73.317	6.28	689.918	13.9	7.0	222037.614	636de29e-d481-433b-81dd-49c440d46a45	unknown
2701.75	66.608	-9.589	-73.26	6.25	702.384	13.9	7.0	221319.72	636de29e-d481-433b-81dd-49c440d46a45	unknown
2702.75	66.434	-9.585	-73.204	6.22	714.76	13.9	7.0	220564.097	636de29e-d481-433b-81dd-49c440d46a45	unknown
2703.75	66.257	-9.581	-73.149	6.189	727.22	13.9	7.0	219770.022	636de29e-d481-433b-81dd-49c440d46a45	unknown
2704.75	66.079	-9.577	-73.093	6.158	740.656	13.9	7.0	218936.758	636de29e-d481-433b-81dd-49c440d46a45	unknown
2705.75	65.899	-9.574	-73.038	6.127	754.72	13.9	7.0	218063.102	636de29e-d481-433b-81dd-49c440d46a45	unknown
2706.75	65.718	-9.57	-72.983	6.095	768.963	13.9	7.0	217148.789	636de29e-d481-433b-81dd-49c440d46a45	unknown
2707.75	65.534	-9.566	-72.928	6.063	783.114	13.9	7.0	216192.957	636de29e-d481-433b-81dd-49c440d46a45	unknown
2708.75	65.348	-9.562	-72.874	6.03	797.115	13.9	7.0	215194.79	636de29e-d481-433b-81dd-49c440d46a45	unknown
2709.75	65.16	-9.558	-72.82	5.997	810.941	13.9	7.0	214153.411	636de29e-d481-433b-81dd-49c440d46a45	unknown
2710.75	64.97	-9.554	-72.766	5.963	824.587	13.9	7.0	213068.047	636de29e-d481-433b-81dd-49c440d46a45	unknown
2711.75	64.777	-9.55	-72.713	5.929	838.044	13.9	7.0	211937.754	636de29e-d481-433b-81dd-49c440d46a45	unknown
2712.75	64.583	-9.546	-72.66	5.895	850.0	13.853	6.976	210761.688	636de29e-d481-433b-81dd-49c440d46a45	unknown
2713.75	64.386	-9.543	-72.607	5.859	850.0	13.351	6.712	209528.102	636de29e-d481-433b-81dd-49c440d46a45	unknown
2714.75	64.188	-9.539	-72.554	5.822	850.0	12.853	6.451	208119.71	636de29e-d481-433b-81dd-49c440d46a45	unknown
2715.75	63.987	-9.535	-72.502	5.784	850.0	12.358	6.194	206508.912	636de29e-d481-433b-81dd-49c440d46a45	unknown
2716.75	63.783	-9.531	-72.45	5.743	850.0	11.868	5.939	204682.786	636de29e-d481-433b-81dd-49c440d46a45	unknown
2717.75	63.578	-9.527	-72.399	5.7	850.0	11.383	5.688	202628.281	636de29e-d481-433b-81dd-49c440d46a45	unknown
2718.75	63.371	-9.524	-72.348	5.655	850.0	10.904	5.44	200332.185	636de29e-d481-433b-81dd-49c440d46a45	unknown
2719.75	63.161	-9.52	-72.297	5.607	850.0	10.431	5.197	197781.311	636de29e-d481-433b-81dd-49c440d46a45	unknown
2720.75	62.949	-9.516	-72.247	5.557	850.0	9.965	4.958	194962.924	636de29e-d481-433b-81dd-49c440d46a45	unknown
2721.75	62.736	-9.513	-72.197	5.504	850.0	9.507	4.723	191864.838	636de29e-d481-433b-81dd-49c440d46a45	unknown
2722.75	62.52	-9.509	-72.148	5.449	850.0	9.058	4.494	188475.624	636de29e-d481-433b-81dd-49c440d46a45	unknown
2723.75	62.302	-9.505	-72.099	5.39	850.0	8.617	4.269	184785.13	636de29e-d481-433b-81dd-49c440d46a45	unknown
2724.75	62.083	-9.502	-72.051	5.328	850.0	8.187	4.051	180784.777	636de29e-d481-433b-81dd-49c440d46a45	unknown
2725.75	61.861	-9.498	-72.004	5.263	850.0	7.767	3.838	176468.057	636de29e-d481-433b-81dd-49c440d46a45	unknown
2726.75	61.638	-9.495	-71.957	5.195	850.0	7.36	3.632	171831.186	636de29e-d481-433b-81dd-49c440d46a45	unknown
2727.75	61.413	-9.491	-71.91	5.123	850.0	6.964	3.433	166873.864	636de29e-d481-433b-81dd-49c440d46a45	unknown
2728.75	61.187	-9.488	-71.865	5.047	850.0	6.582	3.241	161599.497	636de29e-d481-433b-81dd-49c440d46a45	unknown
2729.75	60.959	-9.485	-71.82	4.968	850.0	6.213	3.056	156015.922	636de29e-d481-433b-81dd-49c440d46a45	unknown
2730.75	60.73	-9.481	-71.775	4.884	850.0	5.86	2.879	150136.276	636de29e-d481-433b-81dd-49c440d46a45	unknown
2731.75	60.5	-9.478	-71.732	4.797	850.0	5.521	2.71	143979.629	636de29e-d481-433b-81dd-49c440d46a45	unknown
2732.75	60.268	-9.475	-71.689	4.706	850.0	5.199	2.549	137571.143	636de29e-d481-433b-81dd-49c440d46a45	unknown
2733.75	60.036	-9.472	-71.647	4.61	850.0	4.893	2.397	130942.15	636de29e-d481-433b-81dd-49c440d46a45	unknown
2734.75	59.803	-9.468	-71.606	4.511	850.0	4.604	2.254	124131.141	636de29e-d481-433b-81dd-49c440d46a45	unknown
2735.75	59.569	-9.465	-71.566	4.408	850.0	4.333	2.119	117182.485	636de29e-d481-433b-81dd-49c440d46a45	unknown
2736.75	59.335	-9.462	-71.527	4.301	850.0	4.079	1.994	110145.944	636de29e-d481-433b-81dd-49c440d46a45	unknown
2737.75	59.1	-9.46	-71.489	4.191	850.0	3.843	1.877	103076.361	636de29e-d481-433b-81dd-49c440d46a45	unknown
2738.75	58.866	-9.457	-71.452	4.078	850.0	3.625	1.769	96031.421	636de29e-d481-433b-81dd-49c440d46a45	unknown
2739.75	58.632	-9.454	-71.416	3.963	850.0	3.424	1.67	89069.999	636de29e-d481-433b-81dd-49c440d46a45	unknown
2740.75	58.397	-9.451	-71.381	3.845	850.0	3.24	1.58	82250.641	636de29e-d481-433b-81dd-49c440d46a45	unknown
2741.75	58.164	-9.449	-71.347	3.726	850.0	3.072	1.497	75628.849	636de29e-d481-433b-81dd-49c440d46a45	unknown
2742.75	57.93	-9.446	-71.314	3.606	850.0	2.921	1.423	69255.123	636de29e-d481-433b-81dd-49c440d46a45	unknown
2743.75	57.698	-9.444	-71.282	3.486	850.0	2.785	1.356	63173.489	636de29e-d481-433b-81dd-49c440d46a45	unknown
2744.75	57.466	-9.441	-71.251	3.366	850.0	2.663	1.296	57419.678	636de29e-d481-433b-81dd-49c440d46a45	unknown
2745.75	57.235	-9.439	-71.222	3.247	850.0	2.554	1.243	52020.303	636de29e-d481-433b-81dd-49c440d46a45	unknown
2746.75	57.005	-9.437	-71.193	3.129	850.0	2.458	1.196	46992.813	636de29e-d481-433b-81dd-49c440d46a45	unknown
2747.75	56.775	-9.435	-71.165	3.014	850.0	2.374	1.155	42345.452	636de29e-d481-433b-81dd-49c440d46a45	unknown
2748.75	56.547	-9.433	-71.139	2.9	850.0	2.3	1.119	38077.996	636de29e-d481-433b-81dd-49c440d46a45	unknown
2749.75	56.319	-9.431	-71.113	2.79	850.0	2.237	1.087	34183.051	636de29e-d481-433b-81dd-49c440d46a45	unknown
2750.75	56.092	-9.429	-71.089	2.683	850.0	2.182	1.06	30647.188	636de29e-d481-433b-81dd-49c440d46a45	unknown
2751.75	55.866	-9.427	-71.065	2.579	850.0	2.135	1.037	27452.349	636de29e-d481-433b-81dd-49c440d46a45	unknown
2752.75	55.64	-9.425	-71.043	2.479	850.0	2.095	1.018	24577.23	636de29e-d481-433b-81dd-49c440d46a45	unknown
2753.75	55.416	-9.423	-71.021	2.383	850.0	2.061	1.002	21998.604	636de29e-d481-433b-81dd-49c440d46a45	unknown
2754.75	55.191	-9.422	-71.0	2.29	850.0	2.034	0.988	19692.281	636de29e-d481-433b-81dd-49c440d46a45	unknown
2755.75	54.967	-9.42	-70.98	2.202	850.0	2.011	0.977	17634.002	636de29e-d481-433b-81dd-49c440d46a45	unknown
2756.75	54.743	-9.419	-70.961	2.117	850.0	1.993	0.968	15800.119	636de29e-d481-433b-81dd-49c440d46a45	unknown
2757.75	54.519	-9.417	-70.942	2.036	850.0	1.979	0.962	14168.102	636de29e-d481-433b-81dd-49c440d46a45	unknown
2758.75	54.295	-9.416	-70.924	1.959	850.0	1.969	0.957	12716.813	636de29e-d481-433b-81dd-49c440d46a45	unknown
2759.75	54.071	-9.414	-70.907	1.885	850.0	1.962	0.953	11426.713	636de29e-d481-433b-81dd-49c440d46a45	unknown
2760.75	53.847	-9.413	-70.89	1.815	850.0	1.958	0.951	10279.925	636de29e-d481-433b-81dd-49c440d46a45	unknown
2761.75	53.623	-9.412	-70.874	1.748	850.0	1.957	0.95	9260.296	636de29e-d481-433b-81dd-49c440d46a45	unknown
2762.75	53.397	-9.411	-70.859	1.685	849.874	1.957	0.95	8353.286	636de29e-d481-433b-81dd-49c440d46a45	unknown
2763.75	53.172	-9.409	-70.844	1.624	849.386	1.957	0.95	7545.696	636de29e-d481-433b-81dd-49c440d46a45	unknown
2764.75	52.945	-9.408	-70.83	1.566	848.581	1.957	0.95	6825.475	636de29e-d481-433b-81dd-49c440d46a45	unknown
2765.75	52.718	-9.407	-70.816	1.511	847.499	1.957	0.95	6182.144	636de29e-d481-433b-81dd-49c440d46a45	unknown
2766.75	52.49	-9.406	-70.803	1.459	846.174	1.957	0.95	5606.596	636de29e-d481-433b-81dd-49c440d46a45	unknown
2767.75	52.261	-9.405	-70.791	1.409	844.636	1.957	0.95	5090.907	636de29e-d481-433b-81dd-49c440d46a45	unknown
2768.75	52.031	-9.404	-70.778	1.361	842.912	1.957	0.95	4628.174	636de29e-d481-433b-81dd-49c440d46a45	unknown
2769.75	51.8	-9.403	-70.766	1.315	841.023	1.957	0.95	4212.381	636de29e-d481-433b-81dd-49c440d46a45	unknown
2770.75	51.567	-9.402	-70.755	1.271	838.991	1.957	0.95	3838.258	636de29e-d481-433b-81dd-49c440d46a45	unknown
2771.75	51.334	-9.402	-70.744	1.229	836.833	1.957	0.95	3502.027	636de29e-d481-433b-81dd-49c440d46a45	unknown
2772.75	51.099	-9.401	-70.733	1.188	834.567	1.957	0.95	3201.178	636de29e-d481-433b-81dd-49c440d46a45	unknown
2773.75	50.864	-9.4	-70.723	1.15	832.205	1.957	0.95	2928.564	636de29e-d481-433b-81dd-49c440d46a45	unknown
2774.75	50.627	-9.399	-70.713	1.113	829.762	1.957	0.95	2681.291	636de29e-d481-433b-81dd-49c440d46a45	unknown
2775.75	50.388	-9.398	-70.703	1.077	827.256	1.957	0.95	2456.797	636de29e-d481-433b-81dd-49c440d46a45	unknown
2776.75	50.149	-9.398	-70.694	1.042	824.696	1.957	0.95	2252.797	636de29e-d481-433b-81dd-49c440d46a45	unknown
2777.75	49.908	-9.397	-70.685	1.009	822.092	1.957	0.95	2067.173	636de29e-d481-433b-81dd-49c440d46a45	unknown
2778.75	49.666	-9.396	-70.676	0.978	819.45	1.957	0.95	1898.283	636de29e-d481-433b-81dd-49c440d46a45	unknown
2779.75	49.423	-9.395	-70.668	0.947	816.779	1.957	0.95	1744.454	636de29e-d481-433b-81dd-49c440d46a45	unknown
2780.75	49.179	-9.395	-70.66	0.918	814.085	1.957	0.95	1604.229	636de29e-d481-433b-81dd-49c440d46a45	unknown
2781.75	48.934	-9.394	-70.652	0.889	811.374	1.957	0.95	1476.315	636de29e-d481-433b-81dd-49c440d46a45	unknown
2782.75	48.687	-9.394	-70.645	0.862	808.65	1.957	0.95	1359.555	636de29e-d481-433b-81dd-49c440d46a45	unknown
2783.75	48.44	-9.393	-70.637	0.836	805.919	1.957	0.95	1252.909	636de29e-d481-433b-81dd-49c440d46a45	unknown
2784.75	48.191	-9.392	-70.63	0.81	803.184	1.957	0.95	1155.444	636de29e-d481-433b-81dd-49c440d46a45	unknown
2785.75	47.941	-9.392	-70.623	0.786	800.448	1.957	0.95	1066.317	636de29e-d481-433b-81dd-49c440d46a45	unknown
2786.75	47.69	-9.391	-70.617	0.763	797.716	1.957	0.95	984.77	636de29e-d481-433b-81dd-49c440d46a45	unknown
2787.75	47.439	-9.391	-70.61	0.74	794.989	1.957	0.95	910.118	636de29e-d481-433b-81dd-49c440d46a45	unknown
2788.75	47.186	-9.39	-70.604	0.718	792.271	1.957	0.95	842.284	636de29e-d481-433b-81dd-49c440d46a45	unknown
2789.75	46.932	-9.39	-70.598	0.697	789.563	1.957	0.95	780.408	636de29e-d481-433b-81dd-49c440d46a45	unknown
2790.75	46.678	-9.389	-70.592	0.677	786.867	1.957	0.95	723.464	636de29e-d481-433b-81dd-49c440d46a45	unknown
2791.75	46.422	-9.389	-70.587	0.657	784.185	1.957	0.95	671.04	636de29e-d481-433b-81dd-49c440d46a45	unknown
2792.75	46.166	-9.388	-70.582	0.639	781.518	1.957	0.95	622.764	636de29e-d481-433b-81dd-49c440d46a45	unknown
2793.75	45.91	-9.388	-70.576	0.62	778.868	1.957	0.95	578.296	636de29e-d481-433b-81dd-49c440d46a45	unknown
2794.75	45.653	-9.388	-70.571	0.603	776.235	1.957	0.95	537.322	636de29e-d481-433b-81dd-49c440d46a45	unknown
2795.75	45.395	-9.387	-70.567	0.586	773.62	1.957	0.95	499.56	636de29e-d481-433b-81dd-49c440d46a45	unknown
2796.75	45.137	-9.387	-70.562	0.569	771.025	1.957	0.95	464.749	636de29e-d481-433b-81dd-49c440d46a45	unknown
2797.75	44.878	-9.387	-70.557	0.553	768.452	1.957	0.95	432.648	636de29e-d481-433b-81dd-49c440d46a45	unknown
2798.75	44.619	-9.386	-70.553	0.538	765.901	1.957	0.95	403.04	636de29e-d481-433b-81dd-49c440d46a45	unknown
2799.75	44.36	-9.386	-70.549	0.523	763.374	1.957	0.95	375.72	636de29e-d481-433b-81dd-49c440d46a45	unknown
2800.75	44.101	-9.385	-70.545	0.509	760.87	1.957	0.95	350.504	636de29e-d481-433b-81dd-49c440d46a45	unknown
2801.75	43.842	-9.385	-70.541	0.495	758.39	1.957	0.95	327.221	636de29e-d481-433b-81dd-49c440d46a45	unknown
2802.75	43.583	-9.385	-70.537	0.482	755.934	1.957	0.95	305.714	636de29e-d481-433b-81dd-49c440d46a45	unknown
2803.75	43.324	-9.385	-70.534	0.469	753.502	1.957	0.95	285.842	636de29e-d481-433b-81dd-49c440d46a45	unknown
2804.75	43.065	-9.384	-70.53	0.456	751.095	1.957	0.95	267.471	636de29e-d481-433b-81dd-49c440d46a45	unknown
2805.75	42.806	-9.384	-70.527	0.444	748.718	1.957	0.95	250.484	636de29e-d481-433b-81dd-49c440d46a45	unknown
2806.75	42.548	-9.384	-70.524	0.433	746.375	1.957	0.95	234.767	636de29e-d481-433b-81dd-49c440d46a45	unknown
2807.75	42.29	-9.384	-70.521	0.422	744.063	1.957	0.95	220.221	636de29e-d481-433b-81dd-49c440d46a45	unknown
2808.75	42.033	-9.383	-70.518	0.411	741.782	1.957	0.95	206.752	636de29e-d481-433b-81dd-49c440d46a45	unknown
2809.75	41.776	-9.383	-70.515	0.401	739.533	1.957	0.95	194.273	636de29e-d481-433b-81dd-49c440d46a45	unknown
2810.75	41.52	-9.383	-70.512	0.391	737.314	1.957	0.95	182.707	636de29e-d481-433b-81dd-49c440d46a45	unknown
2811.75	41.264	-9.383	-70.51	0.381	735.125	1.957	0.95	171.98	636de29e-d481-433b-81dd-49c440d46a45	unknown
2812.75	41.01	-9.382	-70.507	0.372	732.966	1.957	0.95	162.027	636de29e-d481-433b-81dd-49c440d46a45	unknown
2813.75	40.756	-9.382	-70.505	0.363	730.835	1.957	0.95	152.785	636de29e-d481-433b-81dd-49c440d46a45	unknown
2814.75	40.504	-9.382	-70.502	0.354	728.757	1.957	0.95	144.199	636de29e-d481-433b-81dd-49c440d46a45	unknown
2815.75	40.252	-9.382	-70.5	0.346	726.729	1.957	0.95	136.217	636de29e-d481-433b-81dd-49c440d46a45	unknown
2816.75	40.002	-9.382	-70.498	0.338	724.749	1.957	0.95	128.79	636de29e-d481-433b-81dd-49c440d46a45	unknown
2817.75	39.753	-9.381	-70.496	0.33	722.813	1.957	0.95	121.875	636de29e-d481-433b-81dd-49c440d46a45	unknown
2818.75	39.505	-9.381	-70.494	0.323	720.919	1.957	0.95	115.432	636de29e-d481-433b-81dd-49c440d46a45	unknown
2819.75	39.259	-9.381	-70.492	0.316	719.067	1.957	0.95	109.424	636de29e-d481-433b-81dd-49c440d46a45	unknown
