Time [s]	Altitude [km]	Latitude [deg]	Longitude [deg]	Mass [kg]	Group	Material
4135.354	0.953	-9.512	-72.251	0.285	0.285000kg_unknown	unknown
4068.2511533516986	1.6561313131313131	-9.512	-72.25	0.285	0.285000kg_unknown	unknown
4004.693761248852	2.3592626262626264	-9.512	-72.249	0.285	0.285000kg_unknown	unknown
3944.237838383838	3.0623939393939392	-9.512	-72.247	0.285	0.285000kg_unknown	unknown
3886.7268956228954	3.7655252525252525	-9.512	-72.246	0.285	0.285000kg_unknown	unknown
3832.0727257187255	4.468656565656566	-9.512	-72.243	0.285	0.285000kg_unknown	unknown
3780.0120086580087	5.171787878787879	-9.512	-72.241	0.285	0.285000kg_unknown	unknown
3730.6260538720535	5.874919191919193	-9.512	-72.238	0.285	0.285000kg_unknown	unknown
3683.725843434343	6.578050505050506	-9.511	-72.235	0.285	0.285000kg_unknown	unknown
3639.1551363636363	7.281181818181818	-9.511	-72.232	0.285	0.285000kg_unknown	unknown
3596.806168746286	7.984313131313132	-9.511	-72.228	0.285	0.285000kg_unknown	unknown
3556.440419753086	8.687444444444445	-9.511	-72.22408641975309	0.285	0.285000kg_unknown	unknown
3517.955275917065	9.390575757575757	-9.511	-72.22060127591706	0.285	0.285000kg_unknown	unknown
3481.1686464646464	10.09370707070707	-9.511	-72.216	0.285	0.285000kg_unknown	unknown
3445.9620808080804	10.796838383838384	-9.511	-72.212	0.285	0.285000kg_unknown	unknown
3412.2602049062048	11.499969696969696	-9.511	-72.208	0.285	0.285000kg_unknown	unknown
3380.1221359044994	12.20310101010101	-9.51	-72.204	0.285	0.285000kg_unknown	unknown
3349.4308555116377	12.906232323232324	-9.51	-72.201	0.285	0.285000kg_unknown	unknown
3320.130515151515	13.609363636363636	-9.51	-72.197	0.285	0.285000kg_unknown	unknown
3292.0657327117324	14.31249494949495	-9.51	-72.194	0.285	0.285000kg_unknown	unknown
3265.1826569397676	15.015626262626263	-9.51	-72.19082865693977	0.285	0.285000kg_unknown	unknown
3239.4340865800864	15.718757575757575	-9.51	-72.188	0.285	0.285000kg_unknown	unknown
3214.7026590038313	16.42188888888889	-9.51	-72.185	0.285	0.285000kg_unknown	unknown
3191.0307676767675	17.125020202020202	-9.51	-72.183	0.285	0.285000kg_unknown	unknown
3168.349112414467	17.828151515151514	-9.51	-72.181	0.285	0.285000kg_unknown	unknown
3146.618156718702	18.53128282828283	-9.51	-72.1792641567187	0.285	0.285000kg_unknown	unknown
3125.856453102453	19.234414141414142	-9.509	-72.178	0.285	0.285000kg_unknown	unknown
3106.0610707070705	19.937545454545454	-9.509	-72.177	0.285	0.285000kg_unknown	unknown
3087.1828008288007	20.64067676767677	-9.509	-72.176	0.285	0.285000kg_unknown	unknown
3069.2611199802905	21.34380808080808	-9.509	-72.175	0.285	0.285000kg_unknown	unknown
3052.2602049062048	22.046939393939393	-9.509	-72.175	0.285	0.285000kg_unknown	unknown
3036.1302065095397	22.75007070707071	-9.509	-72.174	0.285	0.285000kg_unknown	unknown
3020.8603399957015	23.45320202020202	-9.509	-72.173	0.285	0.285000kg_unknown	unknown
3006.407333333333	24.156333333333333	-9.509	-72.173	0.285	0.285000kg_unknown	unknown
2992.7225915761387	24.859464646464648	-9.509	-72.173	0.285	0.285000kg_unknown	unknown
2979.771929292929	25.56259595959596	-9.509	-72.172	0.285	0.285000kg_unknown	unknown
2967.5281140215716	26.265727272727272	-9.509	-72.172	0.285	0.285000kg_unknown	unknown
2955.943546256213	26.968858585858587	-9.509	-72.171	0.285	0.285000kg_unknown	unknown
2944.990516681971	27.6719898989899	-9.509	-72.171	0.285	0.285000kg_unknown	unknown
2934.6379826839825	28.37512121212121	-9.509	-72.171	0.285	0.285000kg_unknown	unknown
2924.850587496587	29.078252525252527	-9.509	-72.17	0.285	0.285000kg_unknown	unknown
2915.5926687386686	29.78138383838384	-9.509	-72.17	0.285	0.285000kg_unknown	unknown
2906.8538174516243	30.48451515151515	-9.509	-72.17	0.285	0.285000kg_unknown	unknown
2898.587948682224	31.187646464646466	-9.509	-72.17	0.285	0.285000kg_unknown	unknown
2890.786497013142	31.890777777777778	-9.509	-72.169	0.285	0.285000kg_unknown	unknown
2883.4357263544534	32.593909090909094	-9.509	-72.169	0.285	0.285000kg_unknown	unknown
2876.5074576534575	33.29704040404041	-9.509	-72.169	0.285	0.285000kg_unknown	unknown
2869.9953239538236	34.000171717171725	-9.509	-72.168	0.285	0.285000kg_unknown	unknown
2863.8683810991265	34.70330303030303	-9.509	-72.168	0.285	0.285000kg_unknown	unknown
2858.1045210838543	35.40643434343435	-9.509	-72.168	0.285	0.285000kg_unknown	unknown
2852.693062264435	36.109565656565664	-9.509	-72.168	0.285	0.285000kg_unknown	unknown
2847.6026128894578	36.81269696969697	-9.509	-72.168	0.285	0.285000kg_unknown	unknown
2842.828813928761	37.51582828282829	-9.509	-72.168	0.285	0.285000kg_unknown	unknown
2838.341977938898	38.2189595959596	-9.509	-72.168	0.285	0.285000kg_unknown	unknown
2834.1338213347344	38.92209090909091	-9.509	-72.168	0.285	0.285000kg_unknown	unknown
2830.173444444444	39.62522222222223	-9.509	-72.169	0.285	0.285000kg_unknown	unknown
2826.445432459308	40.32835353535354	-9.509	-72.169	0.285	0.285000kg_unknown	unknown
2822.934170638423	41.03148484848485	-9.509	-72.17	0.285	0.285000kg_unknown	unknown
2819.6057770295547	41.73461616161617	-9.509	-72.17074822297045	0.285	0.285000kg_unknown	unknown
2816.443612943595	42.43774747474748	-9.51	-72.1719103870564	0.285	0.285000kg_unknown	unknown
2813.4304608106377	43.14087878787879	-9.51	-72.17292353918937	0.285	0.285000kg_unknown	unknown
2810.547507657217	43.844010101010106	-9.51	-72.174	0.285	0.285000kg_unknown	unknown
2807.7697921628737	44.54714141414142	-9.51	-72.17558420783713	0.285	0.285000kg_unknown	unknown
2805.083315628192	45.25027272727273	-9.51	-72.1772706843718	0.285	0.285000kg_unknown	unknown
2802.4701616161615	45.953404040404045	-9.51	-72.179	0.285	0.285000kg_unknown	unknown
2799.9132253469947	46.65653535353536	-9.51	-72.181440774653	0.285	0.285000kg_unknown	unknown
2797.3978908659547	47.35966666666667	-9.510956109134044	-72.18395610913404	0.285	0.285000kg_unknown	unknown
2794.9075282401477	48.062797979797985	-9.511	-72.18644647175985	0.285	0.285000kg_unknown	unknown
2792.431713757291	48.7659292929293	-9.511	-72.1889222862427	0.285	0.285000kg_unknown	unknown
2789.950958989185	49.46906060606061	-9.511	-72.1924030410108	0.285	0.285000kg_unknown	unknown
2787.4533145743144	50.172191919191924	-9.511900685425685	-72.19580137085137	0.285	0.285000kg_unknown	unknown
2784.9237337006425	50.87532323232324	-9.512	-72.19943026629936	0.285	0.285000kg_unknown	unknown
