Time [s]	Altitude [km]	Latitude [deg]	Longitude [deg]	Mass [kg]	Group	Material
2782.3373163091587	51.57845454545455	-9.512	-72.20303336738168	0.285	0.285000kg_unknown	unknown
2779.6748236208236	52.28158585858586	-9.512679176379176	-72.20767917637917	0.285	0.285000kg_unknown	unknown
2776.903527533398	52.98471717171718	-9.513	-72.21290094493321	0.285	0.285000kg_unknown	unknown
2773.9937878787878	53.68784848484849	-9.513	-72.218	0.285	0.285000kg_unknown	unknown
2770.9708666754123	54.3909797979798	-9.514	-72.22455826664917	0.285	0.285000kg_unknown	unknown
2767.9117933723196	55.09411111111112	-9.514	-72.23167641325536	0.285	0.285000kg_unknown	unknown
2764.7978114478115	55.79724242424243	-9.515	-72.23985656565657	0.285	0.285000kg_unknown	unknown
2761.6100288600287	56.50037373737374	-9.516	-72.24941991341991	0.285	0.285000kg_unknown	unknown
2758.3305447843363	57.20350505050506	-9.517	-72.26025836564699	0.285	0.285000kg_unknown	unknown
2754.942017738359	57.906636363636366	-9.517807982261642	-72.27323192904656	0.285	0.285000kg_unknown	unknown
2751.4109913568677	58.60976767676768	-9.519	-72.28769504321566	0.285	0.285000kg_unknown	unknown
2747.712505489679	59.312898989899	-9.520037494510321	-72.3061874725516	0.285	0.285000kg_unknown	unknown
2743.8066460055097	60.016030303030306	-9.52194335399449	-72.32766012396695	0.285	0.285000kg_unknown	unknown
2739.650236937274	60.71916161616162	-9.524	-72.35479810450181	0.285	0.285000kg_unknown	unknown
2735.188862307283	61.42229292929294	-9.526561137692717	-72.39048910154173	0.285	0.285000kg_unknown	unknown
2730.3878574477167	62.125424242424245	-9.530362142552283	-72.4373457106274	0.285	0.285000kg_unknown	unknown
2725.2900326797385	62.82855555555556	-9.534919934640524	-72.50289950980392	0.285	0.285000kg_unknown	unknown
2720.17474036136	63.531686868686876	-9.54157525963864	-72.59465571205007	0.29360207710911973	0.285000kg_unknown	unknown
2715.5376940133037	64.23481818181818	-9.550424611973392	-72.71779379157428	0.4203137472283811	0.285000kg_unknown	unknown
2711.396002886003	64.93794949494949	-9.561061991341992	-72.86751388167387	0.7913736219336174	0.285000kg_unknown	unknown
2707.4311128040176	65.64108080808082	-9.573956661587946	-73.03966881101519	1.4384585520004551	0.285000kg_unknown	unknown
2703.4556774642983	66.34421212121212	-9.587177290142808	-73.23101044932079	2.325286311389757	0.285000kg_unknown	unknown
2699.3670033670032	67.04734343434345	-9.601531986531986	-73.44129882154883	3.408622053872072	0.285000kg_unknown	unknown
2695.1050941513904	67.75047474747475	-9.617579623394438	-73.67046982167352	4.55099700710812	0.285000kg_unknown	unknown
2690.647999603882	68.45360606060606	-9.634408001584472	-73.91781402257874	4.6	0.285000kg_unknown	unknown
2685.9882609882607	69.15673737373739	-9.653046956046957	-74.18518086268087	4.6	0.285000kg_unknown	unknown
2681.160634118967	69.8598686868687	-9.67135746352413	-74.47136195286195	4.6	0.285000kg_unknown	unknown
2676.2	70.563	-9.692	-74.775	4.6	0.285000kg_unknown	unknown
2728.126	63.326	-9.468	-71.597	0.033	0.033000kg_unknown	unknown
2726.9866867432083	63.48034343434343	-9.471639939770375	-71.642239036326	0.30423000188217353	0.033000kg_unknown	unknown
2726.035197210197	63.63468686868687	-9.474659211159212	-71.68840494227994	0.8062530663780759	0.033000kg_unknown	unknown
2725.117468805704	63.7890303030303	-9.478330124777184	-71.73545668449198	1.4289616755793222	0.033000kg_unknown	unknown
2724.2095662507427	63.94337373737374	-9.481961734997029	-71.78448342245989	2.132586155674402	0.033000kg_unknown	unknown
2723.3121094667604	64.09771717171718	-9.485551562132958	-71.83294608879493	2.892043281653761	0.033000kg_unknown	unknown
2722.414763918252	64.25206060606061	-9.48914094432699	-71.88297322057787	3.6937124735729476	0.033000kg_unknown	unknown
2721.5134266643036	64.40640404040404	-9.49343286667848	-71.93344810679898	4.5316923622187035	0.033000kg_unknown	unknown
2720.6108334810087	64.56074747474747	-9.497356666075964	-71.98517165810148	5.397491523421349	0.033000kg_unknown	unknown
2719.7053475935827	64.7150909090909	-9.500978609625669	-72.03719518716578	6.2871898395721555	0.033000kg_unknown	unknown
2718.7950630566015	64.86943434343435	-9.505024684716993	-72.08948634271711	7.198391249775897	0.033000kg_unknown	unknown
2717.8817882971725	65.02377777777778	-9.509272846811308	-72.14277449046679	8.126166995397796	0.033000kg_unknown	unknown
2716.9657412447827	65.17812121212121	-9.512937035020867	-72.1968212665578	9.067692070404668	0.033000kg_unknown	unknown
2716.041529063086	65.33246464646464	-9.51679235468457	-72.25134978527794	10.026443658138266	0.033000kg_unknown	unknown
2715.116314661769	65.48680808080807	-9.521334741352923	-72.30602112029385	10.992785919804065	0.033000kg_unknown	unknown
2714.180783444198	65.64115151515152	-9.525076866223207	-72.36213377679232	11.974254249815226	0.033000kg_unknown	unknown
2713.239664942104	65.79549494949495	-9.528841340231583	-72.41765976841586	12.96619315102239	0.033000kg_unknown	unknown
2712.2985464400094	65.94983838383838	-9.533507267799951	-72.47408721359942	13.959033505789629	0.033000kg_unknown	unknown
2711.347025813692	66.10418181818181	-9.53741189674523	-72.53203142536475	14.964593714927029	0.033000kg_unknown	unknown
2710.389284145806	66.25852525252525	-9.541242863416777	-72.58964295125165	15.976115942028931	0.033000kg_unknown	unknown
2709.4209516549136	66.41286868686869	-9.54589524172543	-72.64852194905026	16.99789600406588	0.033000kg_unknown	unknown
2708.45023823137	66.56721212121212	-9.54999904707452	-72.70773546788641	18.02049914236709	0.033000kg_unknown	unknown
2707.474964838256	66.72155555555555	-9.55462517580872	-72.76722714486638	19.046011954992956	0.033000kg_unknown	unknown
2706.4936370070127	66.87589898989899	-9.558825451971948	-72.82708814257222	20.07385569066459	0.033000kg_unknown	unknown
2705.501661779081	67.03024242424242	-9.562793352883675	-72.88759863147605	21.10936676441834	0.033000kg_unknown	unknown
2704.5058976865425	67.18458585858586	-9.567470511567286	-72.94834024112089	22.145172303682013	0.033000kg_unknown	unknown
2703.501115732488	67.3389292929293	-9.571795537070047	-73.01033082458572	23.184947448339585	0.033000kg_unknown	unknown
2702.487679425837	67.49327272727272	-9.57584928229665	-73.07245155502392	24.22826555023918	0.033000kg_unknown	unknown
2701.4722620946304	67.64761616161616	-9.580638689526848	-73.13511975013292	25.2677481392876	0.033000kg_unknown	unknown
2700.446936026936	67.8019595959596	-9.585012255892256	-73.19868996632997	26.311866060606114	0.033000kg_unknown	unknown
2699.412731340248	67.95630303030303	-9.589149074639007	-73.26281065690462	27.358141346349424	0.033000kg_unknown	unknown
2698.3768693647885	68.11064646464646	-9.594115653176056	-73.32703409938308	28.399423157752018	0.033000kg_unknown	unknown
2697.3293204150345	68.2649898989899	-9.598482718339861	-73.39198213426785	29.445067546210346	0.033000kg_unknown	unknown
2696.2730593607307	68.41933333333333	-9.602707762557078	-73.4574703196347	30.492598173515894	0.033000kg_unknown	unknown
2695.215912550159	68.57367676767677	-9.607920437249206	-73.52301342189014	31.532357963193654	0.033000kg_unknown	unknown
2694.1443041526372	68.7280202020202	-9.61222278338945	-73.59045314253648	32.57896927609429	0.033000kg_unknown	unknown
2693.0706786171572	68.88236363636364	-9.616646606914212	-73.65701792573624	33.618536491677304	0.033000kg_unknown	unknown
2691.9837530231894	69.03670707070707	-9.62186498790724	-73.72462355953905	34.66351586285387	0.033000kg_unknown	unknown
2690.892496392496	69.1910505050505	-9.626230014430014	-73.79306522366522	35.70320591630589	0.033000kg_unknown	unknown
2689.790043290043	69.34539393939394	-9.630639826839827	-73.86182727272728	36.74435930735936	0.033000kg_unknown	unknown
2688.683903786062	69.49973737373737	-9.63558048106969	-73.9315140614781	37.78051776760414	0.033000kg_unknown	unknown
2687.568979651588	69.6540808080808	-9.640524081393647	-74.00112326160152	38.24966856975553	0.033000kg_unknown	unknown
2686.445078522451	69.80842424242424	-9.645019685910198	-74.0715600530856	38.26	0.033000kg_unknown	unknown
2685.3120023767083	69.96276767676767	-9.649551990493167	-74.14294385026739	38.26	0.033000kg_unknown	unknown
2684.169320066335	70.11711111111111	-9.65512271973466	-74.21493283582089	38.26	0.033000kg_unknown	unknown
2683.01750339213	70.27145454545455	-9.65972998643148	-74.28749728629579	38.26	0.033000kg_unknown	unknown
2681.8606213651665	70.42579797979798	-9.664357514539333	-74.36038085399449	38.26	0.033000kg_unknown	unknown
2680.691352923171	70.58014141414141	-9.669034588307316	-74.43404476584021	38.26	0.033000kg_unknown	unknown
2679.5169095535507	70.73448484848484	-9.674415452232246	-74.50803469812631	38.26	0.033000kg_unknown	unknown
2678.33209013209	70.88882828282829	-9.67947163947164	-74.58267832167832	38.26	0.033000kg_unknown	unknown
2677.1439709595957	71.04317171717172	-9.684224116161616	-74.65852982954546	38.26	0.033000kg_unknown	unknown
2675.938162878788	71.19751515151515	-9.689047348484848	-74.73449573863637	38.26	0.033000kg_unknown	unknown
2674.7286725522945	71.35185858585858	-9.693885309790822	-74.81116495665314	38.26	0.033000kg_unknown	unknown
2673.513369919669	71.50620202020201	-9.698746520321322	-74.88825769506084	38.26	0.033000kg_unknown	unknown
2672.283636363636	71.66054545454546	-9.703665454545455	-74.96573090909091	38.26	0.033000kg_unknown	unknown
2671.047670250896	71.81488888888889	-9.709609318996415	-75.04459677419354	38.26	0.033000kg_unknown	unknown
2669.7997372094933	71.96923232323232	-9.714601051162026	-75.12361681859242	38.26	0.033000kg_unknown	unknown
2668.544912540034	72.12357575757575	-9.719620349839863	-75.20392559743779	38.26	0.033000kg_unknown	unknown
2667.2826295744326	72.27791919191918	-9.724669481702268	-75.28379433681073	38.26	0.033000kg_unknown	unknown
2666.0061447811445	72.43226262626263	-9.72977542087542	-75.36540673400673	38.26	0.033000kg_unknown	unknown
2664.719949494949	72.58660606060606	-9.734920202020202	-75.44724318181818	38.26	0.033000kg_unknown	unknown
2663.4273151684915	72.74094949494949	-9.740090739326034	-75.52945182921653	38.26	0.033000kg_unknown	unknown
2662.1291202624534	72.89529292929292	-9.745283518950185	-75.61253630320297	38.26	0.033000kg_unknown	unknown
2660.813251155624	73.04963636363635	-9.750546995377503	-75.69675192604005	38.26	0.033000kg_unknown	unknown
2659.493277603622	73.2039797979798	-9.75582688958551	-75.78123023336816	38.26	0.033000kg_unknown	unknown
2658.16240667545	73.35832323232323	-9.761150373298198	-75.86640597277119	38.26	0.033000kg_unknown	unknown
2656.820289855072	73.51266666666666	-9.76651884057971	-75.95230144927537	38.26	0.033000kg_unknown	unknown
2655.4718412192096	73.66701010101009	-9.771184476342372	-76.03860216197057	38.26	0.033000kg_unknown	unknown
2654.1083757933316	73.82135353535354	-9.776366496826673	-76.12586394922678	38.26	0.033000kg_unknown	unknown
2652.73841991342	73.97569696969697	-9.78184632034632	-76.21354112554113	38.26	0.033000kg_unknown	unknown
2651.3527891527892	74.1300404040404	-9.787388843388843	-76.30222149422148	38.26	0.033000kg_unknown	unknown
2649.962307762308	74.28438383838383	-9.792950768950769	-76.3922123032123	38.26	0.033000kg_unknown	unknown
2648.5603002502085	74.43872727272726	-9.797919099249373	-76.48194078398664	38.26	0.033000kg_unknown	unknown
2647.1530490086043	74.59307070707071	-9.803187803965583	-76.57205181444071	38.26	0.033000kg_unknown	unknown
2645.728310629228	74.74741414141414	-9.808886757483087	-76.6641881197294	38.26	0.033000kg_unknown	unknown
2644.295723591051	74.90175757575757	-9.814617105635797	-76.75587369017275	38.26	0.033000kg_unknown	unknown
2642.853261587841	75.056101010101	-9.819386953648635	-76.84919125837817	38.26	0.033000kg_unknown	unknown
2641.4033542976936	75.21044444444445	-9.825186582809225	-76.9427819706499	38.26	0.033000kg_unknown	unknown
2639.9353535353534	75.36478787878788	-9.83079393939394	-77.03720202020202	38.26	0.033000kg_unknown	unknown
2638.4583527583527	75.51913131313131	-9.835966588966588	-77.13246542346542	38.26	0.033000kg_unknown	unknown
2636.974281274281	75.67347474747474	-9.841677156177155	-77.22844599844599	38.26	0.033000kg_unknown	unknown
2635.4833186231244	75.82781818181817	-9.846866725507502	-77.32458428949691	38.26	0.033000kg_unknown	unknown
2633.9729253317487	75.98216161616162	-9.852681224004753	-77.42253277876807	38.26	0.033000kg_unknown	unknown
2632.452425242524	76.13650505050505	-9.857990299029902	-77.52059235923592	38.26	0.033000kg_unknown	unknown
2630.9242724272426	76.29084848484848	-9.863102910291028	-77.61964656465646	38.26	0.033000kg_unknown	unknown
2629.3880808080808	76.44519191919191	-9.869247676767676	-77.71877474747474	38.26	0.033000kg_unknown	unknown
2627.841057034996	76.59953535353534	-9.874435771860014	-77.81933129272524	38.26	0.033000kg_unknown	unknown
2626.272665429808	76.75387878787879	-9.879782003710575	-77.92034941249227	38.26	0.033000kg_unknown	unknown
2624.7028636884306	76.90822222222222	-9.885491408934708	-78.02231386025201	38.26	0.033000kg_unknown	unknown
2623.12200354056	77.06256565656565	-9.89123398937832	-78.12506976986359	38.26	0.033000kg_unknown	unknown
2621.523863636364	77.21690909090908	-9.896704545454545	-78.22894886363636	38.26	0.033000kg_unknown	unknown
2619.916119528619	77.37125252525252	-9.902135521885521	-78.33245223063972	38.26	0.033000kg_unknown	unknown
2618.2989898989895	77.52559595959596	-9.90770303030303	-78.43756565656567	38.26	0.033000kg_unknown	unknown
2616.6687298517086	77.67993939393939	-9.913593810444874	-78.54353255963895	38.26	0.033000kg_unknown	unknown
2615.026778422523	77.83428282828282	-9.918692886309907	-78.650259402536	38.26	0.033000kg_unknown	unknown
2613.3760616921904	77.98862626262625	-9.924471814923429	-78.7575559900076	38.26	0.033000kg_unknown	unknown
2611.7111989459813	78.14296969696969	-9.930466403162056	-78.86577206851119	38.26	0.033000kg_unknown	unknown
2610.033552920509	78.29731313131313	-9.935665788317962	-78.9748190601669	38.26	0.033000kg_unknown	unknown
2608.346631146631	78.45165656565656	-9.941560106560107	-79.08532234432234	38.26	0.033000kg_unknown	unknown
2606.65	78.606	-9.947	-79.196	38.26	0.033000kg_unknown	unknown
3977.869	0.468	-9.455	-71.48	0.059	0.059000kg_unknown	unknown
3918.866474747475	1.176030303030303	-9.455	-71.479	0.059	0.059000kg_unknown	unknown
3862.8643379953382	1.884060606060606	-9.454	-71.479	0.059	0.059000kg_unknown	unknown
3809.477391608392	2.592090909090909	-9.454	-71.47760839160838	0.059	0.059000kg_unknown	unknown
3758.6460562770562	3.300121212121212	-9.454	-71.476	0.059	0.059000kg_unknown	unknown
3710.1922323232325	4.008151515151515	-9.454	-71.474	0.059	0.059000kg_unknown	unknown
3663.9826363636366	4.716181818181818	-9.454	-71.47211363636363	0.059	0.059000kg_unknown	unknown
3619.9807424242426	5.424212121212121	-9.454	-71.47	0.059	0.059000kg_unknown	unknown
3578.148857397505	6.132242424242424	-9.454	-71.468	0.059	0.059000kg_unknown	unknown
3538.3538484848486	6.840272727272727	-9.454	-71.465	0.059	0.059000kg_unknown	unknown
3500.484629984051	7.54830303030303	-9.454	-71.462	0.059	0.059000kg_unknown	unknown
3464.4023333333334	8.256333333333334	-9.454	-71.459	0.059	0.059000kg_unknown	unknown
3429.994541125541	8.964363636363636	-9.454	-71.45512554112554	0.059	0.059000kg_unknown	unknown
3397.169275482094	9.672393939393938	-9.454	-71.452	0.059	0.059000kg_unknown	unknown
3365.8070764163376	10.380424242424242	-9.454	-71.448	0.059	0.059000kg_unknown	unknown
3335.7250606060607	11.088454545454546	-9.453	-71.445	0.059	0.059000kg_unknown	unknown
3307.049606060606	11.796484848484848	-9.453	-71.44118060606061	0.059	0.059000kg_unknown	unknown
3279.7722634032634	12.50451515151515	-9.453	-71.438	0.059	0.059000kg_unknown	unknown
3253.742376623377	13.212545454545454	-9.453	-71.435	0.059	0.059000kg_unknown	unknown
3228.9181118077327	13.920575757575758	-9.453	-71.432	0.059	0.059000kg_unknown	unknown
3205.2042883675467	14.62860606060606	-9.453	-71.429	0.059	0.059000kg_unknown	unknown
3182.5366136363637	15.336636363636362	-9.453	-71.426	0.059	0.059000kg_unknown	unknown
3160.8791010101013	16.044666666666668	-9.453	-71.424	0.059	0.059000kg_unknown	unknown
3140.1633722943725	16.75269696969697	-9.453	-71.422	0.059	0.059000kg_unknown	unknown
3120.3487979797983	17.460727272727272	-9.453	-71.42	0.059	0.059000kg_unknown	unknown
3101.4280111642747	18.168757575757574	-9.453	-71.419	0.059	0.059000kg_unknown	unknown
3083.374303030303	18.876787878787876	-9.453	-71.418	0.059	0.059000kg_unknown	unknown
3066.1590432900434	19.584818181818182	-9.452	-71.417	0.059	0.059000kg_unknown	unknown
3049.7834781144784	20.292848484848484	-9.452	-71.416	0.059	0.059000kg_unknown	unknown
3034.2545577047067	21.000878787878786	-9.452	-71.415	0.059	0.059000kg_unknown	unknown
3019.5239165120597	21.708909090909092	-9.452	-71.414	0.059	0.059000kg_unknown	unknown
3005.562473193473	22.416939393939394	-9.452	-71.414	0.059	0.059000kg_unknown	unknown
2992.3604600550966	23.124969696969696	-9.452	-71.413	0.059	0.059000kg_unknown	unknown
2979.869	23.833	-9.452	-71.413	0.059	0.059000kg_unknown	unknown
2968.065224540487	24.5410303030303	-9.452	-71.413	0.059	0.059000kg_unknown	unknown
2956.9142214452218	25.249060606060606	-9.452	-71.412	0.059	0.059000kg_unknown	unknown
2946.3677012987014	25.95709090909091	-9.452	-71.412	0.059	0.059000kg_unknown	unknown
2936.407902538903	26.66512121212121	-9.452	-71.412	0.059	0.059000kg_unknown	unknown
2926.99690240063	27.373151515151516	-9.452	-71.411	0.059	0.059000kg_unknown	unknown
2918.1228802660758	28.08118181818182	-9.452	-71.411	0.059	0.059000kg_unknown	unknown
2909.740125043539	28.78921212121212	-9.452	-71.411	0.059	0.059000kg_unknown	unknown
2901.823382535028	29.497242424242422	-9.452	-71.411	0.059	0.059000kg_unknown	unknown
2894.3662170686457	30.205272727272725	-9.452	-71.41	0.059	0.059000kg_unknown	unknown
2887.3276247086246	30.91330303030303	-9.452	-71.41	0.059	0.059000kg_unknown	unknown
2880.7023333333336	31.621333333333332	-9.452	-71.41	0.059	0.059000kg_unknown	unknown
2874.47272960373	32.32936363636364	-9.452	-71.41	0.059	0.059000kg_unknown	unknown
2868.6258484848486	33.037393939393944	-9.452	-71.41	0.059	0.059000kg_unknown	unknown
2863.1440056960582	33.74542424242424	-9.452	-71.409	0.059	0.059000kg_unknown	unknown
2858.007620245003	34.45345454545455	-9.452	-71.409	0.059	0.059000kg_unknown	unknown
2853.201336523126	35.161484848484854	-9.452	-71.41	0.059	0.059000kg_unknown	unknown
2848.6940604201527	35.86951515151515	-9.452	-71.41	0.059	0.059000kg_unknown	unknown
2844.4727834997375	36.57754545454546	-9.452	-71.41	0.059	0.059000kg_unknown	unknown
2840.512610013175	37.28557575757576	-9.452	-71.411	0.059	0.059000kg_unknown	unknown
2836.7897814182434	37.99360606060606	-9.452	-71.411	0.059	0.059000kg_unknown	unknown
2833.2813847167326	38.70163636363637	-9.453	-71.412	0.059	0.059000kg_unknown	unknown
2829.962272171254	39.409666666666666	-9.453	-71.413	0.059	0.059000kg_unknown	unknown
2826.814271682341	40.11769696969697	-9.453	-71.414	0.059	0.059000kg_unknown	unknown
2823.8125091657316	40.82572727272728	-9.453	-71.41505649083427	0.059	0.059000kg_unknown	unknown
2820.9382466837046	41.533757575757576	-9.453	-71.4169307533163	0.059	0.059000kg_unknown	unknown
2818.169815850816	42.24178787878788	-9.453	-71.41869918414919	0.059	0.059000kg_unknown	unknown
2815.485350067843	42.94981818181819	-9.453	-71.42038364993216	0.059	0.059000kg_unknown	unknown
2812.873218004218	43.657848484848486	-9.453	-71.42299578199578	0.059	0.059000kg_unknown	unknown
2810.3118820579903	44.36587878787879	-9.454	-71.425557117942	0.059	0.059000kg_unknown	unknown
2807.787762088975	45.07390909090909	-9.454	-71.42808123791102	0.059	0.059000kg_unknown	unknown
2805.282641717529	45.781939393939396	-9.454	-71.43058635828247	0.059	0.059000kg_unknown	unknown
2802.780454975285	46.4899696969697	-9.454	-71.43408854502471	0.059	0.059000kg_unknown	unknown
2800.265428571429	47.198	-9.455	-71.43720714285715	0.059	0.059000kg_unknown	unknown
2797.719798898072	47.906030303030306	-9.455	-71.44114920110194	0.059	0.059000kg_unknown	unknown
2795.1206273849607	48.614060606060605	-9.455	-71.44474837261504	0.059	0.059000kg_unknown	unknown
2792.4455734265734	49.32209090909091	-9.456	-71.44942342657343	0.059	0.059000kg_unknown	unknown
2789.672515151515	50.030121212121216	-9.456	-71.454	0.059	0.059000kg_unknown	unknown
2786.7563939393935	50.738151515151515	-9.457	-71.46	0.059	0.059000kg_unknown	unknown
2783.72323888233	51.44618181818182	-9.457	-71.46608028335301	0.059	0.059000kg_unknown	unknown
2780.6438064859117	52.154212121212126	-9.458	-71.47331858054227	0.059	0.059000kg_unknown	unknown
2777.511244734339	52.862242424242424	-9.458238755265661	-71.48171626579698	0.059	0.059000kg_unknown	unknown
2774.3017385839967	53.57027272727273	-9.459	-71.491344784248	0.059	0.059000kg_unknown	unknown
2770.9997486715497	54.278303030303036	-9.46	-71.5030010053138	0.059	0.059000kg_unknown	unknown
