Altitude (km)	Objet	Matériau	Mass (kg)
89.348	ASCATEPC1	drama-AA7075	0.094000
89.338	ASCATEPC1	drama-AA7075	0.094000
89.295	ASCATEPC1	drama-AA7075	0.094000
89.200	ASCATEPC1	drama-AA7075	0.094000
89.105	ASCATEPC1	drama-AA7075	0.094000
89.009	ASCATEPC1	drama-AA7075	0.094000
88.913	ASCATEPC1	drama-AA7075	0.094000
88.816	ASCATEPC1	drama-AA7075	0.094000
88.720	ASCATEPC1	drama-AA7075	0.094000
88.622	ASCATEPC1	drama-AA7075	0.094000
88.525	ASCATEPC1	drama-AA7075	0.094000
88.427	ASCATEPC1	drama-AA7075	0.094000
88.329	ASCATEPC1	drama-AA7075	0.094000
88.230	ASCATEPC1	drama-AA7075	0.094000
88.131	ASCATEPC1	drama-AA7075	0.094000
88.031	ASCATEPC1	drama-AA7075	0.094000
87.931	ASCATEPC1	drama-AA7075	0.094000
87.831	ASCATEPC1	drama-AA7075	0.094000
87.730	ASCATEPC1	drama-AA7075	0.094000
87.628	ASCATEPC1	drama-AA7075	0.094000
87.526	ASCATEPC1	drama-AA7075	0.094000
87.424	ASCATEPC1	drama-AA7075	0.094000
87.321	ASCATEPC1	drama-AA7075	0.094000
87.217	ASCATEPC1	drama-AA7075	0.094000
87.113	ASCATEPC1	drama-AA7075	0.094000
87.009	ASCATEPC1	drama-AA7075	0.094000
86.904	ASCATEPC1	drama-AA7075	0.094000
86.798	ASCATEPC1	drama-AA7075	0.094000
86.692	ASCATEPC1	drama-AA7075	0.094000
86.585	ASCATEPC1	drama-AA7075	0.094000
86.478	ASCATEPC1	drama-AA7075	0.094000
86.370	ASCATEPC1	drama-AA7075	0.094000
86.261	ASCATEPC1	drama-AA7075	0.094000
86.151	ASCATEPC1	drama-AA7075	0.094000
86.041	ASCATEPC1	drama-AA7075	0.091000
85.931	ASCATEPC1	drama-AA7075	0.085000
85.819	ASCATEPC1	drama-AA7075	0.080000
85.707	ASCATEPC1	drama-AA7075	0.074000
85.594	ASCATEPC1	drama-AA7075	0.068000
85.481	ASCATEPC1	drama-AA7075	0.063000
85.367	ASCATEPC1	drama-AA7075	0.057000
85.252	ASCATEPC1	drama-AA7075	0.051000
85.136	ASCATEPC1	drama-AA7075	0.045000
85.019	ASCATEPC1	drama-AA7075	0.038000
84.902	ASCATEPC1	drama-AA7075	0.032000
84.784	ASCATEPC1	drama-AA7075	0.026000
84.665	ASCATEPC1	drama-AA7075	0.019000
84.546	ASCATEPC1	drama-AA7075	0.013000
84.426	ASCATEPC1	drama-AA7075	0.006000
84.304	ASCATEPC1	drama-AA7075	0.000000
124.980	SVM	drama-HC-AA7075	2.810000
124.980	SVM	drama-HC-AA7075	2.810000
124.979	SVM	drama-HC-AA7075	2.810000
124.978	SVM	drama-HC-AA7075	2.810000
124.976	SVM	drama-HC-AA7075	2.810000
124.975	SVM	drama-HC-AA7075	2.810000
124.973	SVM	drama-HC-AA7075	2.810000
124.972	SVM	drama-HC-AA7075	2.810000
124.970	SVM	drama-HC-AA7075	2.810000
124.969	SVM	drama-HC-AA7075	2.810000
124.967	SVM	drama-HC-AA7075	2.810000
124.966	SVM	drama-HC-AA7075	2.810000
124.964	SVM	drama-HC-AA7075	2.810000
124.963	SVM	drama-HC-AA7075	2.810000
124.961	SVM	drama-HC-AA7075	2.810000
124.960	SVM	drama-HC-AA7075	2.810000
124.958	SVM	drama-HC-AA7075	2.810000
124.957	SVM	drama-HC-AA7075	2.810000
124.955	SVM	drama-HC-AA7075	2.810000
124.954	SVM	drama-HC-AA7075	2.810000
124.952	SVM	drama-HC-AA7075	2.810000
124.951	SVM	drama-HC-AA7075	2.810000
124.949	SVM	drama-HC-AA7075	2.810000
124.948	SVM	drama-HC-AA7075	2.810000
124.946	SVM	drama-HC-AA7075	2.810000
124.945	SVM	drama-HC-AA7075	2.810000
124.943	SVM	drama-HC-AA7075	2.810000
124.942	SVM	drama-HC-AA7075	2.810000
124.940	SVM	drama-HC-AA7075	2.810000
124.939	SVM	drama-HC-AA7075	2.810000
124.937	SVM	drama-HC-AA7075	2.810000
124.936	SVM	drama-HC-AA7075	2.810000
124.934	SVM	drama-HC-AA7075	2.810000
124.933	SVM	drama-HC-AA7075	2.810000
124.931	SVM	drama-HC-AA7075	2.810000
124.930	SVM	drama-HC-AA7075	2.810000
124.928	SVM	drama-HC-AA7075	2.810000
124.927	SVM	drama-HC-AA7075	2.810000
124.925	SVM	drama-HC-AA7075	2.810000
124.924	SVM	drama-HC-AA7075	2.810000
124.922	SVM	drama-HC-AA7075	2.810000
124.921	SVM	drama-HC-AA7075	2.810000
124.919	SVM	drama-HC-AA7075	2.810000
124.917	SVM	drama-HC-AA7075	2.810000
124.916	SVM	drama-HC-AA7075	2.810000
124.914	SVM	drama-HC-AA7075	2.810000
124.913	SVM	drama-HC-AA7075	2.810000
124.911	SVM	drama-HC-AA7075	2.810000
124.910	SVM	drama-HC-AA7075	2.810000
124.908	SVM	drama-HC-AA7075	2.810000
124.906	SVM	drama-HC-AA7075	2.810000
124.905	SVM	drama-HC-AA7075	2.810000
124.903	SVM	drama-HC-AA7075	2.810000
124.902	SVM	drama-HC-AA7075	2.810000
124.900	SVM	drama-HC-AA7075	2.810000
124.899	SVM	drama-HC-AA7075	2.810000
124.897	SVM	drama-HC-AA7075	2.810000
124.895	SVM	drama-HC-AA7075	2.810000
124.894	SVM	drama-HC-AA7075	2.810000
124.892	SVM	drama-HC-AA7075	2.810000
124.891	SVM	drama-HC-AA7075	2.810000
124.889	SVM	drama-HC-AA7075	2.810000
124.887	SVM	drama-HC-AA7075	2.810000
124.886	SVM	drama-HC-AA7075	2.810000
124.884	SVM	drama-HC-AA7075	2.810000
124.883	SVM	drama-HC-AA7075	2.810000
124.881	SVM	drama-HC-AA7075	2.810000
124.879	SVM	drama-HC-AA7075	2.810000
124.878	SVM	drama-HC-AA7075	2.810000
124.876	SVM	drama-HC-AA7075	2.810000
124.874	SVM	drama-HC-AA7075	2.810000
124.873	SVM	drama-HC-AA7075	2.810000
124.871	SVM	drama-HC-AA7075	2.810000
124.869	SVM	drama-HC-AA7075	2.810000
124.868	SVM	drama-HC-AA7075	2.810000
124.866	SVM	drama-HC-AA7075	2.810000
124.864	SVM	drama-HC-AA7075	2.810000
124.863	SVM	drama-HC-AA7075	2.810000
124.861	SVM	drama-HC-AA7075	2.810000
124.859	SVM	drama-HC-AA7075	2.810000
124.858	SVM	drama-HC-AA7075	2.810000
124.856	SVM	drama-HC-AA7075	2.810000
124.854	SVM	drama-HC-AA7075	2.810000
124.853	SVM	drama-HC-AA7075	2.810000
124.851	SVM	drama-HC-AA7075	2.810000
124.849	SVM	drama-HC-AA7075	2.810000
124.847	SVM	drama-HC-AA7075	2.810000
124.846	SVM	drama-HC-AA7075	2.810000
124.844	SVM	drama-HC-AA7075	2.810000
124.842	SVM	drama-HC-AA7075	2.810000
124.840	SVM	drama-HC-AA7075	2.810000
124.839	SVM	drama-HC-AA7075	2.810000
124.837	SVM	drama-HC-AA7075	2.810000
124.835	SVM	drama-HC-AA7075	2.810000
124.833	SVM	drama-HC-AA7075	2.810000
124.832	SVM	drama-HC-AA7075	2.810000
124.830	SVM	drama-HC-AA7075	2.810000
124.828	SVM	drama-HC-AA7075	2.810000
124.826	SVM	drama-HC-AA7075	2.810000
124.825	SVM	drama-HC-AA7075	2.810000
124.823	SVM	drama-HC-AA7075	2.810000
124.821	SVM	drama-HC-AA7075	2.810000
124.819	SVM	drama-HC-AA7075	2.810000
124.817	SVM	drama-HC-AA7075	2.810000
124.816	SVM	drama-HC-AA7075	2.810000
124.814	SVM	drama-HC-AA7075	2.810000
124.812	SVM	drama-HC-AA7075	2.810000
124.810	SVM	drama-HC-AA7075	2.810000
124.808	SVM	drama-HC-AA7075	2.810000
124.806	SVM	drama-HC-AA7075	2.810000
124.805	SVM	drama-HC-AA7075	2.810000
124.803	SVM	drama-HC-AA7075	2.810000
124.801	SVM	drama-HC-AA7075	2.810000
124.799	SVM	drama-HC-AA7075	2.810000
124.797	SVM	drama-HC-AA7075	2.810000
124.795	SVM	drama-HC-AA7075	2.810000
124.793	SVM	drama-HC-AA7075	2.810000
124.791	SVM	drama-HC-AA7075	2.810000
124.790	SVM	drama-HC-AA7075	2.810000
124.788	SVM	drama-HC-AA7075	2.810000
124.786	SVM	drama-HC-AA7075	2.810000
124.784	SVM	drama-HC-AA7075	2.810000
124.782	SVM	drama-HC-AA7075	2.810000
124.780	SVM	drama-HC-AA7075	2.810000
