Time [s],ORSAT Altitude [km],SCARAB Altitude [km],Present Altitude [km]
0.0,120.0,120.0,120.0
19.09547738693467,119.80904522613065,119.76130653266331,119.61809045226131
38.19095477386934,119.61809045226131,119.52261306532664,119.23618090452261
57.28643216080401,119.42713567839196,119.28391959798995,118.85427135678393
76.38190954773869,119.23618090452261,119.04522613065326,118.47236180904522
95.47738693467336,119.04522613065326,118.80653266331659,118.09045226130654
114.57286432160802,118.85427135678393,118.5678391959799,117.70854271356784
133.6683417085427,118.66331658291458,118.32914572864321,117.32663316582915
152.76381909547737,118.47236180904522,118.09045226130654,116.94472361809045
171.85929648241205,118.28140703517587,117.85175879396985,116.56281407035176
190.95477386934672,118.09045226130654,117.61306532663316,116.18090452261306
210.0502512562814,117.89949748743719,117.37437185929649,115.79899497487438
229.14572864321605,117.70854271356784,117.1356783919598,115.41708542713567
248.24120603015072,117.51758793969849,116.89698492462311,115.03517587939699
267.3366834170854,117.32663316582915,116.65829145728644,114.65326633165829
286.4321608040201,117.1356783919598,116.41959798994975,114.2713567839196
305.52763819095475,116.94472361809045,116.18090452261306,113.8894472361809
324.6231155778894,116.7537688442211,115.94221105527639,113.50753768844221
343.7185929648241,116.56281407035176,115.7035175879397,113.12562814070351
362.81407035175874,116.37185929648241,115.46482412060301,112.74371859296483
381.90954773869345,116.18090452261306,115.22613065326634,112.36180904522612
401.0050251256281,115.98994974874373,114.98743718592965,111.97989949748744
420.1005025125628,115.79899497487438,114.74874371859296,111.59798994974875
439.19597989949744,115.60804020100502,114.51005025125629,111.21608040201005
458.2914572864321,115.41708542713567,114.2713567839196,110.83417085427136
477.3869346733668,115.22613065326634,114.03266331658291,110.45226130653266
496.48241206030144,115.03517587939699,113.79396984924624,110.07035175879398
515.5778894472361,114.84422110552764,113.55527638190955,109.68844221105527
534.6733668341708,114.65326633165829,113.31658291457286,109.30653266331659
553.7688442211055,114.46231155778895,113.07788944723617,108.92462311557789
572.8643216080402,114.2713567839196,112.8391959798995,108.5427135678392
