Temps (s),Altitude (km)
396.55,116.862
397.55,116.849
398.55,116.836
399.55,116.823
400.55,116.81
401.55,116.797
402.55,116.784
403.55,116.771
404.55,116.757
405.55,116.744
406.55,116.731
407.55,116.718
408.55,116.705
409.55,116.692
410.55,116.679
411.55,116.666
412.55,116.652
413.55,116.639
414.55,116.626
415.55,116.613
416.55,116.6
417.55,116.587
418.55,116.574
419.55,116.56
420.55,116.547
421.55,116.534
422.55,116.521
423.55,116.508
424.55,116.495
425.55,116.481
426.55,116.468
427.55,116.455
428.55,116.442
429.55,116.429
430.55,116.415
431.55,116.402
432.55,116.389
433.55,116.376
434.55,116.363
435.55,116.349
436.55,116.336
437.55,116.323
438.55,116.31
439.55,116.297
440.55,116.283
441.55,116.27
442.55,116.257
443.55,116.244
444.55,116.231
445.55,116.217
446.55,116.204
447.55,116.191
448.55,116.178
449.55,116.164
450.55,116.151
451.55,116.138
452.55,116.125
453.55,116.111
454.55,116.098
455.55,116.085
456.55,116.072
457.55,116.058
458.55,116.045
459.55,116.032
460.55,116.018
461.55,116.005
462.55,115.992
463.55,115.979
464.55,115.965
465.55,115.952
466.55,115.939
467.55,115.925
468.55,115.912
469.55,115.899
470.55,115.885
471.55,115.872
472.55,115.859
473.55,115.845
474.55,115.832
475.55,115.819
476.55,115.805
477.55,115.792
478.55,115.779
479.55,115.765
480.55,115.752
481.55,115.739
482.55,115.725
483.55,115.712
484.55,115.699
485.55,115.685
486.55,115.672
487.55,115.658
488.55,115.645
489.55,115.632
490.55,115.618
491.55,115.605
492.55,115.592
493.55,115.578
494.55,115.565
495.55,115.551
496.55,115.538
497.55,115.524
498.55,115.511
499.55,115.498
500.55,115.484
501.55,115.471
502.55,115.457
503.55,115.444
504.55,115.43
505.55,115.417
506.55,115.403
507.55,115.39
508.55,115.377
509.55,115.363
510.55,115.35
511.55,115.336
512.55,115.323
513.55,115.309
514.55,115.296
515.55,115.282
516.55,115.269
517.55,115.255
518.55,115.242
519.55,115.228
520.55,115.215
521.55,115.201
522.55,115.187
523.55,115.174
524.55,115.16
525.55,115.147
526.55,115.133
527.55,115.12
528.55,115.106
529.55,115.093
530.55,115.079
531.55,115.065
532.55,115.052
533.55,115.038
534.55,115.025
535.55,115.011
536.55,114.997
537.55,114.984
538.55,114.97
539.55,114.957
540.55,114.943
541.55,114.929
542.55,114.916
543.55,114.902
544.55,114.888
545.55,114.875
546.55,114.861
547.55,114.847
548.55,114.834
549.55,114.82
550.55,114.806
551.55,114.793
552.55,114.779
553.55,114.765
554.55,114.752
555.55,114.738
556.55,114.724
557.55,114.711
558.55,114.697
559.55,114.683
560.55,114.669
561.55,114.656
562.55,114.642
563.55,114.628
564.55,114.614
565.55,114.601
566.55,114.587
567.55,114.573
568.55,114.559
569.55,114.545
570.55,114.532
571.55,114.518
572.55,114.504
573.55,114.49
574.55,114.476
575.55,114.463
576.55,114.449
577.55,114.435
578.55,114.421
579.55,114.407
580.55,114.393
581.55,114.379
582.55,114.366
583.55,114.352
584.55,114.338
585.55,114.324
586.55,114.31
587.55,114.296
588.55,114.282
589.55,114.268
590.55,114.254
591.55,114.24
592.55,114.227
593.55,114.213
594.55,114.199
595.55,114.185
596.55,114.171
597.55,114.157
598.55,114.143
599.55,114.129
600.55,114.115
601.55,114.101
602.55,114.087
603.55,114.073
604.55,114.059
605.55,114.045
606.55,114.031
607.55,114.017
608.55,114.003
609.55,113.989
610.55,113.975
611.55,113.96
612.55,113.946
613.55,113.932
614.55,113.918
615.55,113.904
616.55,113.89
617.55,113.876
618.55,113.862
619.55,113.848
620.55,113.834
621.55,113.819
622.55,113.805
623.55,113.791
624.55,113.777
625.55,113.763
626.55,113.749
627.55,113.734
628.55,113.72
629.55,113.706
630.55,113.692
631.55,113.678
632.55,113.663
633.55,113.649
634.55,113.635
635.55,113.621
636.55,113.606
637.55,113.592
638.55,113.578
639.55,113.564
640.55,113.549
641.55,113.535
642.55,113.521
643.55,113.506
644.55,113.492
645.55,113.478
646.55,113.463
647.55,113.449
648.55,113.435
649.55,113.42
650.55,113.406
651.55,113.392
652.55,113.377
653.55,113.363
654.55,113.348
655.55,113.334
656.55,113.319
657.55,113.305
658.55,113.291
659.55,113.276
660.55,113.262
