Temps (s),Altitude (km)
1653.55,79.966
1654.55,79.864
1655.55,79.761
1656.55,79.658
1657.55,79.554
1658.55,79.449
1659.55,79.345
1660.55,79.239
1661.55,79.133
1662.55,79.027
1663.55,78.92
1664.55,78.812
1665.55,78.704
1666.55,78.596
1667.55,78.487
1668.55,78.377
1669.55,78.267
1670.55,78.156
1671.55,78.044
1672.55,77.932
1673.55,77.82
1674.55,77.706
1675.55,77.593
1676.55,77.478
1677.55,77.363
1678.55,77.247
1679.55,77.131
1680.55,77.014
1681.55,76.897
1682.55,76.779
1683.55,76.66
1684.55,76.54
1685.55,76.42
1686.55,76.299
1687.55,76.178
1688.55,76.056
1689.55,75.933
1690.55,75.809
1691.55,75.685
1692.55,75.56
1693.55,75.434
1694.55,75.308
1695.55,75.181
1696.55,75.053
1697.55,74.924
1698.55,74.795
1699.55,74.665
1700.55,74.534
1701.55,74.402
1702.55,74.27
1703.55,74.136
1704.55,74.002
1705.55,73.867
1706.55,73.731
1707.55,73.595
1708.55,73.457
1709.55,73.319
1710.55,73.18
1711.55,73.04
1712.55,72.899
1713.55,72.757
1714.55,72.614
1715.55,72.471
1716.55,72.326
1717.55,72.181
1718.55,72.034
1719.55,71.887
1720.55,71.738
1721.55,71.589
1722.55,71.439
1723.55,71.287
1724.55,71.135
1725.55,70.981
1726.55,70.827
1727.55,70.671
1728.55,70.515
1729.55,70.357
1730.55,70.198
1731.55,70.039
1732.55,69.877
1733.55,69.715
1734.55,69.552
1735.55,69.388
1736.55,69.222
1737.55,69.055
1738.55,68.887
1739.55,68.718
1740.55,68.547
1741.55,68.376
1742.55,68.203
1743.55,68.028
1744.55,67.853
1745.55,67.676
1746.55,67.497
1747.55,67.318
1748.55,67.137
1749.55,66.954
1750.55,66.771
1751.55,66.586
1752.55,66.399
1753.55,66.211
1754.55,66.021
1755.55,65.83
1756.55,65.638
1757.55,65.444
1758.55,65.248
1759.55,65.051
1760.55,64.852
1761.55,64.652
1762.55,64.45
1763.55,64.246
1764.55,64.041
1765.55,63.834
1766.55,63.625
1767.55,63.415
1768.55,63.203
1769.55,62.989
1770.55,62.774
1771.55,62.556
1772.55,62.337
1773.55,62.116
1774.55,61.893
1775.55,61.668
1776.55,61.442
1777.55,61.213
1778.55,60.983
1779.55,60.75
1780.55,60.516
1781.55,60.28
1782.55,60.041
1783.55,59.801
1784.55,59.558
1785.55,59.314
1786.55,59.067
1787.55,58.819
1788.55,58.568
1789.55,58.315
1790.55,58.06
1791.55,57.803
1792.55,57.544
1793.55,57.283
1794.55,57.019
1795.55,56.753
1796.55,56.485
1797.55,56.215
1798.55,55.943
1799.55,55.668
1800.55,55.391
1801.55,55.112
1802.55,54.831
1803.55,54.547
1804.55,54.261
1805.55,53.973
1806.55,53.683
1807.55,53.39
1808.55,53.096
1809.55,52.799
1810.55,52.5
1811.55,52.198
1812.55,51.895
1813.55,51.589
1814.55,51.281
1815.55,50.971
1816.55,50.659
1817.55,50.345
1818.55,50.029
1819.55,49.711
1820.55,49.391
1821.55,49.068
1822.55,48.745
1823.55,48.419
1824.55,48.092
1825.55,47.762
1826.55,47.432
1827.55,47.1
1828.55,46.766
1829.55,46.431
1830.55,46.094
1831.55,45.757
1832.55,45.418
1833.55,45.078
1834.55,44.737
1835.55,44.396
1836.55,44.054
1837.55,43.711
1838.55,43.368
1839.55,43.025
1840.55,42.681
1841.55,42.338
1842.55,41.994
1843.55,41.651
1844.55,41.308
1845.55,40.965
1846.55,40.623
1847.55,40.282
1848.55,39.941
1849.55,39.601
1850.55,39.263
1851.55,38.925
1852.55,38.589
1853.55,38.254
1854.55,37.921
1855.55,37.589
1856.55,37.259
1857.55,36.931
1858.55,36.604
1859.55,36.28
1860.55,35.957
1861.55,35.637
1862.55,35.318
1863.55,35.002
1864.55,34.688
1865.55,34.376
1866.55,34.066
1867.55,33.759
1868.55,33.454
1869.55,33.151
1870.55,32.85
1871.55,32.552
1872.55,32.257
1873.55,31.963
1874.55,31.672
1875.55,31.383
1876.55,31.097
1877.55,30.813
1878.55,30.53
1879.55,30.25
1880.55,29.972
1881.55,29.696
1882.55,29.422
1883.55,29.15
1884.55,28.88
1885.55,28.611
1886.55,28.345
1887.55,28.08
1888.55,27.816
1889.55,27.555
1890.55,27.295
1891.55,27.036
1892.55,26.779
1893.55,26.524
1894.55,26.27
1895.55,26.018
1896.55,25.767
1897.55,25.517
1898.55,25.269
1899.55,25.022
1900.55,24.777
1901.55,24.533
1902.55,24.29
1903.55,24.049
1904.55,23.809
1905.55,23.57
1906.55,23.333
1907.55,23.097
1908.55,22.863
1909.55,22.63
1910.55,22.398
1911.55,22.168
1912.55,21.94
1913.55,21.713
1913.75,21.668
1913.93,21.627
1914.092,21.591
1914.238,21.558
1914.434,21.514
1914.471,21.505
1914.49,21.501
1914.511,21.496
1914.532,21.492
1914.626,21.471
1914.642,21.467
1914.652,21.465
1914.657,21.464
1914.668,21.461
1914.713,21.451
1914.765,21.439
1914.82,21.427
1914.878,21.414
1914.943,21.399
1915.235,21.333
1916.235,21.104
1917.235,20.871
1918.235,20.635
1919.235,20.396
1920.235,20.155
1921.235,19.911
1922.235,19.666
1923.235,19.419
1924.235,19.171
1925.235,18.922
1926.235,18.672
1927.235,18.422
1928.235,18.172
1929.235,17.923
1930.235,17.674
1931.235,17.426
1932.235,17.179
1933.235,16.933
1934.235,16.689
1935.235,16.447
1936.235,16.207
1937.235,15.969
1938.235,15.733
1939.235,15.5
1940.235,15.269
1941.235,15.041
1942.235,14.816
1943.235,14.594
1944.235,14.374
1945.235,14.158
1946.235,13.945
1947.235,13.734
1948.235,13.527
1949.235,13.323
1950.235,13.122
1951.235,12.924
1952.235,12.729
1953.235,12.537
1954.235,12.347
1955.235,12.161
1956.235,11.978
1957.235,11.797
1958.235,11.619
1959.235,11.444
1960.235,11.272
1961.235,11.102
1962.235,10.934
1963.235,10.77
1964.235,10.607
1965.235,10.447
1966.235,10.289
1967.235,10.132
1968.235,9.978
1969.235,9.826
1970.235,9.676
1971.235,9.527
1972.235,9.38
1973.235,9.235
1974.235,9.091
1975.235,8.949
1976.235,8.808
1977.235,8.669
1978.235,8.531
1979.235,8.395
1980.235,8.259
1981.235,8.126
1982.235,7.993
1983.235,7.861
1984.235,7.731
1985.235,7.602
1986.235,7.474
1987.235,7.347
1988.235,7.222
1989.235,7.097
1990.235,6.973
1991.235,6.851
1992.235,6.729
1993.235,6.608
1994.235,6.488
1995.235,6.37
1996.235,6.252
1997.235,6.135
1998.235,6.018
1999.235,5.903
2000.235,5.788
2001.235,5.675
2002.235,5.562
2003.235,5.45
2004.235,5.338
2005.235,5.228
2006.235,5.118
2007.235,5.009
2008.235,4.901
2009.235,4.793
2010.235,4.686
2011.235,4.58
2012.235,4.474
2013.235,4.369
2014.235,4.265
2015.235,4.161
2016.235,4.058
2017.235,3.956
2018.235,3.854
2019.235,3.753
2020.235,3.652
2021.235,3.552
2022.235,3.452
2023.235,3.353
2024.235,3.255
2025.235,3.157
2026.235,3.06
2027.235,2.963
2028.235,2.867
2029.235,2.771
2030.235,2.676
2031.235,2.581
2032.235,2.487
2033.235,2.394
2034.235,2.3
2035.235,2.208
2036.235,2.115
2037.235,2.024
2038.235,1.932
2039.235,1.841
2040.235,1.751
2041.235,1.661
2042.235,1.571
2043.235,1.482
2044.235,1.393
2045.235,1.305
2046.235,1.217
2047.235,1.13
2048.235,1.043
2049.235,0.956
2050.235,0.87
2051.235,0.784
2052.235,0.698
2053.235,0.613
2054.235,0.529
2055.235,0.444
2056.235,0.36
2057.235,0.277
2058.235,0.194
2059.235,0.111
2060.235,0.028
2061.235,0.0
