SCARAB;;ORSAT;;Present;
x;y;x;y;x;y
6.472452404429612;121.8374874717311;12.081998065837379;121.6220373856394;9.53354179557443;122.07781635823343
45.307403860740294;121.44967583738206;39.26646408525485;121.23422575129037;36.24599419751214;121.64358165455657
80.2588601714199;121.06186420303302;74.21792039593447;120.84641411694133;67.31395536256068;121.25577002020755
115.21031648209951;120.86795838585851;105.28588156098301;120.84641411694133;98.38191652760922;120.674052568684
150.16177279277912;120.674052568684;140.23733787166262;120.45860248259231;125.5663825470267;120.28624093433497
188.9967242490898;120.28624093433497;167.4218038910801;120.26469666541779;156.63434371207524;119.89842929998593
220.06468541413835;119.89842929998593;194.6062699104976;120.07079084824328;181.9923771237864;119.42646734602233
255.01614172481797;119.70452348281142;225.67423107554612;119.87688503106875;214.88677089654126;118.92890021411336
286.08410288986653;119.31671184846239;252.8586970949636;119.48907339671973;236.36130916262135;118.65084407732428
317.15206405491506;119.12280603128788;283.9266582600121;119.29516757954521;271.312765473301;118.06912662580073
348.2200252199636;118.73499439693884;318.87811457069176;118.71345012802166;306.2642217839806;117.6813149914517
383.17148153064323;118.34718276258981;349.9460757357403;118.51954431084715;337.3321829490291;117.09959753992815
414.23944269569176;118.1532769454153;381.0140369007888;118.13173267649812;368.40014411407765;116.71178590557912
445.3074038607403;117.95937112824079;412.0819980658374;117.7439210421491;399.46810527912623;116.13006845405557
480.2588601714199;117.57155949389175;443.14995923088594;117.16220359062555;430.53606644417476;115.54835100253203
519.0938116277306;117.37765367671724;474.21792039593447;116.77439195627652;461.6040276092233;114.96663355100848
557.9287630840413;117.18374785954272;505.285881560983;116.19267450475297;496.55548391990294;114.38491609948494
596.763714540352;116.7959362251937;536.3538427260315;115.80486287040394;527.6234450849514;113.9971044651359
631.7151708510315;116.60203040801917;567.4218038910801;115.22314541888039;558.69140625;113.41538701361236
666.6666271617112;116.21421877367015;598.4897650561287;114.64142796735685;585.8758722694175;112.83366956208882
705.5015786180219;116.02031295649563;629.5577262211772;114.25361633300781;616.943833434466;112.25195211056527
740.4530349287014;115.82640713932112;660.6256873862258;113.67189888148427;651.8952897451456;111.67023465904172
775.4044912393811;115.63250132214661;695.5771436969053;113.09018142996072;682.9632509101942;111.08851720751818
810.3559475500607;115.24468968779757;730.5286000075849;112.50846397843718;717.9147072208738;110.50679975599463
845.3074038607404;115.05078387062305;765.4800563182646;112.12065234408814;748.9826683859224;109.92508230447109
880.2588601714199;114.85687805344854;800.4315126289442;111.5389348925646;776.1671344053398;109.34336485294754
915.2103164820995;114.66297223627403;831.4994737939927;111.15112325821558;811.1185907160194;108.56774158424949
946.2782776471481;114.275160601925;862.5674349590413;110.76331162386654;842.186551881068;107.98602413272594
977.3462388121966;114.08125478475048;893.6353961240898;110.181594172343;873.2545130461165;107.4043066812024
1012.2976951228762;113.69344315040145;924.7033572891384;109.79378253799396;904.3224742111651;106.82258922967885
1039.4822796571602;113.49953733322694;955.7713184541869;109.21206508647042;939.2739305218447;106.24087177815531
